Stromstärke (mA);Spannung (V)
0.01;0.01
#start
-7.2;-1
-7.55;-0.9
-7.8;-0.8
-7.8;-0.7
-7.8;-0.6
-7.8;-0.5
-7.8;-0.4
-7.8;-0.3
-7.9;-0.2
-7.9;-0.1
-7.9;0
-7.9;0.1
-7.8;0.2
-7.7;0.3
-7.6;0.4
-7.4;0.5
-6.9;0.6
-5.8;0.7
-2.8;0.8
3;0.9
11.2;1
-7.6;0.51
-7.59;0.52
-7.55;0.53
-7.51;0.54
-7.47;0.55
-7.42;0.56
-7.37;0.57
-7.31;0.58
-7.24;0.59
-7.19;0.6
-7.1;0.61
-7.01;0.62
-6.92;0.63
-6.84;0.64
-6.72;0.65
-6.6;0.66
-6.48;0.67
-6.32;0.68
-6.17;0.69
