Stromstärke (A);Spannung (V)
-0,15;-1
-0,15;-0,9
-0,15;-0,8
-0,15;-0,7
-0,15;-0,6
-0,15;-0,5
-0,15;-0,4
-0,149;-0,3
-0,149;-0,2
-0,149;-0,1
-0,147;-2,22044604925031E-16
-0,139;0,1
-0,12;0,2
-0,092;0,3
-0,059;0,400000000000001
-0,021;0,500000000000001
0,017;0,600000000000001
0,057;0,700000000000001
0,096;0,800000000000002
-0,142;0,11
-0,14;0,12
-0,139;0,13
-0,138;0,14
-0,136;0,15
-0,134;0,16
-0,132;0,17
-0,13;0,18
-0,129;0,19
-0,127;0,2
-0,125;0,21
-0,123;0,22
-0,12;0,23
-0,117;0,24
-0,115;0,25
-0,112;0,26
-0,109;0,27
-0,105;0,28
-0,102;0,29
-0,099;0,3
-0,096;0,31
-0,093;0,32
-0,089;0,33
-0,085;0,34
-0,082;0,35
-0,078;0,36
-0,074;0,37
-0,071;0,38
-0,067;0,39
