Stromstärke (mA);Spannung (V)
-0.315;-1
-0.272;-0.9
-0.232;-0.8
-0.194;-0.7
-0.16;-0.6
-0.129;-0.5
-0.101;-0.4
-0.076;-0.3
-0.054;-0.2
-0.033;-0.1
-0.015;-2.22044604925031E-16
0.003;0.1
0.008;0.2
0.009;0.3
0.077;0.4
0.119;0.5
0.198;0.6
0.414;0.7
1.367;0.8
4.916;0.9
11.687;1
