"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
722.01,0.000196,"a",432.2,"y","241Am",
729.72,0.00000133,"a",432.2,"y","241Am",
731.5,0.00000047,"a",432.2,"y","241Am",
737.34,0.00000800,"a",432.2,"y","241Am",
742.9,3.5E-07,"a",432.2,"y","241Am",
755.90,0.0000076,"a",432.2,"y","241Am",
759.38,0.00000167,"a",432.2,"y","241Am",
763.9,0.00000020,"a",432.2,"y","241Am",
767.00,0.00000500,"a",432.2,"y","241Am",
770.57,0.00000474,"a",432.2,"y","241Am",
772.4,0.00000266,"a",432.2,"y","241Am",
777.2,6.10E-08,"a",432.2,"y","241Am",
780.7,0.00000025,"a",432.2,"y","241Am",
782.2,1.5E-07,"a",432.2,"y","241Am",
786.00,6E-07,"a",432.2,"y","241Am",
789.17,0.00000039,"a",432.2,"y","241Am",
794.92,9E-07,"a",432.2,"y","241Am",
801.94,0.00000136,"a",432.2,"y","241Am",
806.3,3.1E-07,"a",432.2,"y","241Am",
812.01,0.00000061,"a",432.2,"y","241Am",
819.0,0.00000040,"a",432.2,"y","241Am",
822.6,0.00000022,"a",432.2,"y","241Am",
828.5,0.00000024,"a",432.2,"y","241Am",
835.6,2.1E-07,"a",432.2,"y","241Am",
841.5,4.00E-08,"a",432.2,"y","241Am",
847.4,0.00000027,"a",432.2,"y","241Am",
851.6,0.00000038,"a",432.2,"y","241Am",
854.7,0.00000020,"a",432.2,"y","241Am",
860.7,8.20E-08,"a",432.2,"y","241Am",
862.7,0.00000053,"a",432.2,"y","241Am",
870.7,4.6E-07,"a",432.2,"y","241Am",
887.3,0.00000022,"a",432.2,"y","241Am",
898.4,7.20E-08,"a",432.2,"y","241Am",
902.5,0.00000030,"a",432.2,"y","241Am",
912.4,0.00000025,"a",432.2,"y","241Am",
921.5,0.00000019,"a",432.2,"y","241Am",
928.8,5.50E-08,"a",432.2,"y","241Am",
945.7,5.60E-08,"a",432.2,"y","241Am",
955.7,0.00000058,"a",432.2,"y","241Am",
1014.7,6.40E-08,"a",432.2,"y","241Am",
5.5,0,"a",2.144E+6,"y","237Np",
6.68,0,"a",2.144E+6,"y","237Np",
8.22,0,"a",2.144E+6,"y","237Np",
9,0,"a",2.144E+6,"y","237Np",
10.7,0,"a",2.144E+6,"y","237Np",
17.40,0,"a",2.144E+6,"y","237Np",
22.6,0,"a",2.144E+6,"y","237Np",
24.14,0,"a",2.144E+6,"y","237Np",
29.374,15.0,"a",2.144E+6,"y","237Np",
29.6,0,"a",2.144E+6,"y","237Np",
32.46,0,"a",2.144E+6,"y","237Np",
36.24,0,"a",2.144E+6,"y","237Np",
43.2,0,"a",2.144E+6,"y","237Np",
46.53,0.11,"a",2.144E+6,"y","237Np",
48.96,0,"a",2.144E+6,"y","237Np",
54.40,0,"a",2.144E+6,"y","237Np",
57.10,0.39,"a",2.144E+6,"y","237Np",
62.59,0.006,"a",2.144E+6,"y","237Np",
63.92,0.012,"a",2.144E+6,"y","237Np",
70.49,0.012,"a",2.144E+6,"y","237Np",
74.54,0.011,"a",2.144E+6,"y","237Np",
86.477,12.4,"a",2.144E+6,"y","237Np",
87.99,0.14,"a",2.144E+6,"y","237Np",
94.66,0.6,"a",2.144E+6,"y","237Np",
106.15,0.053,"a",2.144E+6,"y","237Np",
108.7,0.068,"a",2.144E+6,"y","237Np",
109.10,0,"a",2.144E+6,"y","237Np",
115.4,0.0026,"a",2.144E+6,"y","237Np",
117.702,0.16,"a",2.144E+6,"y","237Np",
131.101,0.085,"a",2.144E+6,"y","237Np",
134.285,0.067,"a",2.144E+6,"y","237Np",
139.9,0.005,"a",2.144E+6,"y","237Np",
141.74,0,"a",2.144E+6,"y","237Np",
143.249,0.43,"a",2.144E+6,"y","237Np",
151.414,0.232,"a",2.144E+6,"y","237Np",
153.37,0.0050,"a",2.144E+6,"y","237Np",
153.6,0,"a",2.144E+6,"y","237Np",
155.239,0.092,"a",2.144E+6,"y","237Np",
162.41,0,"a",2.144E+6,"y","237Np",
162.504,0.032,"a",2.144E+6,"y","237Np",
169.159,0.073,"a",2.144E+6,"y","237Np",
170.59,0.020,"a",2.144E+6,"y","237Np",
170.7,0,"a",2.144E+6,"y","237Np",
176.12,0.018,"a",2.144E+6,"y","237Np",
180.81,0.020,"a",2.144E+6,"y","237Np",
186.8,0,"a",2.144E+6,"y","237Np",
186.86,0.003,"a",2.144E+6,"y","237Np",
191.46,0.025,"a",2.144E+6,"y","237Np",
193.26,0.049,"a",2.144E+6,"y","237Np",
194.7,0,"a",2.144E+6,"y","237Np",
194.95,0.184,"a",2.144E+6,"y","237Np",
196.86,0.020,"a",2.144E+6,"y","237Np",
199.95,0,"a",2.144E+6,"y","237Np",
199.95,0.004,"a",2.144E+6,"y","237Np",
201.62,0.044,"a",2.144E+6,"y","237Np",
202.0,0.0048,"a",2.144E+6,"y","237Np",
209.19,0.016,"a",2.144E+6,"y","237Np",
212.29,0.155,"a",2.144E+6,"y","237Np",
214.01,0.045,"a",2.144E+6,"y","237Np",
219.8,0,"a",2.144E+6,"y","237Np",
222.6,0.0020,"a",2.144E+6,"y","237Np",
229.94,0.014,"a",2.144E+6,"y","237Np",
237.86,0.063,"a",2.144E+6,"y","237Np",
248.95,0.0050,"a",2.144E+6,"y","237Np",
250.5,0,"a",2.144E+6,"y","237Np",
257.09,0.0064,"a",2.144E+6,"y","237Np",
257.30,0,"a",2.144E+6,"y","237Np",
262.44,0.0068,"a",2.144E+6,"y","237Np",
279.65,0.002,"a",2.144E+6,"y","237Np",
17.26,0.004,"b-",26.967,"d","233Pa",
28.375,0.11,"b-",26.967,"d","233Pa",
40.35,0.039,"b-",26.967,"d","233Pa",
41.65,0.013,"b-",26.967,"d","233Pa",
51.5,0.0008,"b-",26.967,"d","233Pa",
57.9,0.0009,"b-",26.967,"d","233Pa",
75.354,1.39,"b-",26.967,"d","233Pa",
86.814,1.97,"b-",26.967,"d","233Pa",
92.0,0.004,"b-",26.967,"d","233Pa",
103.971,0.87,"b-",26.967,"d","233Pa",
248.5,0.059,"b-",26.967,"d","233Pa",
258.46,0.0039,"b-",26.967,"d","233Pa",
271.48,0.328,"b-",26.967,"d","233Pa",
298.89,0.035,"b-",26.967,"d","233Pa",
300.34,6.62,"b-",26.967,"d","233Pa",
312.17,38.6,"b-",26.967,"d","233Pa",
340.81,4.47,"b-",26.967,"d","233Pa",
375.45,0.679,"b-",26.967,"d","233Pa",
398.62,1.390,"b-",26.967,"d","233Pa",
415.76,1.745,"b-",26.967,"d","233Pa",
25.318,0.00111,"a",1.592E+5,"y","233U",
25.4,0,"a",1.592E+5,"y","233U",
27.2,0,"a",1.592E+5,"y","233U",
29.192,0.0120,"a",1.592E+5,"y","233U",
29.36,0,"a",1.592E+5,"y","233U",
31.52,0.00025,"a",1.592E+5,"y","233U",
32.4,0.00091,"a",1.592E+5,"y","233U",
37.98,0.00033,"a",1.592E+5,"y","233U",
42.44,0.0862,"a",1.592E+5,"y","233U",
42.62,0,"a",1.592E+5,"y","233U",
50.5,0,"a",1.592E+5,"y","233U",
52.62,0.00023,"a",1.592E+5,"y","233U",
53.608,0.0041,"a",1.592E+5,"y","233U",
54.699,0.0182,"a",1.592E+5,"y","233U",
63.88,3E-05,"a",1.592E+5,"y","233U",
65.51,0,"a",1.592E+5,"y","233U",
66.122,0.00077,"a",1.592E+5,"y","233U",
67.943,0.00029,"a",1.592E+5,"y","233U",
68.87,0.000098,"a",1.592E+5,"y","233U",
70.280,0.00055,"a",1.592E+5,"y","233U",
71.819,0.0024,"a",1.592E+5,"y","233U",
72.88,0.00054,"a",1.592E+5,"y","233U",
74.57,0.00150,"a",1.592E+5,"y","233U",
76.39,0.00036,"a",1.592E+5,"y","233U",
77.13,0.00066,"a",1.592E+5,"y","233U",
78.15,0.000055,"a",1.592E+5,"y","233U",
82.957,0.00016,"a",1.592E+5,"y","233U",
84.5,0.00007,"a",1.592E+5,"y","233U",
85.43,0,"a",1.592E+5,"y","233U",
85.43,0.00017,"a",1.592E+5,"y","233U",
86.77,0.00012,"a",1.592E+5,"y","233U",
87.27,0.00017,"a",1.592E+5,"y","233U",
88.46,0.00040,"a",1.592E+5,"y","233U",
91.03,0.00030,"a",1.592E+5,"y","233U",
96.224,0.00127,"a",1.592E+5,"y","233U",
97.134,0.020,"a",1.592E+5,"y","233U",
100.03,0.000050,"a",1.592E+5,"y","233U",
101.77,0.000082,"a",1.592E+5,"y","233U",
103.6,0.000092,"a",1.592E+5,"y","233U",
109.5,0.00030,"a",1.592E+5,"y","233U",
112.0,0.00045,"a",1.592E+5,"y","233U",
114.4,0.00023,"a",1.592E+5,"y","233U",
116.41,0.00019,"a",1.592E+5,"y","233U",
117.159,0.0023,"a",1.592E+5,"y","233U",
118.968,0.00406,"a",1.592E+5,"y","233U",
120.816,0.00332,"a",1.592E+5,"y","233U",
123.893,0.00059,"a",1.592E+5,"y","233U",
125.41,0.000060,"a",1.592E+5,"y","233U",
129.25,0.000064,"a",1.592E+5,"y","233U",
131.2,0.000030,"a",1.592E+5,"y","233U",
135.36,0.00232,"a",1.592E+5,"y","233U",
138.5,0.000014,"a",1.592E+5,"y","233U",
139.76,0.000096,"a",1.592E+5,"y","233U",
141.6,0,"a",1.592E+5,"y","233U",
144.4,0.00027,"a",1.592E+5,"y","233U",
145.337,0.0015,"a",1.592E+5,"y","233U",
146.345,0.00657,"a",1.592E+5,"y","233U",
148.156,0.00033,"a",1.592E+5,"y","233U",
149.83,0.000117,"a",1.592E+5,"y","233U",
152.6,0,"a",1.592E+5,"y","233U",
153.1,0.000050,"a",1.592E+5,"y","233U",
154.77,0.00014,"a",1.592E+5,"y","233U",
156.14,0.000053,"a",1.592E+5,"y","233U",
162.4,0,"a",1.592E+5,"y","233U",
162.4,0.000069,"a",1.592E+5,"y","233U",
164.522,0.00623,"a",1.592E+5,"y","233U",
165.7,0.00035,"a",1.592E+5,"y","233U",
169.01,0.000062,"a",1.592E+5,"y","233U",
170.84,0.00013,"a",1.592E+5,"y","233U",
172.36,0.000032,"a",1.592E+5,"y","233U",
174.19,0.00021,"a",1.592E+5,"y","233U",
176.13,0.000036,"a",1.592E+5,"y","233U",
177.81,0.000018,"a",1.592E+5,"y","233U",
184.3,0.000023,"a",1.592E+5,"y","233U",
185.81,0.000037,"a",1.592E+5,"y","233U",
187.969,0.0019,"a",1.592E+5,"y","233U",
192.13,0.000037,"a",1.592E+5,"y","233U",
200.7,1E-06,"a",1.592E+5,"y","233U",
206.00,0.000060,"a",1.592E+5,"y","233U",
208.171,0.00229,"a",1.592E+5,"y","233U",
212.34,0.000126,"a",1.592E+5,"y","233U",
216.08,0.00061,"a",1.592E+5,"y","233U",
217.159,0.0032,"a",1.592E+5,"y","233U",
217.7,0.000046,"a",1.592E+5,"y","233U",
219.38,0.00014,"a",1.592E+5,"y","233U",
223.3,0.000030,"a",1.592E+5,"y","233U",
225.0,0.000009,"a",1.592E+5,"y","233U",
226.7,0.000009,"a",1.592E+5,"y","233U",
228.1,0.000020,"a",1.592E+5,"y","233U",
230.11,0.000062,"a",1.592E+5,"y","233U",
236.42,0.000046,"a",1.592E+5,"y","233U",
240.39,0.00035,"a",1.592E+5,"y","233U",
245.345,0.00362,"a",1.592E+5,"y","233U",
248.726,0.00143,"a",1.592E+5,"y","233U",
252.53,0.000034,"a",1.592E+5,"y","233U",
255.94,0.000039,"a",1.592E+5,"y","233U",
259.33,0.00016,"a",1.592E+5,"y","233U",
260.65,0.000098,"a",1.592E+5,"y","233U",
261.92,0.00028,"a",1.592E+5,"y","233U",
268.66,0.00023,"a",1.592E+5,"y","233U",
272.34,0.000057,"a",1.592E+5,"y","233U",
274.728,0.00040,"a",1.592E+5,"y","233U",
278.111,0.00108,"a",1.592E+5,"y","233U",
284.25,0.000010,"a",1.592E+5,"y","233U",
288.033,0.00097,"a",1.592E+5,"y","233U",
291.354,0.00537,"a",1.592E+5,"y","233U",
293.91,0.00013,"a",1.592E+5,"y","233U",
295.2,0.000021,"a",1.592E+5,"y","233U",
302.89,0.000064,"a",1.592E+5,"y","233U",
309.5,0.000066,"a",1.592E+5,"y","233U",
312.0,0.000025,"a",1.592E+5,"y","233U",
317.16,0.00776,"a",1.592E+5,"y","233U",
320.541,0.00290,"a",1.592E+5,"y","233U",
323.42,0.00077,"a",1.592E+5,"y","233U",
328.537,0.000060,"a",1.592E+5,"y","233U",
336.61,0.00054,"a",1.592E+5,"y","233U",
338.9,0.000007,"a",1.592E+5,"y","233U",
351.81,0.000041,"a",1.592E+5,"y","233U",
354.03,0.000053,"a",1.592E+5,"y","233U",
365.79,0.00075,"a",1.592E+5,"y","233U",
383.47,0.000087,"a",1.592E+5,"y","233U",
384.0,0.000014,"a",1.592E+5,"y","233U",
393.7,0,"a",1.592E+5,"y","233U",
393.70,0.000007,"a",1.592E+5,"y","233U",
396.7,0.000008,"a",1.592E+5,"y","233U",
402.4,0.0000080,"a",1.592E+5,"y","233U",
406.7,0.0000050,"a",1.592E+5,"y","233U",
416.4,0.000009,"a",1.592E+5,"y","233U",
436.6,0.0000046,"a",1.592E+5,"y","233U",
449.5,0.000009,"a",1.592E+5,"y","233U",
459.8,0.0000080,"a",1.592E+5,"y","233U",
471.1,0.000014,"a",1.592E+5,"y","233U",
478.6,0.000014,"a",1.592E+5,"y","233U",
484.1,0.000004,"a",1.592E+5,"y","233U",
514.0,0,"a",1.592E+5,"y","233U",
537.6,0,"a",1.592E+5,"y","233U",
