"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
240.6,0.0076,"a",10.0,"d","225Ac",
243.2,0.0013,"a",10.0,"d","225Ac",
249.5,0.012,"a",10.0,"d","225Ac",
253.54,0.123,"a",10.0,"d","225Ac",
256.0,0.00033,"a",10.0,"d","225Ac",
273.5,0,"a",10.0,"d","225Ac",
279.26,0.0185,"a",10.0,"d","225Ac",
282.1,0.0044,"a",10.0,"d","225Ac",
284.8,0.0044,"a",10.0,"d","225Ac",
348.5,0.0033,"a",10.0,"d","225Ac",
354.8,0.0016,"a",10.0,"d","225Ac",
362.5,0.0065,"a",10.0,"d","225Ac",
375.2,0.0033,"a",10.0,"d","225Ac",
403.1,0.0014,"a",10.0,"d","225Ac",
406.1,0.0076,"a",10.0,"d","225Ac",
418.1,0.0054,"a",10.0,"d","225Ac",
452.4,0.118,"a",10.0,"d","225Ac",
458.8,0.0054,"a",10.0,"d","225Ac",
462.4,0.0017,"a",10.0,"d","225Ac",
469.5,0.0044,"a",10.0,"d","225Ac",
481.05,0.033,"a",10.0,"d","225Ac",
496.9,0.0016,"a",10.0,"d","225Ac",
515.40,0.0196,"a",10.0,"d","225Ac",
517.78,0.0142,"a",10.0,"d","225Ac",
522.3,0.0016,"a",10.0,"d","225Ac",
526.09,0.032,"a",10.0,"d","225Ac",
529.9,0.007,"a",10.0,"d","225Ac",
531.3,0.0044,"a",10.0,"d","225Ac",
538.1,0.0011,"a",10.0,"d","225Ac",
538.1,0.0022,"a",10.0,"d","225Ac",
552.0,0.0044,"a",10.0,"d","225Ac",
571.0,0.0044,"a",10.0,"d","225Ac",
594.2,0.0017,"a",10.0,"d","225Ac",
601.1,0.0007,"a",10.0,"d","225Ac",
601.1,0.0031,"a",10.0,"d","225Ac",
603.3,0.0022,"a",10.0,"d","225Ac",
649.2,0.0014,"a",10.0,"d","225Ac",
679.7,0,"a",10.0,"d","225Ac",
679.7,0.00087,"a",10.0,"d","225Ac",
747.0,0.0013,"a",10.0,"d","225Ac",
753.7,0.00087,"a",10.0,"d","225Ac",
758.7,0.0054,"a",10.0,"d","225Ac",
96.8,0,"a",4.9,"m","221Fr",
99.5,0.11,"a",4.9,"m","221Fr",
118.2,0.037,"a",4.9,"m","221Fr",
150.0,0.07,"a",4.9,"m","221Fr",
171.3,0.07,"a",4.9,"m","221Fr",
218.19,11.6,"a",4.9,"m","221Fr",
282.8,0.009,"a",4.9,"m","221Fr",
324.1,0.019,"a",4.9,"m","221Fr",
359.1,0.037,"a",4.9,"m","221Fr",
381.8,0.037,"a",4.9,"m","221Fr",
410.7,0.14,"a",4.9,"m","221Fr",
140,0,"a",32.3,"m","217At",
166,0,"a",32.3,"m","217At",
218,0,"a",32.3,"m","217At",
258.5,0.056,"a",32.3,"m","217At",
334,0,"a",32.3,"m","217At",
375,0,"a",32.3,"m","217At",
455,0,"a",32.3,"m","217At",
593.1,0.0120,"a",32.3,"m","217At",
147.63,0.011,"b-",45.59,"m","213Bi",
292.80,0.429,"b-",45.59,"m","213Bi",
323.81,0.16,"a",45.59,"m","213Bi",
440.46,26.1,"b-",45.59,"m","213Bi",
544.9,0.016,"a",45.59,"m","213Bi",
659.8,0.039,"b-",45.59,"m","213Bi",
710.8,0.011,"b-",45.59,"m","213Bi",
807.36,0.292,"b-",45.59,"m","213Bi",
826.8,0.0071,"b-",45.59,"m","213Bi",
868.0,0.012,"a",45.59,"m","213Bi",
1003.57,0.053,"b-",45.59,"m","213Bi",
1100.16,0.29,"b-",45.59,"m","213Bi",
1119.4,0.062,"b-",45.59,"m","213Bi",
778.8,0.0048,"a",4.2,"us","213Po",
117.211,84.3,"b-",2.20,"m","209Tl",
465.130,96.9,"b-",2.20,"m","209Tl",
920.13,0.61,"b-",2.20,"m","209Tl",
1239.16,0.46,"b-",2.20,"m","209Tl",
1567.09,99.8,"b-",2.20,"m","209Tl",
