0.0016,1.866
0.1023,1.849
0.2051,1.821
0.2812,1.791
0.3843,1.704
0.4914,1.637
0.5602,1.571
0.6047,1.534
0.6508,1.461
0.6936,1.409
0.7462,1.350
0.8133,1.253
0.8437,1.217
0.9053,1.192
0.9585,1.116
1.0214,1.012
1.0514,1.000
1.0952,0.919
1.1454,0.813
1.1840,0.707
1.2137,0.818
1.2640,0.799
1.2961,0.730
1.3670,0.724
1.3927,0.644
1.4224,0.652
1.4910,0.650
1.5496,0.620
1.6002,0.602
1.6462,0.599
1.7003,0.550
1.7612,0.547
1.8049,0.570
1.8800,0.552
1.9517,0.524
1.9996,0.541
2.0084,0.532
2.0542,0.530
2.1085,0.514
2.1655,0.515
2.2191,0.511
2.3184,0.499
2.4150,0.495
2.4879,0.491
2.5928,0.483
2.7007,0.480
2.8005,0.469
2.8997,0.469
2.9964,0.465
3.0855,0.461
3.1963,0.456
3.3000,0.451
3.4225,0.448
3.5124,0.444
3.6070,0.442
3.7170,0.441
3.7928,0.440
3.9071,0.432
4.0160,0.429
4.1005,0.428
4.1918,0.424
4.3000,0.421
4.4144,0.420
4.5669,0.414
4.6992,0.413
4.8001,0.411
4.9089,0.407
5.0160,0.406
5.1092,0.404
5.2002,0.402
5.2917,0.400
5.4277,0.393
5.5370,0.392
5.6295,0.390
5.6993,0.391
5.7932,0.389
5.9024,0.386
6.0067,0.385
6.0959,0.381
6.1935,0.379
6.3101,0.380
6.4789,0.379
6.6085,0.377
6.7354,0.373
6.9192,0.372
7.0790,0.371
7.2160,0.370
7.3704,0.367
7.6738,0.363
7.7608,0.364
7.9222,0.361
8.0006,0.360





