0.1018,2.405
0.1955,2.405
0.2984,2.405
0.3901,2.406
0.5047,2.406
0.6017,2.407
0.6933,2.407
0.8088,2.408
0.8993,2.408
0.9996,2.408
1.0992,2.409
1.2019,2.409
1.2990,2.410
1.4001,2.410
1.5021,2.410
1.6023,2.410
1.7089,2.410
1.8106,2.411
1.9016,2.411
2.0079,2.412
2.1018,2.412
2.2021,2.412
2.2981,2.412
2.4048,2.412
2.5179,2.413
2.6197,2.413
2.7082,2.413
2.8871,2.414
2.9017,2.414
3.0189,2.414
3.1041,2.413
3.2110,2.410
3.2627,2.406
3.3038,2.401
3.3506,2.395
3.4084,2.382
3.4546,2.367
3.5039,2.350
3.5500,2.330
3.6074,2.305
3.6587,2.267
3.7072,2.235
3.7598,2.191
3.8077,2.165
3.8520,2.111
3.8937,2.069
3.9682,2.000
4.0089,1.941
4.0406,1.918
4.1100,1.824
4.1630,1.790
4.1961,1.722
4.2525,1.647
4.3220,1.564
4.3988,1.489
4.4401,1.435
4.5036,1.360
4.5512,1.290
4.5883,1.232
4.6500,1.153
4.7079,1.110
4.7693,1.020
4.8029,0.976
4.8622,0.957
4.9156,0.906
4.9568,0.829
5.0287,0.757
5.0689,0.724
5.1859,0.629
5.2190,0.635
5.3183,0.575
5.3883,0.498
5.4901,0.440
5.5802,0.392
5.5972,0.391
5.6410,0.387
5.7341,0.345
5.8086,0.312
5.9222,0.255
6.0178,0.247
6.0706,0.238
6.2735,0.187
6.4408,0.131
6.5120,0.130
6.7070,0.096
6.7702,0.090
6.8624,0.107
6.9295,0.097
7.0645,0.087
7.1045,0.088
7.2003,0.081
7.3311,0.074
7.4003,0.068
7.5318,0.062
7.6505,0.060
7.7781,0.052
7.8896,0.049
7.9999,0.047
8.1701,0.050
