# Run Voltage (V) Time (ms) Counts
0	4	10000	88
1	3,988889	10000	107
2	3,977778	10000	83
3	3,966667	10000	98
4	3,955556	10000	90
5	3,944444	10000	88
6	3,933333	10000	87
7	3,922222	10000	103
8	3,911111	10000	107
9	3,9	10000	79
10	3,888889	10000	117
11	3,877778	10000	94
12	3,866667	10000	107
13	3,855556	10000	107
14	3,844444	10000	102
15	3,833333	10000	88
16	3,822222	10000	99
17	3,811111	10000	76
18	3,8	10000	84
19	3,788889	10000	90
20	3,777778	10000	72
21	3,766667	10000	96
22	3,755556	10000	101
23	3,744444	10000	87
24	3,733333	10000	96
25	3,722222	10000	103
26	3,711111	10000	81
27	3,7	10000	91
28	3,688889	10000	109
29	3,677778	10000	83
30	3,666667	10000	99
31	3,655556	10000	76
32	3,644444	10000	81
33	3,633333	10000	102
34	3,622222	10000	88
35	3,611111	10000	71
36	3,6	10000	90
37	3,588889	10000	99
38	3,577778	10000	89
39	3,566667	10000	95
40	3,555556	10000	82
41	3,544444	10000	92
42	3,533333	10000	80
43	3,522222	10000	86
44	3,511111	10000	90
45	3,5	10000	85
46	3,488889	10000	88
47	3,477778	10000	91
48	3,466667	10000	85
49	3,455556	10000	91
50	3,444444	10000	89
51	3,433333	10000	99
52	3,422222	10000	88
53	3,411111	10000	116
54	3,4	10000	85
55	3,388889	10000	83
56	3,377778	10000	99
57	3,366667	10000	96
58	3,355556	10000	102
59	3,344444	10000	98
60	3,333333	10000	95
61	3,322222	10000	109
62	3,311111	10000	94
63	3,3	10000	87
64	3,288889	10000	81
65	3,277778	10000	80
66	3,266667	10000	101
67	3,255556	10000	106
68	3,244444	10000	89
69	3,233333	10000	97
70	3,222222	10000	79
71	3,211111	10000	103
72	3,2	10000	80
73	3,188889	10000	105
74	3,177778	10000	100
75	3,166667	10000	95
76	3,155556	10000	91
77	3,144444	10000	103
78	3,133333	10000	85
79	3,122222	10000	97
80	3,111111	10000	94
81	3,1	10000	101
82	3,088889	10000	71
83	3,077778	10000	104
84	3,066667	10000	107
85	3,055556	10000	84
86	3,044444	10000	113
87	3,033333	10000	99
88	3,022222	10000	115
89	3,011111	10000	76
90	3	10000	94
91	2,988889	10000	101
92	2,977778	10000	97
93	2,966667	10000	98
94	2,955556	10000	99
95	2,944444	10000	94
96	2,933333	10000	87
97	2,922222	10000	93
98	2,911111	10000	82
99	2,9	10000	96
100	2,888889	10000	93
101	2,877778	10000	116
102	2,866667	10000	93
103	2,855556	10000	78
104	2,844444	10000	87
105	2,833333	10000	78
106	2,822222	10000	102
107	2,811111	10000	83
108	2,8	10000	95
109	2,788889	10000	82
110	2,777778	10000	93
111	2,766667	10000	103
112	2,755556	10000	83
113	2,744444	10000	88
114	2,733333	10000	109
115	2,722222	10000	85
116	2,711111	10000	86
117	2,7	10000	62
118	2,688889	10000	103
119	2,677778	10000	87
120	2,666667	10000	83
121	2,655556	10000	86
122	2,644444	10000	106
123	2,633333	10000	81
124	2,622222	10000	86
125	2,611111	10000	95
126	2,6	10000	95
127	2,588889	10000	101
128	2,577778	10000	102
129	2,566667	10000	95
130	2,555556	10000	83
131	2,544444	10000	73
132	2,533333	10000	90
133	2,522222	10000	100
134	2,511111	10000	90
135	2,5	10000	91
136	2,488889	10000	81
137	2,477778	10000	85
138	2,466667	10000	97
139	2,455556	10000	85
140	2,444444	10000	97
141	2,433333	10000	97
142	2,422222	10000	93
143	2,411111	10000	99
144	2,4	10000	102
145	2,388889	10000	101
146	2,377778	10000	88
147	2,366667	10000	60
148	2,355556	10000	92
149	2,344444	10000	81
150	2,333333	10000	83
151	2,322222	10000	105
152	2,311111	10000	116
153	2,3	10000	80
154	2,288889	10000	98
155	2,277778	10000	97
156	2,266667	10000	96
157	2,255556	10000	103
158	2,244444	10000	94
159	2,233333	10000	100
160	2,222222	10000	83
161	2,211111	10000	78
162	2,2	10000	96
163	2,188889	10000	85
164	2,177778	10000	80
165	2,166667	10000	86
166	2,155556	10000	75
167	2,144444	10000	95
168	2,133333	10000	96
169	2,122222	10000	97
170	2,111111	10000	99
171	2,1	10000	91
172	2,088889	10000	95
173	2,077778	10000	99
174	2,066667	10000	95
175	2,055556	10000	103
176	2,044444	10000	95
177	2,033333	10000	89
178	2,022222	10000	89
179	2,011111	10000	98
180	2	10000	105
181	1,988889	10000	78
182	1,977778	10000	81
183	1,966667	10000	89
184	1,955556	10000	77
185	1,944444	10000	107
186	1,933333	10000	102
187	1,922222	10000	93
188	1,911111	10000	88
189	1,9	10000	85
190	1,888889	10000	102
191	1,877778	10000	70
192	1,866667	10000	97
193	1,855556	10000	87
194	1,844444	10000	90
195	1,833333	10000	101
196	1,822222	10000	100
197	1,811111	10000	102
198	1,8	10000	88
199	1,788889	10000	85
200	1,777778	10000	90
201	1,766667	10000	78
202	1,755556	10000	101
203	1,744444	10000	110
204	1,733333	10000	105
205	1,722222	10000	97
206	1,711111	10000	95
207	1,7	10000	89
208	1,688889	10000	94
209	1,677778	10000	76
210	1,666667	10000	97
211	1,655556	10000	98
212	1,644444	10000	82
213	1,633333	10000	84
214	1,622222	10000	107
215	1,611111	10000	82
216	1,6	10000	88
217	1,588889	10000	89
218	1,577778	10000	93
219	1,566667	10000	82
220	1,555556	10000	95
221	1,544444	10000	90
222	1,533333	10000	96
223	1,522222	10000	105
224	1,511111	10000	100
225	1,5	10000	83
226	1,488889	10000	93
227	1,477778	10000	90
228	1,466667	10000	87
229	1,455556	10000	96
230	1,444444	10000	85
231	1,433333	10000	89
232	1,422222	10000	94
233	1,411111	10000	62
