Stromstärke (mA);Spannung (V)
0.001;0.1
#start
-0.358;-1
-0.328;-0.9
-0.298;-0.8
-0.269;-0.7
-0.241;-0.6
-0.214;-0.5
-0.189;-0.4
-0.166;-0.3
-0.144;-0.2
-0.126;-0.1
-0.1;0
-0.016;0.1
-6E-06;0.2
7.5E-05;0.3
2.9;0.4
10.74;0.5
26.86;0.6
47.5;0.7
37.2;0.8
