Stromstärke (mA);Spannung (V)
0.01;0.01
#start
-5.96;-1
-5.9;-0.9
-5.84;-0.8
-5.78;-0.7
-5.73;-0.6
-5.68;-0.5
-5.62;-0.4
-5.57;-0.3
-5.52;-0.2
-5.47;-0.1
-5.42;0
-5.35;0.1
-5.28;0.2
-5.18;0.3
-5.04;0.4
-4.79;0.5
-4.24;0.6
-2.62;0.7
1.74;0.8
9.18;0.9
18.54;1
-4.74;0.51
-4.7;0.52
-4.66;0.53
-4.62;0.54
-4.56;0.55
-4.51;0.56
-4.44;0.57
-4.37;0.58
-4.3;0.59
-4.21;0.6
-4.11;0.61
-4.01;0.62
-3.89;0.63
-3.76;0.64
-3.61;0.65
-3.43;0.66
-3.24;0.67
-3.03;0.68
-2.78;0.69
