1	17	0	17
2	31.5	1	6.5
3	41.8	1	16.8
4	49	1	24
5	57	2	7
6	64	2	14
7	69.5	2	19.5
8	74.5	2	24.5
9	78.5	3	3.5
10	82.5	3	7.5
11	88	3	13
12	92.5	3	17.5
13	97	3	22
14	100.5	4	0.5
15	103	4	3
16	107	4	7
17	110	4	10
18	114	4	14
19	118.5	4	18.5
20	121	4	21
21	123.5	4	23.5
22	126.5	5	1.5
23	129.5	5	4.5
24	132	5	7
25	135.8	5	10.8
26	139.2	5	14.2
27	141.6	5	16.6
28	144	5	19
29	147.5	5	22.5
30	149.2	5	24.2
31	151.2	6	1.2
32	153	6	3
