# exported by fityk 0.8.7
#1-Zn:x	1-Zn:y	1-Zn:s	1-Zn:F(x)	1-Zn:%_1(x)	1-Zn:%_2(x)	1-Zn:%_3(x)	1-Zn:a
1.93	37	6.08276	2.18374e-053	5.53619e-174	1.01728e-253	2.18374e-053	1
1.95	30	5.47723	6.84965e-053	6.37835e-173	2.24892e-252	6.84965e-053	1
1.96	40	6.32456	1.21077e-052	2.15904e-172	1.05417e-251	1.21077e-052	1
1.98	48	6.9282	3.76856e-052	2.46018e-171	2.30213e-250	3.76856e-052	1
1.99	33	5.74456	6.63579e-052	8.28177e-171	1.07253e-249	6.63579e-052	1
2.01	34	5.83095	2.04951e-051	9.33341e-170	2.31375e-248	2.04951e-051	1
2.03	26	5.09902	6.29756e-051	1.04415e-168	4.95087e-247	6.29756e-051	1
2.04	34	5.83095	1.10178e-050	3.4828e-168	2.28316e-246	1.10178e-050	1
2.06	28	5.2915	3.35941e-050	3.85356e-167	4.82602e-245	3.35941e-050	1
2.07	38	6.16441	5.85474e-050	1.2783e-166	2.21201e-244	5.85474e-050	1
2.09	36	6	1.77142e-049	1.39886e-165	4.61878e-243	1.77142e-049	1
2.11	46	6.78233	5.3321e-049	1.51959e-164	9.5659e-242	5.3321e-049	1
2.12	38	6.16441	9.23312e-049	4.99463e-164	4.34008e-241	9.23312e-049	1
2.14	21	4.58258	2.75785e-048	5.36615e-163	8.8794e-240	2.75785e-048	1
2.15	31	5.56776	4.75712e-048	1.75406e-162	4.00405e-239	4.75712e-048	1
2.17	32	5.65685	1.40998e-047	1.86387e-161	8.09232e-238	1.40998e-047	1
2.18	32	5.65685	2.42275e-047	6.05902e-161	3.62687e-237	2.42275e-047	1
2.2	45	6.7082	7.12562e-047	6.3677e-160	7.24093e-236	7.12562e-047	1
2.22	39	6.245	2.08498e-046	6.64307e-159	1.43389e-234	2.08498e-046	1
2.23	29	5.38516	3.5596e-046	2.13976e-158	6.36131e-234	3.5596e-046	1
2.25	29	5.38516	1.03354e-045	2.20781e-157	1.24438e-232	1.03354e-045	1
2.26	30	5.47723	1.75772e-045	7.07231e-157	5.48695e-232	1.75772e-045	1
2.28	36	6	5.06429e-045	7.21718e-156	1.06029e-230	5.06429e-045	1
2.3	32	5.65685	1.45162e-044	7.31106e-155	2.03227e-229	1.45162e-044	1
2.31	11	3.31662	2.4529e-044	2.32054e-154	8.87013e-229	2.4529e-044	1
2.33	33	5.74456	6.97685e-044	2.32494e-153	1.67947e-227	6.97685e-044	1
2.34	25	5	1.17439e-043	7.3388e-153	7.28559e-227	1.17439e-043	1
2.36	39	6.245	3.31464e-043	7.27207e-152	1.36268e-225	3.31464e-043	1
2.37	29	5.38516	5.55789e-043	2.28285e-151	5.87532e-225	5.55789e-043	1
2.39	32	5.65685	1.55661e-042	2.23727e-150	1.08555e-223	1.55661e-042	1
2.41	27	5.19615	4.33726e-042	2.17655e-149	1.98941e-222	4.33726e-042	1
2.42	34	5.83095	7.22593e-042	6.77009e-149	8.49052e-222	7.22593e-042	1
2.44	34	5.83095	1.9979e-041	6.51409e-148	1.53709e-220	1.9979e-041	1
2.45	31	5.56776	3.3157e-041	2.01505e-147	6.52006e-220	3.3157e-041	1
2.47	29	5.38516	9.09707e-041	1.91758e-146	1.16601e-218	9.09707e-041	1
2.48	23	4.79583	1.50393e-040	5.89917e-146	4.91587e-218	1.50393e-040	1
2.5	27	5.19615	4.09447e-040	5.55225e-145	8.6844e-217	4.09447e-040	1
2.52	21	4.58258	1.10901e-039	5.18746e-144	1.52173e-215	1.10901e-039	1
2.53	28	5.2915	1.82164e-039	1.58125e-143	6.3505e-215	1.82164e-039	1
2.55	36	6	4.89603e-039	1.46115e-142	1.09924e-213	4.89603e-039	1
2.56	22	4.69042	8.01118e-039	4.4294e-142	4.5594e-213	8.01118e-039	1
2.58	32	5.65685	2.1366e-038	4.04808e-141	7.79616e-212	2.1366e-038	1
2.6	28	5.2915	5.66911e-038	3.67249e-140	1.32225e-210	5.66911e-038	1
2.61	32	5.65685	9.21662e-038	1.10311e-139	5.42875e-210	9.21662e-038	1
2.63	27	5.19615	2.42666e-037	9.89784e-139	9.09534e-209	2.42666e-037	1
2.64	32	5.65685	3.92996e-037	2.95668e-138	3.71151e-208	3.92996e-037	1
2.66	30	5.47723	1.02676e-036	2.62382e-137	6.14267e-207	1.02676e-036	1
2.67	26	5.09902	1.65643e-036	7.79476e-137	2.49134e-206	1.65643e-036	1
2.69	34	5.83095	4.29439e-036	6.84139e-136	4.07312e-205	4.29439e-036	1
2.71	27	5.19615	1.10763e-035	5.96062e-135	6.60512e-204	1.10763e-035	1
2.72	32	5.65685	1.77542e-035	1.75456e-134	2.65173e-203	1.77542e-035	1
2.74	34	5.83095	4.544e-035	1.51191e-133	4.24786e-202	4.544e-035	1
2.75	35	5.91608	7.25552e-035	4.42595e-133	1.69497e-201	7.25552e-035	1
2.77	37	6.08276	1.84269e-034	3.77202e-132	2.6822e-200	1.84269e-034	1
2.79	35	5.91608	4.65586e-034	3.19116e-131	4.20996e-199	4.65586e-034	1
2.8	29	5.38516	7.38643e-034	9.25631e-131	1.66281e-198	7.38643e-034	1
2.82	19	4.3589	1.85194e-033	7.74501e-130	2.57821e-197	1.85194e-033	1
2.83	31	5.56776	2.92675e-033	2.23417e-129	1.01211e-196	2.92675e-033	1
2.85	30	5.47723	7.28156e-033	1.84889e-128	1.55021e-195	7.28156e-033	1
2.86	36	6	1.14632e-032	5.30407e-128	6.04843e-195	1.14632e-032	1
2.88	29	5.38516	2.83002e-032	4.34123e-127	9.15151e-194	2.83002e-032	1
2.9	27	5.19615	6.95086e-032	3.52715e-126	1.37341e-192	6.95086e-032	1
2.91	35	5.91608	1.08724e-031	1.00261e-125	5.30429e-192	1.08724e-031	1
2.93	29	5.38516	2.64983e-031	8.05659e-125	7.86364e-191	2.64983e-031	1
2.94	28	5.2915	4.12883e-031	2.27753e-124	3.01852e-190	4.12883e-031	1
2.96	28	5.2915	9.98542e-031	1.81006e-123	4.42057e-189	9.98542e-031	1
2.98	25	5	2.40254e-030	1.42801e-122	6.42126e-188	2.40254e-030	1
2.99	27	5.19615	3.71949e-030	3.99992e-122	2.43985e-187	3.71949e-030	1
3.01	21	4.58258	8.88041e-030	3.12103e-121	3.50101e-186	8.88041e-030	1
3.02	25	5	1.36952e-029	8.69407e-121	1.32215e-185	1.36952e-029	1
3.04	28	5.2915	3.24462e-029	6.70934e-120	1.87413e-184	3.24462e-029	1
3.05	29	5.38516	4.98452e-029	1.8587e-119	7.03444e-184	4.98452e-029	1
3.07	30	5.47723	1.17183e-028	1.41865e-118	9.84998e-183	1.17183e-028	1
3.09	23	4.79583	2.74075e-028	1.07485e-117	1.36804e-181	2.74075e-028	1
3.1	24	4.89898	4.18343e-028	2.95045e-117	5.08281e-181	4.18343e-028	1
3.12	35	5.91608	9.70919e-028	2.21091e-116	6.97357e-180	9.70919e-028	1
3.13	24	4.89898	1.47628e-027	6.03552e-116	2.57515e-179	1.47628e-027	1
3.15	23	4.79583	3.3999e-027	4.47309e-115	3.49014e-178	3.3999e-027	1
3.17	24	4.89898	7.7898e-027	3.29084e-114	4.69181e-177	7.7898e-027	1
3.18	26	5.09902	1.17684e-026	8.9014e-114	1.71499e-176	1.17684e-026	1
3.2	26	5.09902	2.67561e-026	6.47691e-113	2.27744e-175	2.67561e-026	1
3.21	28	5.2915	4.02659e-026	1.74231e-112	8.27394e-175	4.02659e-026	1
3.23	22	4.69042	9.08425e-026	1.25384e-111	1.08539e-173	9.08425e-026	1
3.24	30	5.47723	1.36184e-025	3.35433e-111	3.91917e-173	1.36184e-025	1
3.26	24	4.89898	3.04876e-025	2.38745e-110	5.07874e-172	3.04876e-025	1
3.28	31	5.56776	6.79024e-025	1.68682e-109	6.52793e-171	6.79024e-025	1
3.29	32	5.65685	1.01141e-024	4.47136e-109	2.33323e-170	1.01141e-024	1
3.31	40	6.32456	2.23529e-024	3.12453e-108	2.96254e-169	2.23529e-024	1
3.32	28	5.2915	3.31664e-024	8.23683e-108	1.05242e-168	3.31664e-024	1
3.34	42	6.48074	7.27363e-024	5.69266e-107	1.32003e-167	7.27363e-024	1
3.36	27	5.19615	1.58697e-023	3.9055e-106	1.64225e-166	1.58697e-023	1
3.37	45	6.7082	2.33958e-023	1.02014e-105	5.77481e-166	2.33958e-023	1
