# exported by fityk 0.8.7
#6-EdelStahl:x	6-EdelStahl:y	6-EdelStahl:s	6-EdelStahl:F(x)	6-EdelStahl:%_1(x)	6-EdelStahl:%_2(x)	6-EdelStahl:%_4(x)	6-EdelStahl:a
1.77	21	4.58258	0.000913187	3.30818e-073	3.68701e-146	0.000913187	1
1.79	15	3.87298	0.00119018	1.50773e-072	4.80387e-145	0.00119018	1
1.8	9	3	0.00135708	3.21081e-072	1.72771e-144	0.00135708	1
1.82	14	3.74166	0.00176	1.44892e-071	2.21853e-143	0.00176	1
1.84	18	4.24264	0.00227505	6.49534e-071	2.82129e-142	0.00227505	1
1.85	12	3.4641	0.00258341	1.37184e-070	1.00244e-141	0.00258341	1
1.87	17	4.12311	0.00332295	6.08917e-070	1.25637e-140	0.00332295	1
1.88	15	3.87298	0.00376403	1.2797e-069	4.43169e-140	0.00376403	1
1.9	13	3.60555	0.00481768	5.62412e-069	5.47405e-139	0.00481768	1
1.92	19	4.3589	0.006146	2.45545e-068	6.69628e-138	0.006146	1
1.93	14	3.74166	0.00693318	5.11792e-068	2.33354e-137	0.00693318	1
1.95	10	3.16228	0.00880118	2.2124e-067	2.81333e-136	0.00880118	1
1.96	11	3.31662	0.00990394	4.58853e-067	9.73289e-136	0.00990394	1
1.98	20	4.47214	0.0125104	1.96399e-066	1.15644e-134	0.0125104	1
1.99	14	3.74166	0.0140431	4.05317e-066	3.97178e-134	0.0140431	1
2.01	17	4.12311	0.0176514	1.71773e-065	4.65101e-133	0.0176514	1
2.03	22	4.69042	0.0221139	7.23175e-065	5.39379e-132	0.0221139	1
2.04	15	3.87298	0.0247212	1.48017e-064	1.83015e-131	0.0247212	1
2.06	19	4.3589	0.0308183	6.17014e-064	2.09177e-130	0.0308183	1
2.07	16	4	0.034367	1.25664e-063	7.04606e-130	0.034367	1
2.09	14	3.74166	0.0426318	5.18667e-063	7.9369e-129	0.0426318	1
2.11	17	4.12311	0.0527102	2.12665e-062	8.85404e-128	0.0527102	1
2.12	14	3.74166	0.0585381	4.29559e-062	2.9465e-127	0.0585381	1
2.14	16	4	0.0720202	1.74391e-061	3.23948e-126	0.0720202	1
2.15	18	4.24264	0.0797857	3.50509e-061	1.07024e-125	0.0797857	1
2.17	16	4	0.0976774	1.40895e-060	1.15965e-124	0.0976774	1
2.18	12	3.4641	0.107942	2.81784e-060	3.8034e-124	0.107942	1
2.2	20	4.47214	0.131497	1.12152e-059	4.06162e-123	0.131497	1
2.22	12	3.4641	0.159664	4.43431e-059	4.29548e-122	0.159664	1
2.23	14	3.74166	0.175718	8.79548e-059	1.39183e-121	0.175718	1
2.25	16	4	0.212306	3.44329e-058	1.45071e-120	0.212306	1
2.26	18	4.24264	0.233076	6.79601e-058	4.66653e-120	0.233076	1
2.28	12	3.4641	0.280219	2.63428e-057	4.79363e-119	0.280219	1
2.3	24	4.89898	0.335788	1.01438e-056	4.87664e-118	0.335788	1
2.31	14	3.74166	0.367125	1.98561e-056	1.54977e-117	0.367125	1
2.33	10	3.16228	0.43776	7.57051e-056	1.55383e-116	0.43776	1
2.34	18	4.24264	0.477431	1.47457e-055	4.90219e-116	0.477431	1
2.36	13	3.60555	0.566483	5.56662e-055	4.84399e-115	0.566483	1
2.37	15	3.87298	0.616294	1.07889e-054	1.51716e-114	0.616294	1
2.39	12	3.4641	0.727642	4.03273e-054	1.47748e-113	0.727642	1
2.41	14	3.74166	0.856282	1.49744e-053	1.42495e-112	0.856282	1
2.42	16	4	0.927748	2.87838e-053	4.40919e-112	0.927748	1
2.44	15	3.87298	1.08638	1.05826e-052	4.19098e-111	1.08638	1
2.45	19	4.3589	1.17415	2.02413e-052	1.2874e-110	1.17415	1
2.47	19	4.3589	1.36814	7.36848e-052	1.20601e-109	1.36814	1
2.48	20	4.47214	1.47501	1.4024e-051	3.67779e-109	1.47501	1
2.5	22	4.69042	1.71024	5.0548e-051	3.39548e-108	1.71024	1
2.52	17	4.12311	1.97645	1.80995e-050	3.10457e-107	1.97645	1
2.53	11	3.31662	2.12209	3.41643e-050	9.35343e-107	2.12209	1
2.55	15	3.87298	2.44032	1.21124e-049	8.42849e-106	2.44032	1
2.56	8	2.82843	2.61368	2.275e-049	2.52092e-105	2.61368	1
2.58	21	4.58258	2.99081	7.98607e-049	2.23881e-104	2.99081	1
2.6	13	3.60555	3.41111	2.78493e-048	1.96907e-103	3.41111	1
2.61	12	3.4641	3.63842	5.18774e-048	5.81837e-103	3.63842	1
2.63	7	2.64575	4.12926	1.79124e-047	5.0434e-102	4.12926	1
2.64	9	3	4.39355	3.3202e-047	1.47946e-101	4.39355	1
2.66	14	3.74166	4.96169	1.1351e-046	1.26388e-100	4.96169	1
2.67	12	3.4641	5.26623	2.0936e-046	3.68066e-100	5.26623	1
2.69	15	3.87298	5.9179	7.08691e-046	3.09888e-099	5.9179	1
2.71	16	4	6.62833	2.38314e-045	2.58387e-098	6.62833	1
2.72	9	3	7.00625	4.35934e-045	7.43401e-098	7.00625	1
2.74	11	3.31662	7.80866	1.45147e-044	6.10896e-097	7.80866	1
2.75	13	3.60555	8.23351	2.64196e-044	1.74485e-096	8.23351	1
2.77	16	4	9.13123	8.70979e-044	1.41313e-095	9.13123	1
2.79	10	3.16228	10.0935	2.85246e-043	1.13342e-094	10.0935	1
2.8	24	4.89898	10.599	5.14931e-043	3.19827e-094	10.599	1
2.82	15	3.87298	11.6582	1.66976e-042	2.52815e-093	11.6582	1
2.83	16	4	12.2117	2.99938e-042	7.08217e-093	12.2117	1
2.85	16	4	13.3659	9.63012e-042	5.51737e-092	13.3659	1
2.86	20	4.47214	13.966	1.7213e-041	1.53439e-091	13.966	1
2.88	15	3.87298	15.2106	5.47205e-041	1.1781e-090	15.2106	1
2.9	19	4.3589	16.5117	1.72812e-040	8.958e-090	16.5117	1
2.91	20	4.47214	17.1821	3.06344e-040	2.4612e-089	17.1821	1
2.93	23	4.79583	18.5598	9.57917e-040	1.8444e-088	18.5598	1
2.94	20	4.47214	19.2658	1.6897e-039	5.03072e-088	19.2658	1
2.96	21	4.58258	20.708	5.23147e-039	3.71551e-087	20.708	1
2.98	19	4.3589	22.1849	1.60904e-038	2.71765e-086	22.1849	1
2.99	25	5	22.9341	2.81488e-038	7.32318e-086	22.9341	1
3.01	25	5	24.4487	8.5723e-038	5.27901e-085	24.4487	1
3.02	23	4.79583	25.212	1.49224e-037	1.41221e-084	25.212	1
3.04	22	4.69042	26.7445	4.49956e-037	1.0033e-083	26.7445	1
3.05	38	6.16441	27.5114	7.79397e-037	2.6645e-083	27.5114	1
3.07	27	5.19615	29.0399	2.32693e-036	1.86563e-082	29.0399	1
3.09	25	5	30.5524	6.90143e-036	1.29367e-081	30.5524	1
3.1	32	5.65685	31.2993	1.1856e-035	3.39423e-081	31.2993	1
3.12	28	5.2915	32.7672	3.48168e-035	2.31961e-080	32.7672	1
3.13	26	5.09902	33.4854	5.95164e-035	6.04189e-080	33.4854	1
3.15	31	5.56776	34.883	1.73053e-034	4.06937e-079	34.883	1
3.17	42	6.48074	36.2194	4.99866e-034	2.71435e-078	36.2194	1
3.18	44	6.63325	36.8612	8.47448e-034	6.98483e-078	36.8612	1
3.2	30	5.47723	38.0847	2.42371e-033	4.59171e-077	38.0847	1
3.21	34	5.83095	38.6638	4.08872e-033	1.17301e-076	38.6638	1
3.23	46	6.78233	39.7503	1.15784e-032	7.59976e-076	39.7503	1
3.24	37	6.08276	40.2551	1.94359e-032	1.92738e-075	40.2551	1
3.26	30	5.47723	41.1823	5.44953e-032	1.23068e-074	41.1823	1
3.28	39	6.245	41.9922	1.51791e-031	7.78226e-074	41.9922	1
3.29	31	5.56776	42.3508	2.52703e-031	1.94987e-073	42.3508	1
3.31	53	7.28011	42.9708	6.96932e-031	1.2152e-072	42.9708	1
3.32	43	6.55744	43.2308	1.15453e-030	3.02264e-072	43.2308	1
3.34	50	7.07107	43.6474	3.15267e-030	1.85655e-071	43.6474	1
3.36	49	7	43.9232	8.55227e-030	1.1293e-070	43.9232	1
3.37	36	6	44.0073	1.4051e-029	2.77513e-070	44.0073	1
3.39	42	6.48074	44.067	3.77403e-029	1.66367e-069	44.067	1
3.4	39	6.245	44.0424	6.16989e-029	4.05862e-069	44.0424	1
3.42	42	6.48074	43.8848	1.64085e-028	2.39795e-068	43.8848	1
3.43	48	6.9282	43.7521	2.66925e-028	5.80753e-068	43.7521	1
3.45	32	5.65685	43.3805	7.02871e-028	3.38168e-067	43.3805	1
3.47	34	5.83095	42.8707	1.83862e-027	1.95011e-066	42.8707	1
3.48	34	5.83095	42.5654	2.96636e-027	4.66598e-066	42.5654	1
3.5	47	6.85565	41.8577	7.68305e-027	2.65185e-065	41.8577	1
3.51	38	6.16441	41.4571	1.23342e-026	6.29899e-065	41.4571	1
3.53	40	6.32456	40.5669	3.16313e-026	3.52822e-064	40.5669	1
3.54	31	5.56776	40.0795	5.05292e-026	8.31989e-064	40.0795	1
3.56	39	6.245	39.0255	1.28304e-025	4.59284e-063	39.0255	1
3.58	29	5.38516	37.8743	3.23646e-025	2.5109e-062	37.8743	1
3.59	41	6.40312	37.2654	5.12753e-025	5.84957e-062	37.2654	1
3.61	35	5.91608	35.9878	1.28065e-024	3.15175e-061	35.9878	1
3.62	36	6	35.3219	2.0189e-024	7.2893e-061	35.3219	1
3.64	26	5.09902	33.9428	4.99267e-024	3.87072e-060	33.9428	1
3.66	22	4.69042	32.5102	1.22653e-023	2.03556e-059	32.5102	1
3.67	33	5.74456	31.7775	1.91768e-023	4.65105e-059	31.7775	1
3.69	16	4	30.2863	4.66463e-023	2.41058e-058	30.2863	1
3.7	23	4.79583	29.5307	7.25707e-023	5.46798e-058	29.5307	1
3.72	31	5.56776	28.0061	1.74782e-022	2.79304e-057	28.0061	1
3.73	22	4.69042	27.24	2.70575e-022	6.28958e-057	27.24	1
3.75	26	5.09902	25.7064	6.45234e-022	3.16629e-056	25.7064	1
3.77	23	4.79583	24.1793	1.52854e-021	1.57857e-055	24.1793	1
3.78	14	3.74166	23.4212	2.34682e-021	3.5119e-055	23.4212	1
3.8	23	4.79583	21.9213	5.50469e-021	1.72558e-054	21.9213	1
3.81	27	5.19615	21.1815	8.40975e-021	3.81111e-054	21.1815	1
3.83	23	4.79583	19.7273	1.95313e-020	1.84554e-053	19.7273	1
3.85	18	4.24264	18.3125	4.50618e-020	8.85077e-053	18.3125	1
3.86	28	5.2915	17.6219	6.82764e-020	1.93121e-052	17.6219	1
3.88	19	4.3589	16.2774	1.5597e-019	9.1278e-052	16.2774	1
3.89	22	4.69042	15.6248	2.35153e-019	1.97722e-051	15.6248	1
3.91	21	4.58258	14.3616	5.31884e-019	9.2102e-051	14.3616	1
3.92	21	4.58258	13.7518	7.97947e-019	1.9806e-050	13.7518	1
3.94	20	4.47214	12.5777	1.78704e-018	9.09265e-050	12.5777	1
3.96	17	4.12311	11.466	3.97579e-018	4.134e-049	11.466	1
3.97	20	4.47214	10.934	5.91551e-018	8.78274e-049	10.934	1
3.99	29	5.38516	9.91846	1.3031e-017	3.9354e-048	9.91846	1
4	22	4.69042	9.43495	1.92926e-017	8.30018e-048	9.43495	1
4.02	9	3	8.51643	4.20795e-017	3.66543e-047	8.51643	1
4.04	19	4.3589	7.66205	9.11755e-017	1.60305e-046	7.66205	1
4.05	19	4.3589	7.25858	1.33877e-016	3.34025e-046	7.25858	1
4.07	22	4.69042	6.49819	2.87215e-016	1.43973e-045	6.49819	1
4.08	19	4.3589	6.14082	4.19645e-016	2.97819e-045	6.14082	1
4.1	21	4.58258	5.47042	8.91413e-016	1.26512e-044	5.47042	1
4.11	32	5.65685	5.15682	1.29599e-015	2.59802e-044	5.15682	1
4.13	21	4.58258	4.5712	2.72579e-015	1.08768e-043	4.5712	1
4.15	15	3.87298	4.03876	5.69524e-015	4.5097e-043	4.03876	1
4.16	19	4.3589	3.79158	8.21194e-015	9.14934e-043	3.79158	1
4.18	16	4	3.33343	1.69887e-014	3.73864e-042	3.33343	1
4.19	25	5	3.12169	2.43748e-014	7.53001e-042	3.12169	1
4.21	16	4	2.73096	4.99287e-014	3.03248e-041	2.73096	1
4.23	16	4	2.38127	1.01599e-013	1.20945e-040	2.38127	1
4.24	13	3.60555	2.22085	1.44571e-013	2.40658e-040	2.22085	1
4.26	18	4.24264	1.92694	2.91283e-013	9.4595e-040	1.92694	1
4.27	25	5	1.79269	4.12434e-013	1.86862e-039	1.79269	1
4.29	20	4.47214	1.54777	8.22776e-013	7.23881e-039	1.54777	1
4.3	22	4.69042	1.43639	1.15923e-012	1.41958e-038	1.43639	1
4.32	23	4.79583	1.23403	2.28976e-012	5.41982e-038	1.23403	1
4.34	22	4.69042	1.0567	4.49305e-012	2.04925e-037	1.0567	1
4.35	21	4.58258	0.976625	6.27828e-012	3.97027e-037	0.976625	1
4.37	18	4.24264	0.832159	1.21979e-011	1.47948e-036	0.832159	1
4.38	20	4.47214	0.7672	1.69602e-011	2.8456e-036	0.7672	1
4.4	18	4.24264	0.650491	3.26266e-011	1.04506e-035	0.650491	1
4.42	16	4	0.549721	6.23506e-011	3.80099e-035	0.549721	1
4.43	17	4.12311	0.504727	8.59803e-011	7.22259e-035	0.504727	1
4.45	20	4.47214	0.424436	1.62691e-010	2.58896e-034	0.424436	1
4.46	29	5.38516	0.388734	2.23238e-010	4.88384e-034	0.388734	1
4.48	17	4.12311	0.325283	4.1824e-010	1.72533e-033	0.325283	1
4.49	38	6.16441	0.297187	5.71055e-010	3.23109e-033	0.297187	1
4.51	26	5.09902	0.247453	1.05933e-009	1.12496e-032	0.247453	1
4.53	23	4.79583	0.205364	1.95214e-009	3.87895e-032	0.205364	1
4.54	20	4.47214	0.186855	2.64348e-009	7.17666e-032	0.186855	1
4.56	26	5.09902	0.154308	4.82338e-009	2.43881e-031	0.154308	1
4.57	30	5.47723	0.140054	6.49925e-009	4.47944e-031	0.140054	1
4.59	24	4.89898	0.115089	1.17418e-008	1.50023e-030	0.115089	1
4.6	27	5.19615	0.1042	1.57432e-008	2.73555e-030	0.1042	1
4.62	23	4.79583	0.0852043	2.81616e-008	9.02935e-030	0.0852043	1
4.64	32	5.65685	0.0694423	5.00439e-008	2.95158e-029	0.0694423	1
4.65	27	5.19615	0.0626137	6.65459e-008	5.31708e-029	0.0626136	1
4.67	28	5.2915	0.0507792	1.17087e-007	1.71297e-028	0.0507791	1
4.68	33	5.74456	0.0456728	1.54927e-007	3.06343e-028	0.0456727	1
4.7	27	5.19615	0.0368578	2.69905e-007	9.72666e-028	0.0368575	1
4.72	21	4.58258	0.0296464	4.67114e-007	3.05848e-027	0.0296459	1
4.73	31	5.56776	0.0265557	6.12989e-007	5.40375e-027	0.0265551	1
4.75	25	5	0.0212551	1.05041e-006	1.67462e-026	0.021254	1
4.76	33	5.74456	0.0189925	1.37163e-006	2.93728e-026	0.0189911	1
4.78	28	5.2915	0.0151274	2.32722e-006	8.97107e-026	0.0151251	1
4.79	35	5.91608	0.0134844	3.02385e-006	1.56212e-025	0.0134814	1
4.81	22	4.69042	0.0106891	5.07991e-006	4.70209e-025	0.010684	1
4.83	26	5.09902	0.00844774	8.47775e-006	1.4017e-024	0.00843926	1
4.84	18	4.24264	0.00750215	1.09249e-005	2.41133e-024	0.00749122	1
4.86	23	4.79583	0.00590616	1.80524e-005	7.08432e-024	0.00588811	1
4.87	19	4.3589	0.00523691	2.31483e-005	1.20987e-023	0.00521376	1
4.89	32	5.65685	0.00411569	3.78732e-005	3.50316e-023	0.00407782	1
4.91	24	4.89898	0.00324044	6.15566e-005	1.00454e-022	0.00317888	1
4.92	24	4.89898	0.00288153	7.82834e-005	1.69488e-022	0.00280325	1
4.94	27	5.19615	0.00230049	0.000125982	4.78988e-022	0.00217451	1
4.95	26	5.09902	0.00207224	0.000159422	8.02301e-022	0.00191282	1
4.97	25	5	0.00173051	0.000254028	2.23461e-021	0.00147648	1
4.98	27	5.19615	0.00161546	0.000319868	3.71581e-021	0.00129559	1
5	30	5.47723	0.00149978	0.000504657	1.01999e-020	0.000995122	1
5.02	22	4.69042	0.00155278	0.000790954	2.77284e-020	0.000761821	1
5.03	26	5.09902	0.0016535	0.000987763	4.55522e-020	0.00066574	1
5.05	31	5.56776	0.00204001	0.00153286	1.22044e-019	0.000507149	1
5.06	28	5.2915	0.0023469	0.00190481	1.9904e-019	0.000442094	1
5.08	21	4.58258	0.00326193	0.00292681	5.25566e-019	0.000335119	1
5.1	39	6.245	0.00472073	0.00446754	1.37436e-018	0.000253193	1
5.11	24	4.89898	0.00572571	0.0055059	2.21439e-018	0.000219807	1
5.13	27	5.19615	0.00848665	0.0083214	5.70697e-018	0.000165253	1
5.14	25	5	0.0103479	0.0102048	9.12853e-018	0.000143109	1
5.16	21	4.58258	0.015378	0.0152709	2.31863e-017	0.00010706	1
5.17	31	5.56776	0.0187271	0.0186346	3.68184e-017	9.2485e-005	1
5.19	15	3.87298	0.0276795	0.0276107	9.21666e-017	6.88472e-005	1
5.21	22	4.69042	0.0406919	0.0406409	2.2849e-016	5.10823e-005	1
5.22	19	4.3589	0.0492286	0.0491846	3.58455e-016	4.39466e-005	1
5.24	24	4.89898	0.0717144	0.071682	8.75805e-016	3.24462e-005	1
5.25	29	5.38516	0.0863503	0.0863224	1.364e-015	2.78449e-005	1
5.27	30	5.47723	0.124586	0.124566	3.28447e-015	2.04568e-005	1
5.29	25	5	0.178582	0.178567	7.83254e-015	1.49795e-005	1
5.3	27	5.19615	0.213282	0.213269	1.20515e-014	1.28024e-005	1
5.32	21	4.58258	0.302719	0.30271	2.83242e-014	9.32838e-006	1
5.33	31	5.56776	0.359757	0.359749	4.32649e-014	7.95292e-006	1
5.35	18	4.24264	0.505588	0.505582	1.00214e-013	5.76627e-006	1
5.36	28	5.2915	0.597882	0.597877	1.51966e-013	4.90391e-006	1
5.38	33	5.74456	0.831957	0.831953	3.46914e-013	3.53805e-006	1
5.4	34	5.83095	1.15005	1.15005	7.84298e-013	2.54423e-006	1
5.41	34	5.83095	1.3488	1.3488	1.17498e-012	2.15484e-006	1
5.43	21	4.58258	1.84612	1.84611	2.61799e-012	1.54191e-006	1
5.44	33	5.74456	2.15446	2.15446	3.89366e-012	1.3027e-006	1
5.46	40	6.32456	2.91973	2.91973	8.55017e-012	9.27564e-007	1
5.48	23	4.79583	3.93077	3.93077	1.85942e-011	6.58282e-007	1
5.49	37	6.08276	4.54955	4.54955	2.73211e-011	5.53872e-007	1
5.51	24	4.89898	6.06454	6.06453	5.85572e-011	3.91139e-007	1
5.52	42	6.48074	6.98451	6.9845	8.54163e-011	3.28288e-007	1
5.54	37	6.08276	9.21847	9.21847	1.80427e-010	2.30691e-007	1
5.55	36	6	10.5644	10.5644	2.61277e-010	1.93144e-007	1
5.57	35	5.91608	13.8058	13.8058	5.43927e-010	1.35055e-007	1
5.59	58	7.61577	17.9229	17.9229	1.12141e-009	9.41259e-008	1
5.6	40	6.32456	20.3707	20.3707	1.60434e-009	7.84823e-008	1
5.62	43	6.55744	26.1847	26.1847	3.25988e-009	5.44282e-008	1
5.63	54	7.34847	29.6137	29.6137	4.62991e-009	4.52703e-008	1
5.65	69	8.30662	37.6902	37.6902	9.27161e-009	3.12406e-008	1
5.67	69	8.30662	47.6534	47.6534	1.83875e-008	2.14879e-008	1
5.68	67	8.18535	53.4503	53.4503	2.58005e-008	1.7799e-008	1
5.7	89	9.43398	66.9129	66.9129	5.04283e-008	1.21822e-008	1
5.71	111	10.5357	74.6815	74.6815	7.02454e-008	1.00659e-008	1
5.73	102	10.0995	92.5693	92.5693	1.35314e-007	6.85543e-009	1
5.74	135	11.619	102.806	102.806	1.87123e-007	5.65053e-009	1
5.76	135	11.619	126.173	126.173	3.55247e-007	3.82935e-009	1
5.78	173	13.1529	153.831	153.831	6.67915e-007	2.58661e-009	1
5.79	181	13.4536	169.436	169.436	9.12506e-007	2.12323e-009	1
5.81	189	13.7477	204.54	204.54	1.69085e-006	1.42711e-009	1
5.82	211	14.5258	224.176	224.176	2.29329e-006	1.16856e-009	1
5.84	303	17.4069	267.951	267.951	4.188e-006	7.81561e-010	1
5.85	268	16.3707	292.221	292.221	5.63898e-006	6.38385e-010	1
5.87	343	18.5203	345.838	345.838	1.01491e-005	4.24864e-010	1
5.89	371	19.2614	406.596	406.596	1.809e-005	2.81829e-010	1
5.9	446	21.1187	439.776	439.776	2.40639e-005	2.29254e-010	1
5.92	493	22.2036	511.937	511.936	4.22724e-005	1.51324e-010	1
5.93	478	21.8632	550.975	550.975	5.58241e-005	1.22791e-010	1
5.95	615	24.7992	635.054	635.054	9.66478e-005	8.06508e-011	1
5.97	629	25.0799	727.142	727.142	0.00016571	5.27985e-011	1
5.98	689	26.2488	776.153	776.153	0.000216195	4.26669e-011	1
6	850	29.1548	879.934	879.934	0.000365325	2.77944e-011	1
