# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
2.15	28	5.2915	2.79741e-133	2.79741e-133	1.06617e-221	1
2.17	27	5.19615	2.38006e-132	2.38006e-132	2.27617e-220	1
2.18	24	4.89898	6.92327e-132	6.92327e-132	1.04812e-219	1
2.2	20	4.47214	5.82597e-131	5.82597e-131	2.20724e-218	1
2.22	29	5.38516	4.86678e-130	4.86678e-130	4.60606e-217	1
2.23	18	4.24264	1.40276e-129	1.40276e-129	2.09693e-216	1
2.25	26	5.09902	1.15899e-128	1.15899e-128	4.31645e-215	1
2.26	24	4.89898	3.32228e-128	3.32228e-128	1.9517e-214	1
2.28	29	5.38516	2.71492e-127	2.71492e-127	3.96294e-213	1
2.3	28	5.2915	2.20239e-126	2.20239e-126	7.97374e-212	1
2.31	22	4.69042	6.25558e-126	6.25558e-126	3.56451e-211	1
2.33	18	4.24264	5.01913e-125	5.01913e-125	7.07466e-210	1
2.34	34	5.83095	1.4178e-124	1.4178e-124	3.14105e-209	1
2.36	27	5.19615	1.12512e-123	1.12512e-123	6.14953e-208	1
2.37	20	4.47214	3.16081e-123	3.16081e-123	2.7117e-207	1
2.39	22	4.69042	2.48088e-122	2.48088e-122	5.23685e-206	1
2.41	24	4.89898	1.933e-121	1.933e-121	1.00217e-204	1
2.42	21	4.58258	5.38083e-121	5.38083e-121	4.36909e-204	1
2.44	20	4.47214	4.14665e-120	4.14665e-120	8.24751e-203	1
2.45	21	4.58258	1.14796e-119	1.14796e-119	3.57112e-202	1
2.47	22	4.69042	8.74983e-119	8.74983e-119	6.64962e-201	1
2.48	26	5.09902	2.40903e-118	2.40903e-118	2.85962e-200	1
2.5	30	5.47723	1.81609e-117	1.81609e-117	5.25247e-199	1
2.52	25	5	1.3591e-116	1.3591e-116	9.56003e-198	1
2.53	34	5.83095	3.70776e-116	3.70776e-116	4.06465e-197	1
2.55	32	5.65685	2.7444e-115	2.7444e-115	7.2976e-196	1
2.56	23	4.79583	7.44598e-115	7.44598e-115	3.08158e-195	1
2.58	21	4.58258	5.45107e-114	5.45107e-114	5.45749e-194	1
2.6	28	5.2915	3.96148e-113	3.96148e-113	9.5775e-193	1
2.61	21	4.58258	1.065e-112	1.065e-112	3.9985e-192	1
2.63	15	3.87298	7.6551e-112	7.6551e-112	6.9218e-191	1
2.64	27	5.19615	2.04671e-111	2.04671e-111	2.87008e-190	1
2.66	25	5	1.45506e-110	1.45506e-110	4.90092e-189	1
2.67	13	3.60555	3.86899e-110	3.86899e-110	2.01829e-188	1
2.69	28	5.2915	2.72048e-109	2.72048e-109	3.39961e-187	1
2.71	25	5	1.89893e-108	1.89893e-108	5.67432e-186	1
2.72	25	5	5.00318e-108	5.00318e-108	2.31032e-185	1
2.74	27	5.19615	3.45409e-107	3.45409e-107	3.80381e-184	1
2.75	23	4.79583	9.05072e-107	9.05072e-107	1.53818e-183	1
2.77	36	6	6.18008e-106	6.18008e-106	2.49813e-182	1
2.79	19	4.3589	4.18911e-105	4.18911e-105	4.02036e-181	1
2.8	21	4.58258	1.08765e-104	1.08765e-104	1.60733e-180	1
2.82	15	3.87298	7.29192e-104	7.29192e-104	2.55162e-179	1
2.83	21	4.58258	1.88288e-103	1.88288e-103	1.01318e-178	1
2.85	17	4.12311	1.24853e-102	1.24853e-102	1.58657e-177	1
2.86	19	4.3589	3.20621e-102	3.20621e-102	6.25691e-177	1
2.88	27	5.19615	2.10276e-101	2.10276e-101	9.66482e-176	1
2.9	27	5.19615	1.369e-100	1.369e-100	1.47934e-174	1
2.91	21	4.58258	3.48352e-100	3.48352e-100	5.76795e-174	1
2.93	29	5.38516	2.24314e-099	2.24314e-099	8.70879e-173	1
2.94	16	4	5.67652e-099	5.67652e-099	3.37242e-172	1
2.96	31	5.56776	3.6153e-098	3.6153e-098	5.02272e-171	1
2.98	23	4.79583	2.28572e-097	2.28572e-097	7.41272e-170	1
2.99	19	4.3589	5.7315e-097	5.7315e-097	2.838e-169	1
3.01	21	4.58258	3.58402e-096	3.58402e-096	4.13155e-168	1
3.02	31	5.56776	8.93773e-096	8.93773e-096	1.57101e-167	1
3.04	21	4.58258	5.52782e-095	5.52782e-095	2.25601e-166	1
3.05	32	5.65685	1.37095e-094	1.37095e-094	8.51994e-166	1
3.07	24	4.89898	8.38634e-094	8.38634e-094	1.20687e-164	1
3.09	27	5.19615	5.09259e-093	5.09259e-093	1.69404e-163	1
3.1	21	4.58258	1.25149e-092	1.25149e-092	6.32516e-163	1
3.12	28	5.2915	7.51653e-092	7.51653e-092	8.75785e-162	1
3.13	25	5	1.83704e-091	1.83704e-091	3.2477e-161	1
3.15	33	5.74456	1.09127e-090	1.09127e-090	4.43571e-160	1
3.17	22	4.69042	6.4352e-090	6.4352e-090	6.00332e-159	1
3.18	24	4.89898	1.55841e-089	1.55841e-089	2.20101e-158	1
3.2	19	4.3589	9.08942e-089	9.08942e-089	2.9384e-157	1
