# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
1.88	29	5.38516	4.90507e-034	9.34192e-150	5.66027e-241	4.90507e-034	1
1.9	18	4.24264	1.01476e-033	7.59563e-149	1.04915e-239	1.01476e-033	1
1.92	30	5.47723	2.09261e-033	6.1372e-148	1.92985e-238	2.09261e-033	1
1.93	29	5.38516	3.00142e-033	1.74042e-147	8.25319e-238	3.00142e-033	1
1.95	26	5.09902	6.15968e-033	1.39308e-146	1.50083e-236	6.15968e-033	1
1.96	24	4.89898	8.81353e-033	3.93204e-146	6.3818e-236	8.81353e-033	1
1.98	26	5.09902	1.80006e-032	3.11787e-145	1.1473e-234	1.80006e-032	1
1.99	26	5.09902	2.56941e-032	8.75908e-145	4.85067e-234	2.56941e-032	1
2.01	29	5.38516	5.2225e-032	6.88045e-144	8.6211e-233	5.2225e-032	1
2.03	44	6.63325	1.0581e-031	5.37098e-143	1.52057e-231	1.0581e-031	1
2.04	40	6.32456	1.50428e-031	1.4971e-142	6.36773e-231	1.50428e-031	1
2.06	31	5.56776	3.0331e-031	1.15772e-141	1.11033e-229	3.0331e-031	1
2.07	31	5.56776	4.30172e-031	3.2119e-141	4.62322e-229	4.30172e-031	1
2.09	28	5.2915	8.63188e-031	2.46055e-140	7.96964e-228	8.63188e-031	1
2.11	34	5.83095	1.72653e-030	1.87319e-139	1.36338e-226	1.72653e-030	1
2.12	21	4.58258	2.43885e-030	5.15628e-139	5.62291e-226	2.43885e-030	1
2.14	35	5.91608	4.85468e-030	3.88869e-138	9.50964e-225	4.85468e-030	1
2.15	23	4.79583	6.84108e-030	1.06541e-137	3.89961e-224	6.84108e-030	1
2.17	24	4.89898	1.35521e-029	7.95978e-137	6.52003e-223	1.35521e-029	1
2.18	26	5.09902	1.90513e-029	2.17056e-136	2.6584e-222	1.90513e-029	1
2.2	21	4.58258	3.75591e-029	1.60648e-135	4.39413e-221	3.75591e-029	1
2.22	28	5.2915	7.38089e-029	1.18155e-134	7.20792e-220	7.38089e-029	1
2.23	28	5.2915	1.03343e-028	3.19686e-134	2.91095e-219	1.03343e-028	1
