# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_4(x)	2-Fe:%_5(x)	2-Fe:a
2.17	20	4.47214	2.4058e-067	2.4058e-067	6.28667e-143	1
2.18	19	4.3589	5.16203e-067	5.16203e-067	2.43505e-142	1
2.2	15	3.87298	2.36365e-066	2.36365e-066	3.62322e-141	1
2.22	16	4	1.07448e-065	1.07448e-065	5.33205e-140	1
2.23	13	3.60555	2.28469e-065	2.28469e-065	2.03704e-139	1
2.25	10	3.16228	1.02737e-064	1.02737e-064	2.94863e-138	1
2.26	15	3.87298	2.17267e-064	2.17267e-064	1.11722e-137	1
2.28	13	3.60555	9.66436e-064	9.66436e-064	1.59067e-136	1
2.3	18	4.24264	4.26782e-063	4.26782e-063	2.23993e-135	1
2.31	8	2.82843	8.94424e-063	8.94424e-063	8.37083e-135	1
2.33	8	2.82843	3.90713e-062	3.90713e-062	1.15943e-133	1
2.34	16	4	8.14396e-062	8.14396e-062	4.29724e-133	1
2.36	11	3.31662	3.5191e-061	3.5191e-061	5.85448e-132	1
2.37	14	3.74166	7.29541e-061	7.29541e-061	2.152e-131	1
2.39	19	4.3589	3.11836e-060	3.11836e-060	2.88378e-130	1
2.41	16	4	1.3233e-059	1.3233e-059	3.82204e-129	1
2.42	17	4.12311	2.71859e-059	2.71859e-059	1.38569e-128	1
2.44	8	2.82843	1.14119e-058	1.14119e-058	1.80643e-127	1
2.45	16	4	2.33176e-058	2.33176e-058	6.49537e-127	1
2.47	14	3.74166	9.68229e-058	9.68229e-058	8.32874e-126	1
2.48	13	3.60555	1.96764e-057	1.96764e-057	2.97011e-125	1
2.5	18	4.24264	8.08204e-057	8.08204e-057	3.74601e-124	1
2.52	17	4.12311	3.29572e-056	3.29572e-056	4.67282e-123	1
2.53	12	3.4641	6.63721e-056	6.63721e-056	1.64357e-122	1
2.55	9	3	2.6773e-055	2.6773e-055	2.0166e-121	1
2.56	12	3.4641	5.36256e-055	5.36256e-055	7.03464e-121	1
2.58	17	4.12311	2.13976e-054	2.13976e-054	8.48974e-120	1
2.6	15	3.87298	8.4764e-054	8.4764e-054	1.01335e-118	1
2.61	15	3.87298	1.6825e-053	1.6825e-053	3.48658e-118	1
2.63	17	4.12311	6.593e-053	6.593e-053	4.09342e-117	1
2.64	12	3.4641	1.30157e-052	1.30157e-052	1.39681e-116	1
2.66	14	3.74166	5.04518e-052	5.04518e-052	1.61304e-115	1
