#x, y, a, F(x), F[0](x), F[1](x)
226 219 1 217.006 0 0
227 195 1 217.273 0 0
228 205 1 217.535 0 0
229 214 1 217.792 0 0
230 226 1 218.044 0 0
231 178 1 218.291 0 0
232 225 1 218.533 0 0
233 215 1 218.769 0 0
234 220 1 219.001 0 0
235 199 1 219.227 0 0
236 219 1 219.448 0 0
237 223 1 219.663 0 0
238 242 1 219.874 0 0
239 213 1 220.079 0 0
240 201 1 220.279 0 0
241 204 1 220.475 0 0
242 221 1 220.664 0 0
243 213 1 220.849 0 0
244 206 1 221.029 0 0
245 191 1 221.203 0 0
246 209 1 221.372 0 0
247 219 1 221.537 0 0
248 209 1 221.696 0 0
249 210 1 221.85 0 0
250 210 1 221.999 0 0
251 238 1 222.142 0 0
252 199 1 222.281 0 0
253 223 1 222.415 0 0
254 245 1 222.544 0 0
255 214 1 222.668 0 0
256 222 1 222.787 0 0
257 232 1 222.901 0 0
258 224 1 223.01 0 0
259 221 1 223.114 0 0
260 201 1 223.214 0 0
261 242 1 223.308 0 0
262 245 1 223.398 0 0
263 232 1 223.483 0 0
264 237 1 223.564 0 0
265 231 1 223.64 0 0
266 220 1 223.711 0 0
267 243 1 223.778 0 0
268 233 1 223.84 0 0
269 214 1 223.898 0 0
270 249 1 223.951 0 0
271 222 1 224 0 0
272 219 1 224.044 0 0
273 241 1 224.084 0 0
274 223 1 224.12 0 0
275 231 1 224.152 0 0
276 210 1 224.179 0 0
277 215 1 224.203 0 0
278 255 1 224.222 0 0
279 252 1 224.238 0 0
280 238 1 224.249 0 0
281 244 1 224.257 0 0
282 239 1 224.26 0 0
283 236 1 224.26 0 0
284 235 1 224.257 0 0
285 237 1 224.249 0 0
286 231 1 224.239 0 0
287 228 1 224.224 0 0
288 216 1 224.206 0 0
289 226 1 224.185 0 0
290 217 1 224.161 0 0
291 215 1 224.133 0 0
292 225 1 224.102 0 0
293 230 1 224.068 0 0
294 267 1 224.032 0 0
295 214 1 223.992 0 0
296 215 1 223.949 0 0
297 234 1 223.904 0 0
298 225 1 223.856 0 0
299 195 1 223.805 0 0
300 240 1 223.752 0 0
301 217 1 223.697 0 0
302 248 1 223.639 0 0
303 224 1 223.579 0 0
304 233 1 223.517 0 0
305 219 1 223.453 0 0
306 213 1 223.387 0 0
307 237 1 223.32 0 0
308 233 1 223.25 0 0
309 217 1 223.18 0 0
310 227 1 223.107 0 0
311 225 1 223.034 0 0
312 228 1 222.959 0 0
313 239 1 222.884 0 0
314 221 1 222.807 0 0
315 214 1 222.73 0 0
316 237 1 222.652 0 0
317 246 1 222.574 0 0
318 248 1 222.495 0 0
319 237 1 222.417 0 0
320 200 1 222.338 0 0
321 215 1 222.26 0 0
322 220 1 222.182 0 0
323 244 1 222.105 0 0
324 227 1 222.029 0 0
325 204 1 221.953 0 0
326 214 1 221.879 0 0
327 204 1 221.807 0 0
328 255 1 221.736 0 0
329 257 1 221.667 0 0
330 222 1 221.601 0 0
331 233 1 221.537 0 0
332 235 1 221.476 0 0
333 202 1 221.418 0 0
334 221 1 221.363 0 0
335 227 1 221.313 0 0
336 233 1 221.266 0 0
337 226 1 221.223 0 0
338 228 1 221.186 0 0
339 238 1 221.153 0 0
340 226 1 221.127 0 0
341 209 1 221.106 0 0
342 244 1 221.091 0 0
343 226 1 221.084 0 0
344 224 1 221.083 0 0
345 204 1 221.09 0 0
346 228 1 221.106 0 0
347 213 1 221.13 0 0
348 222 1 221.164 0 0
349 209 1 221.207 0 0
350 239 1 221.261 0 0
351 227 1 221.326 0 0
352 254 1 221.402 0 0
353 215 1 221.491 0 0
354 233 1 221.592 0 0
355 244 1 221.708 0 0
356 208 1 221.837 0 0
357 239 1 221.981 0 0
358 212 1 222.141 0 0
359 245 1 222.318 0 0
360 217 1 222.511 0 0
361 221 1 222.723 0 0
362 230 1 222.953 0 0
363 236 1 223.204 0 0
364 233 1 223.475 0 0
365 218 1 223.767 0 0
366 231 1 224.081 0 0
367 266 1 224.419 0 0
368 221 1 224.781 0 0
369 209 1 225.169 0 0
370 216 1 225.582 0 0
