# exported by fityk 0.8.7
#8-Mo:x	8-Mo:y	8-Mo:s	8-Mo:F(x)	8-Mo:%_4(x)	8-Mo:%_5(x)	8-Mo:%_6(x)	8-Mo:%_7(x)	8-Mo:a
2.01	40	6.32456	3.52109e-021	0	0	3.52109e-021	2.78001e-052	1
2.03	42	6.48074	5.00705e-021	0	0	5.00705e-021	4.73708e-052	1
2.04	33	5.74456	5.9681e-021	0	0	5.9681e-021	6.18093e-052	1
2.06	25	5	8.47122e-021	0	0	8.47122e-021	1.05138e-051	1
2.07	26	5.09902	1.00879e-020	0	0	1.00879e-020	1.37065e-051	1
2.09	25	5	1.42928e-020	0	0	1.42928e-020	2.32743e-051	1
2.11	26	5.09902	2.02257e-020	0	0	2.02257e-020	3.94751e-051	1
2.12	29	5.38516	2.40491e-020	0	0	2.40491e-020	5.13875e-051	1
2.14	40	6.32456	3.39696e-020	0	0	3.39696e-020	8.70056e-051	1
2.15	26	5.09902	4.0354e-020	0	0	4.0354e-020	1.13163e-050	1
2.17	35	5.91608	5.68962e-020	0	0	5.68962e-020	1.91265e-050	1
2.18	29	5.38516	6.75279e-020	0	0	6.75279e-020	2.48549e-050	1
2.2	32	5.65685	9.50353e-020	0	0	9.50353e-020	4.19361e-050	1
2.22	43	6.55744	1.33585e-019	0	0	1.33585e-019	7.06738e-050	1
2.23	31	5.56776	1.58305e-019	0	0	1.58305e-019	9.17075e-050	1
2.25	34	5.83095	2.22112e-019	0	0	2.22112e-019	1.54283e-049	1
2.26	39	6.245	2.62973e-019	0	0	2.62973e-019	2.00026e-049	1
2.28	32	5.65685	3.68294e-019	0	0	3.68294e-019	3.35926e-049	1
2.3	29	5.38516	5.15166e-019	0	0	5.15166e-019	5.63502e-049	1
2.31	22	4.69042	6.0901e-019	0	0	6.0901e-019	7.29512e-049	1
2.33	40	6.32456	8.50321e-019	0	0	8.50321e-019	1.2216e-048	1
2.34	28	5.2915	1.0043e-018	0	0	1.0043e-018	1.58011e-048	1
2.36	28	5.2915	1.39967e-018	0	0	1.39967e-018	2.64134e-048	1
2.37	29	5.38516	1.65162e-018	0	0	1.65162e-018	3.41354e-048	1
2.39	25	5	2.29762e-018	0	0	2.29762e-018	5.69622e-048	1
2.41	24	4.89898	3.1924e-018	0	0	3.1924e-018	9.49431e-048	1
2.42	26	5.09902	3.7613e-018	0	0	3.7613e-018	1.22522e-047	1
2.44	37	6.08276	5.21653e-018	0	0	5.21653e-018	2.0386e-047	1
2.45	37	6.08276	6.14052e-018	0	0	6.14052e-018	2.62847e-047	1
2.47	24	4.89898	8.5007e-018	0	0	8.5007e-018	4.36583e-047	1
2.48	24	4.89898	9.99726e-018	0	0	9.99726e-018	5.62417e-047	1
2.5	21	4.58258	1.38145e-017	0	0	1.38145e-017	9.32534e-047	1
2.52	34	5.83095	1.9066e-017	0	0	1.9066e-017	1.54442e-046	1
2.53	34	5.83095	2.23885e-017	0	0	2.23885e-017	1.98668e-046	1
2.55	23	4.79583	3.08429e-017	0	0	3.08429e-017	3.28452e-046	1
2.56	28	5.2915	3.61844e-017	0	0	3.61844e-017	4.22139e-046	1
2.58	33	5.74456	4.97573e-017	0	0	4.97573e-017	6.96695e-046	1
2.6	33	5.74456	6.8338e-017	0	0	6.8338e-017	1.14849e-045	1
2.61	16	4	8.00509e-017	0	0	8.00509e-017	1.47393e-045	1
2.63	24	4.89898	1.09743e-016	0	0	1.09743e-016	2.42551e-045	1
2.64	25	5	1.28435e-016	0	0	1.28435e-016	3.11012e-045	1
2.66	19	4.3589	1.75752e-016	0	0	1.75752e-016	5.10913e-045	1
2.67	28	5.2915	2.05499e-016	0	0	2.05499e-016	6.54549e-045	1
2.69	24	4.89898	2.80693e-016	0	0	2.80693e-016	1.07338e-044	1
2.71	29	5.38516	3.82934e-016	0	0	3.82934e-016	1.75817e-044	1
2.72	22	4.69042	4.47065e-016	0	0	4.47065e-016	2.24919e-044	1
2.74	28	5.2915	6.0879e-016	0	0	6.0879e-016	3.6777e-044	1
2.75	29	5.38516	7.10097e-016	0	0	7.10097e-016	4.7007e-044	1
2.77	37	6.08276	9.65206e-016	0	0	9.65206e-016	7.67284e-044	1
2.79	22	4.69042	1.31037e-015	0	0	1.31037e-015	1.25096e-043	1
2.8	35	5.91608	1.52609e-015	0	0	1.52609e-015	1.59662e-043	1
2.82	23	4.79583	2.06803e-015	0	0	2.06803e-015	2.59856e-043	1
2.83	18	4.24264	2.40629e-015	0	0	2.40629e-015	3.31367e-043	1
2.85	19	4.3589	3.25485e-015	0	0	3.25485e-015	5.38374e-043	1
2.86	25	5	3.78376e-015	0	0	3.78376e-015	6.85934e-043	1
2.88	23	4.79583	5.10873e-015	0	0	5.10873e-015	1.1125e-042	1
2.9	19	4.3589	6.88924e-015	0	0	6.88924e-015	1.80225e-042	1
2.91	21	4.58258	7.99653e-015	0	0	7.99653e-015	2.29288e-042	1
2.93	25	5	1.07638e-014	0	0	1.07638e-014	3.70799e-042	1
2.94	19	4.3589	1.24824e-014	0	0	1.24824e-014	4.71332e-042	1
2.96	19	4.3589	1.67714e-014	0	0	1.67714e-014	7.60899e-042	1
2.98	13	3.60555	2.25065e-014	0	0	2.25065e-014	1.22694e-041	1
2.99	23	4.79583	2.60602e-014	0	0	2.60602e-014	1.55733e-041	1
3.01	20	4.47214	3.49079e-014	0	0	3.49079e-014	2.50679e-041	1
3.02	15	3.87298	4.03828e-014	0	0	4.03828e-014	3.17905e-041	1
3.04	25	5	5.39942e-014	0	0	5.39942e-014	5.10833e-041	1
3.05	31	5.56776	6.24055e-014	0	0	6.24055e-014	6.47262e-041	1
3.07	13	3.60555	8.32872e-014	0	0	8.32872e-014	1.03826e-040	1
3.09	21	4.58258	1.11021e-013	0	0	1.11021e-013	1.6635e-040	1
3.1	20	4.47214	1.2812e-013	0	0	1.2812e-013	2.10472e-040	1
3.12	32	5.65685	1.7047e-013	0	0	1.7047e-013	3.36633e-040	1
3.13	18	4.24264	1.96547e-013	0	0	1.96547e-013	4.25548e-040	1
3.15	18	4.24264	2.61037e-013	0	0	2.61037e-013	6.79445e-040	1
3.17	19	4.3589	3.46264e-013	0	0	3.46264e-013	1.08357e-039	1
3.18	24	4.89898	3.98623e-013	0	0	3.98623e-013	1.36778e-039	1
3.2	18	4.24264	5.27805e-013	0	0	5.27805e-013	2.17751e-039	1
3.21	11	3.31662	6.07059e-013	0	0	6.07059e-013	2.74627e-039	1
3.23	24	4.89898	8.0232e-013	0	0	8.0232e-013	4.36446e-039	1
3.24	22	4.69042	9.2195e-013	0	0	9.2195e-013	5.49965e-039	1
3.26	20	4.47214	1.21627e-012	0	0	1.21627e-012	8.725e-039	1
3.28	21	4.58258	1.60259e-012	0	0	1.60259e-012	1.38258e-038	1
3.29	22	4.69042	1.83873e-012	0	0	1.83873e-012	1.73966e-038	1
3.31	26	5.09902	2.41834e-012	0	0	2.41834e-012	2.7519e-038	1
3.32	15	3.87298	2.77215e-012	0	0	2.77215e-012	3.45962e-038	1
3.34	20	4.47214	3.63931e-012	0	0	3.63931e-012	5.46311e-038	1
3.36	21	4.58258	4.77192e-012	0	0	4.77192e-012	8.61681e-038	1
3.37	16	4	5.46173e-012	0	0	5.46173e-012	1.08171e-037	1
