# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
2.17	28	5.2915	6.30068e-112	6.30068e-112	1.79797e-186	1
2.18	26	5.09902	1.72335e-111	1.72335e-111	7.54987e-186	1
2.2	24	4.89898	1.28187e-110	1.28187e-110	1.32179e-184	1
2.22	16	4	9.46195e-110	9.46195e-110	2.29223e-183	1
2.23	10	3.16228	2.5633e-109	2.5633e-109	9.51176e-183	1
2.25	18	4.24264	1.87042e-108	1.87042e-108	1.62619e-181	1
2.26	14	3.74166	5.038e-108	5.038e-108	6.70005e-181	1
2.28	21	4.58258	3.63411e-107	3.63411e-107	1.12927e-179	1
2.3	18	4.24264	2.60139e-106	2.60139e-106	1.88537e-178	1
2.31	20	4.47214	6.94e-106	6.94e-106	7.67621e-178	1
2.33	21	4.58258	4.91098e-105	4.91098e-105	1.26344e-176	1
2.34	21	4.58258	1.30263e-104	1.30263e-104	5.10755e-176	1
2.36	25	5	9.11238e-104	9.11238e-104	8.28769e-175	1
2.37	22	4.69042	2.40318e-103	2.40318e-103	3.32657e-174	1
2.39	22	4.69042	1.66187e-102	1.66187e-102	5.32145e-173	1
2.41	16	4	1.14045e-101	1.14045e-101	8.43214e-172	1
2.42	28	5.2915	2.97896e-101	2.97896e-101	3.3446e-171	1
2.44	17	4.12311	2.02089e-100	2.02089e-100	5.22474e-170	1
2.45	15	3.87298	5.24847e-100	5.24847e-100	2.05768e-169	1
2.47	22	4.69042	3.51976e-099	3.51976e-099	3.16891e-168	1
2.48	19	4.3589	9.08873e-099	9.08873e-099	1.23917e-167	1
2.5	17	4.12311	6.02538e-098	6.02538e-098	1.88137e-166	1
2.52	18	4.24264	3.96399e-097	3.96399e-097	2.82939e-165	1
2.53	20	4.47214	1.01381e-096	1.01381e-096	1.09334e-164	1
2.55	26	5.09902	6.59336e-096	6.59336e-096	1.62102e-163	1
2.56	13	3.60555	1.67661e-095	1.67661e-095	6.21951e-163	1
2.58	17	4.12311	1.07791e-094	1.07791e-094	9.09075e-162	1
2.6	24	4.89898	6.87702e-094	6.87702e-094	1.31619e-160	1
2.61	18	4.24264	1.73205e-093	1.73205e-093	4.99034e-160	1
2.63	16	4	1.09239e-092	1.09239e-092	7.12297e-159	1
