# exported by fityk 0.8.7
#16-1-Cent:x	16-1-Cent:y	16-1-Cent:s	16-1-Cent:F(x)	16-1-Cent:%_1(x)	16-1-Cent:%_2(x)	16-1-Cent:a
2.15	28	5.2915	4.23507e-131	4.23507e-131	2.24338e-210	1
2.17	23	4.79583	3.49598e-130	3.49598e-130	4.12187e-209	1
2.18	16	4	1.00171e-129	1.00171e-129	1.76107e-208	1
2.2	25	5	8.1796e-129	8.1796e-129	3.19383e-207	1
2.22	20	4.47214	6.63095e-128	6.63095e-128	5.74216e-206	1
2.23	25	5	1.88286e-127	1.88286e-127	2.42685e-205	1
2.25	16	4	1.50988e-126	1.50988e-126	4.30674e-204	1
2.26	27	5.19615	4.26408e-126	4.26408e-126	1.80837e-203	1
2.28	25	5	3.38245e-125	3.38245e-125	3.16764e-202	1
2.3	31	5.56776	2.66374e-124	2.66374e-124	5.50063e-201	1
2.31	22	4.69042	7.45491e-124	7.45491e-124	2.28474e-200	1
2.33	28	5.2915	5.80743e-123	5.80743e-123	3.91612e-199	1
2.34	18	4.24264	1.6165e-122	1.6165e-122	1.61604e-198	1
2.36	21	4.58258	1.24566e-121	1.24566e-121	2.73409e-197	1
2.37	12	3.4641	3.4485e-121	3.4485e-121	1.12093e-196	1
2.39	17	4.12311	2.62866e-120	2.62866e-120	1.87191e-195	1
2.41	22	4.69042	1.98927e-119	1.98927e-119	3.09897e-194	1
2.42	25	5	5.45749e-119	5.45749e-119	1.25681e-193	1
2.44	24	4.89898	4.08538e-118	4.08538e-118	2.05374e-192	1
2.45	19	4.3589	1.11474e-117	1.11474e-117	8.27501e-192	1
2.47	15	3.87298	8.25456e-117	8.25456e-117	1.33471e-190	1
2.48	22	4.69042	2.24014e-116	2.24014e-116	5.34295e-190	1
2.5	23	4.79583	1.64088e-115	1.64088e-115	8.50632e-189	1
2.52	26	5.09902	1.19326e-114	1.19326e-114	1.34255e-187	1
2.53	24	4.89898	3.2091e-114	3.2091e-114	5.31632e-187	1
2.55	23	4.79583	2.30845e-113	2.30845e-113	8.28214e-186	1
2.56	25	5	6.17463e-113	6.17463e-113	3.25832e-185	1
2.58	24	4.89898	4.3937e-112	4.3937e-112	5.01035e-184	1
2.6	17	4.12311	3.10387e-111	3.10387e-111	7.63784e-183	1
2.61	26	5.09902	8.22737e-111	8.22737e-111	2.9724e-182	1
2.63	15	3.87298	5.74931e-110	5.74931e-110	4.47252e-181	1
2.64	26	5.09902	1.5157e-109	1.5157e-109	1.72926e-180	1
2.66	24	4.89898	1.04773e-108	1.04773e-108	2.56832e-179	1
2.67	32	5.65685	2.74719e-108	2.74719e-108	9.8657e-179	1
2.69	29	5.38516	1.87848e-107	1.87848e-107	1.4463e-177	1
2.71	17	4.12311	1.2752e-106	1.2752e-106	2.10192e-176	1
2.72	15	3.87298	3.31348e-106	3.31348e-106	7.98696e-176	1
2.74	23	4.79583	2.22504e-105	2.22504e-105	1.14573e-174	1
2.75	14	3.74166	5.75023e-105	5.75023e-105	4.32532e-174	1
2.77	16	4	3.81961e-104	3.81961e-104	6.12438e-173	1
2.79	18	4.24264	2.51888e-103	2.51888e-103	8.59675e-172	1
2.8	24	4.89898	6.45094e-103	6.45094e-103	3.21038e-171	1
2.82	22	4.69042	4.20817e-102	4.20817e-102	4.44806e-170	1
2.83	21	4.58258	1.07189e-101	1.07189e-101	1.6503e-169	1
2.85	14	3.74166	6.91672e-101	6.91672e-101	2.25694e-168	1
2.86	17	4.12311	1.75225e-100	1.75225e-100	8.31926e-168	1
2.88	22	4.69042	1.11848e-099	1.11848e-099	1.12301e-166	1
2.9	15	3.87298	7.08787e-099	7.08787e-099	1.50284e-165	1
2.91	29	5.38516	1.77943e-098	1.77943e-098	5.47977e-165	1
2.93	17	4.12311	1.11544e-097	1.11544e-097	7.23824e-164	1
2.94	18	4.24264	2.78518e-097	2.78518e-097	2.62213e-163	1
2.96	20	4.47214	1.72704e-096	1.72704e-096	3.41875e-162	1
2.98	16	4	1.06318e-095	1.06318e-095	4.41885e-161	1
2.99	21	4.58258	2.63074e-095	2.63074e-095	1.58349e-160	1
3.01	22	4.69042	1.602e-094	1.602e-094	2.02022e-159	1
3.02	28	5.2915	3.94255e-094	3.94255e-094	7.19245e-159	1
3.04	24	4.89898	2.37489e-093	2.37489e-093	9.0574e-158	1
3.05	26	5.09902	5.81295e-093	5.81295e-093	3.20371e-157	1
3.07	13	3.60555	3.46374e-092	3.46374e-092	3.98219e-156	1
3.09	19	4.3589	2.04902e-091	2.04902e-091	4.90704e-155	1
3.1	26	5.09902	4.97014e-091	4.97014e-091	1.71694e-154	1
3.12	24	4.89898	2.90838e-090	2.90838e-090	2.08831e-153	1
3.13	19	4.3589	7.01639e-090	7.01639e-090	7.25939e-153	1
3.15	26	5.09902	4.06143e-089	4.06143e-089	8.71531e-152	1
3.17	21	4.58258	2.33398e-088	2.33398e-088	1.03727e-150	1
3.18	20	4.47214	5.57991e-088	5.57991e-088	3.56685e-150	1
3.2	20	4.47214	3.17196e-087	3.17196e-087	4.19024e-149	1
3.21	17	4.12311	7.54221e-087	7.54221e-087	1.43153e-148	1
3.23	27	5.19615	4.24112e-086	4.24112e-086	1.65996e-147	1
3.24	26	5.09902	1.00298e-085	1.00298e-085	5.63419e-147	1
3.26	9	3	5.57897e-085	5.57897e-085	6.44867e-146	1
3.28	21	4.58258	3.08086e-084	3.08086e-084	7.31707e-145	1
3.29	21	4.58258	7.22022e-084	7.22022e-084	2.45672e-144	1
3.31	22	4.69042	3.94411e-083	3.94411e-083	2.75148e-143	1
3.32	15	3.87298	9.19324e-083	9.19324e-083	9.17818e-143	1
3.34	17	4.12311	4.96762e-082	4.96762e-082	1.01463e-141	1
3.36	17	4.12311	2.66491e-081	2.66491e-081	1.11196e-140	1
3.37	20	4.47214	6.1556e-081	6.1556e-081	3.66915e-140	1
3.39	14	3.74166	3.26652e-080	3.26652e-080	3.96907e-139	1
3.4	12	3.4641	7.50436e-080	7.50436e-080	1.30118e-138	1
3.42	23	4.79583	3.93922e-079	3.93922e-079	1.38932e-137	1
3.43	25	5	9.00076e-079	9.00076e-079	4.52502e-137	1
3.45	27	5.19615	4.67366e-078	4.67366e-078	4.76902e-136	1
3.47	24	4.89898	2.40929e-077	2.40929e-077	4.98271e-135	1
3.48	19	4.3589	5.45539e-077	5.45539e-077	1.60535e-134	1
3.5	24	4.89898	2.78189e-076	2.78189e-076	1.65557e-133	1
3.51	21	4.58258	6.26494e-076	6.26494e-076	5.29937e-133	1
3.53	18	4.24264	3.16018e-075	3.16018e-075	5.39443e-132	1
3.54	24	4.89898	7.07832e-075	7.07832e-075	1.71551e-131	1
3.56	22	4.69042	3.53188e-074	3.53188e-074	1.72368e-130	1
3.58	20	4.47214	1.74959e-073	1.74959e-073	1.71692e-129	1
3.59	22	4.69042	3.88349e-073	3.88349e-073	5.40109e-129	1
3.61	23	4.79583	1.90298e-072	1.90298e-072	5.31027e-128	1
3.62	24	4.89898	4.20108e-072	4.20108e-072	1.65966e-127	1
3.64	25	5	2.03636e-071	2.03636e-071	1.61064e-126	1
3.66	25	5	9.79944e-071	9.79944e-071	1.54955e-125	1
3.67	23	4.79583	2.14385e-070	2.14385e-070	4.79064e-125	1
3.69	21	4.58258	1.02053e-069	1.02053e-069	4.54927e-124	1
3.7	19	4.3589	2.22054e-069	2.22054e-069	1.39734e-123	1
3.72	18	4.24264	1.04561e-068	1.04561e-068	1.30976e-122	1
3.73	22	4.69042	2.26279e-068	2.26279e-068	3.99691e-122	1
3.75	22	4.69042	1.05399e-067	1.05399e-067	3.69793e-121	1
3.77	13	3.60555	4.87396e-067	4.87396e-067	3.39173e-120	1
3.78	22	4.69042	1.04526e-066	1.04526e-066	1.02385e-119	1
3.8	19	4.3589	4.78136e-066	4.78136e-066	9.26921e-119	1
3.81	22	4.69042	1.01985e-065	1.01985e-065	2.77991e-118	1
3.83	17	4.12311	4.61471e-065	4.61471e-065	2.48415e-117	1
3.85	24	4.89898	2.07303e-064	2.07303e-064	2.20066e-116	1
3.86	28	5.2915	4.38186e-064	4.38186e-064	6.52871e-116	1
3.88	28	5.2915	1.94716e-063	1.94716e-063	5.70881e-115	1
3.89	21	4.58258	4.0935e-063	4.0935e-063	1.68264e-114	1
3.91	19	4.3589	1.79937e-062	1.79937e-062	1.45228e-113	1
3.92	23	4.79583	3.76229e-062	3.76229e-062	4.25273e-113	1
3.94	25	5	1.63591e-061	1.63591e-061	3.62302e-112	1
3.96	23	4.79583	7.06187e-061	7.06187e-061	3.05987e-111	1
3.97	19	4.3589	1.46326e-060	1.46326e-060	8.86349e-111	1
3.99	21	4.58258	6.24831e-060	6.24831e-060	7.38889e-110	1
4	24	4.89898	1.28767e-059	1.28767e-059	2.12643e-109	1
4.02	24	4.89898	5.43911e-059	5.43911e-059	1.74972e-108	1
4.04	13	3.60555	2.2809e-058	2.2809e-058	1.4273e-107	1
4.05	23	4.79583	4.65816e-058	4.65816e-058	4.06324e-107	1
4.07	20	4.47214	1.9323e-057	1.9323e-057	3.2716e-106	1
4.08	25	5	3.92485e-057	3.92485e-057	9.25316e-106	1
4.1	17	4.12311	1.61051e-056	1.61051e-056	7.35395e-105	1
4.11	16	4	3.25353e-056	3.25353e-056	2.06643e-104	1
4.13	32	5.65685	1.32061e-055	1.32061e-055	1.62104e-103	1
4.15	29	5.38516	5.32172e-055	5.32172e-055	1.26065e-102	1
4.16	19	4.3589	1.06539e-054	1.06539e-054	3.50414e-102	1
4.18	27	5.19615	4.24685e-054	4.24685e-054	2.68984e-101	1
4.19	19	4.3589	8.45603e-054	8.45603e-054	7.4282e-101	1
4.21	22	4.69042	3.3343e-053	3.3343e-053	5.62821e-100	1
4.23	21	4.58258	1.30526e-052	1.30526e-052	4.22751e-099	1
4.24	19	4.3589	2.57552e-052	2.57552e-052	1.15486e-098	1
4.26	33	5.74456	9.97329e-052	9.97329e-052	8.5622e-098	1
4.27	20	4.47214	1.95725e-051	1.95725e-051	2.32381e-097	1
4.29	21	4.58258	7.49724e-051	7.49724e-051	1.70059e-096	1
4.3	23	4.79583	1.46335e-050	1.46335e-050	4.58549e-096	1
4.32	33	5.74456	5.5448e-050	5.5448e-050	3.31229e-095	1
4.34	10	3.16228	2.08582e-049	2.08582e-049	2.37191e-094	1
4.35	21	4.58258	4.03453e-049	4.03453e-049	6.3266e-094	1
4.37	13	3.60555	1.50129e-048	1.50129e-048	4.47181e-093	1
4.38	21	4.58258	2.88816e-048	2.88816e-048	1.18502e-092	1
4.4	18	4.24264	1.0631e-047	1.0631e-047	8.26765e-092	1
4.42	28	5.2915	3.88493e-047	3.88493e-047	5.7183e-091	1
4.43	22	4.69042	7.40641e-047	7.40641e-047	1.49898e-090	1
4.45	20	4.47214	2.6773e-046	2.6773e-046	1.02334e-089	1
4.46	22	4.69042	5.07647e-046	5.07647e-046	2.66514e-089	1
4.48	22	4.69042	1.81523e-045	1.81523e-045	1.79593e-088	1
4.49	24	4.89898	3.42325e-045	3.42325e-045	4.64687e-088	1
4.51	24	4.89898	1.21085e-044	1.21085e-044	3.09081e-087	1
4.53	19	4.3589	4.25203e-044	4.25203e-044	2.03804e-086	1
4.54	16	4	7.94638e-044	7.94638e-044	5.21638e-086	1
4.56	19	4.3589	2.7603e-043	2.7603e-043	3.3951e-085	1
4.57	26	5.09902	5.13063e-043	5.13063e-043	8.63335e-085	1
4.59	17	4.12311	1.76295e-042	1.76295e-042	5.54632e-084	1
4.6	24	4.89898	3.25908e-042	3.25908e-042	1.40121e-083	1
4.62	24	4.89898	1.10776e-041	1.10776e-041	8.88529e-083	1
4.64	24	4.89898	3.73808e-041	3.73808e-041	5.58558e-082	1
4.65	23	4.79583	6.84812e-041	6.84812e-041	1.39589e-081	1
4.67	21	4.58258	2.2859e-040	2.2859e-040	8.66146e-081	1
4.68	16	4	4.16505e-040	4.16505e-040	2.15053e-080	1
4.7	28	5.2915	1.37527e-039	1.37527e-039	1.31713e-079	1
4.72	21	4.58258	4.50826e-039	4.50826e-039	7.9972e-079	1
4.73	22	4.69042	8.14029e-039	8.14029e-039	1.96417e-078	1
4.75	24	4.89898	2.63962e-038	2.63962e-038	1.17715e-077	1
4.76	27	5.19615	4.74039e-038	4.74039e-038	2.87239e-077	1
4.78	12	3.4641	1.52054e-037	1.52054e-037	1.69918e-076	1
