# exported by fityk 0.8.7
#12-X:x	12-X:y	12-X:s	12-X:F(x)	12-X:%_1(x)	12-X:%_2(x)	12-X:%_4(x)	12-X:%_6(x)	12-X:a
1.8	22	4.69042	6.37767e-081	5.98084e-239	1.14493e-298	1.1427e-274	6.37767e-081	1
1.82	22	4.69042	1.78974e-080	7.66631e-238	1.49934e-297	8.074e-274	1.78974e-080	1
1.84	19	4.3589	5.00831e-080	9.76925e-237	1.95408e-296	5.68772e-273	5.00831e-080	1
1.85	23	4.79583	8.36916e-080	3.47971e-236	7.04182e-296	1.5079e-272	8.36916e-080	1
1.87	32	5.65685	2.33208e-079	4.39536e-235	9.11194e-295	1.05744e-271	2.33208e-079	1
1.88	23	4.79583	3.88878e-079	1.5587e-234	3.27186e-294	2.7971e-271	3.88878e-079	1
1.9	26	5.09902	1.07903e-078	1.9516e-233	4.20343e-293	1.95268e-270	1.07903e-078	1
1.92	26	5.09902	2.98556e-078	2.42923e-232	5.37447e-292	1.35907e-269	2.98556e-078	1
1.93	21	4.58258	4.96093e-078	8.55168e-232	1.91832e-291	3.58144e-269	4.96093e-078	1
1.95	18	4.24264	1.36683e-077	1.05513e-230	2.43521e-290	2.48145e-268	1.36683e-077	1
1.96	28	5.2915	2.26638e-077	3.69808e-230	8.66091e-290	6.52438e-268	2.26638e-077	1
1.98	25	5	6.21791e-077	4.52279e-229	1.09159e-288	4.50012e-267	6.21791e-077	1
1.99	25	5	1.02882e-076	1.57821e-228	3.86839e-288	1.18053e-266	1.02882e-076	1
2.01	17	4.12311	2.81069e-076	1.91325e-227	4.84073e-287	8.10581e-266	2.81069e-076	1
2.03	15	3.87298	7.65698e-076	2.30583e-226	6.02855e-286	5.54892e-265	7.65698e-076	1
2.04	20	4.47214	1.26247e-075	7.98729e-226	2.12366e-285	1.45018e-264	1.26247e-075	1
2.06	19	4.3589	3.42472e-075	9.54184e-225	2.62585e-284	9.88259e-264	3.42472e-075	1
2.07	17	4.12311	5.63465e-075	3.29073e-224	9.21687e-284	2.57694e-263	5.63465e-075	1
2.09	18	4.24264	1.52206e-074	3.89674e-223	1.13149e-282	1.74819e-262	1.52206e-074	1
2.11	31	5.56776	4.09985e-074	4.58733e-222	1.38243e-281	1.1824e-261	4.09985e-074	1
2.12	27	5.19615	6.72166e-074	1.57049e-221	4.82346e-281	3.07156e-261	6.72166e-074	1
2.14	16	4	1.80291e-073	1.83261e-220	5.85102e-280	2.06809e-260	1.80291e-073	1
2.15	26	5.09902	2.94959e-073	6.24642e-220	2.03418e-279	5.36025e-260	2.94959e-073	1
2.17	19	4.3589	7.87802e-073	7.22507e-219	2.44988e-278	3.59279e-259	7.87802e-073	1
2.18	23	4.79583	1.28613e-072	2.45184e-218	8.48681e-278	9.29105e-259	1.28613e-072	1
2.2	15	3.87298	3.42059e-072	2.81112e-217	1.01481e-276	6.19938e-258	3.42059e-072	1
2.22	22	4.69042	9.07172e-072	3.20418e-216	1.20766e-275	4.12404e-257	9.07172e-072	1
2.23	24	4.89898	1.47579e-071	1.07939e-215	4.1586e-275	1.06248e-256	1.47579e-071	1
2.25	17	4.12311	3.89738e-071	1.21953e-214	4.91351e-274	7.03605e-256	3.89738e-071	1
2.26	24	4.89898	6.32684e-071	4.09021e-214	1.68591e-273	1.8086e-255	6.32684e-071	1
2.28	19	4.3589	1.66377e-070	4.58074e-213	1.97771e-272	1.19231e-254	1.66377e-070	1
2.3	23	4.79583	4.3629e-070	5.10007e-212	2.30894e-271	7.8366e-254	4.3629e-070	1
2.31	26	5.09902	7.05758e-070	1.69801e-211	7.87512e-271	2.00681e-253	7.05758e-070	1
2.33	16	4	1.84288e-069	1.87395e-210	9.1283e-270	1.31304e-252	1.84288e-069	1
2.34	13	3.60555	2.97479e-069	6.21169e-210	3.10225e-269	3.35486e-252	2.97479e-069	1
2.36	18	4.24264	7.73493e-069	6.7952e-209	3.5702e-268	2.18517e-251	7.73493e-069	1
2.37	19	4.3589	1.24594e-068	2.24255e-208	1.20899e-267	5.57055e-251	1.24594e-068	1
2.39	25	5	3.22594e-068	2.43171e-207	1.3814e-266	3.61197e-250	3.22594e-068	1
2.41	22	4.69042	8.32891e-068	2.62139e-206	1.57087e-265	2.33497e-249	8.32891e-068	1
2.42	18	4.24264	1.33689e-067	8.58785e-206	5.28776e-265	5.93005e-249	1.33689e-067	1
2.44	21	4.58258	3.43706e-067	9.17656e-205	5.97001e-264	3.8162e-248	3.43706e-067	1
2.45	19	4.3589	5.50519e-067	2.9931e-204	2.00239e-263	9.67002e-248	5.50519e-067	1
2.47	20	4.47214	1.40937e-066	3.17025e-203	2.24458e-262	6.19493e-247	1.40937e-066	1
2.48	21	4.58258	2.25263e-066	1.02949e-202	7.50151e-262	1.56621e-246	2.25263e-066	1
2.5	16	4	5.7425e-066	1.08086e-201	8.34869e-261	9.98839e-246	5.7425e-066	1
2.52	19	4.3589	1.45977e-065	1.12816e-200	9.2472e-260	6.35085e-245	1.45977e-065	1
2.53	17	4.12311	2.32497e-065	3.63674e-200	3.07204e-259	1.59959e-244	2.32497e-065	1
2.55	31	5.56776	5.8852e-065	3.76258e-199	3.37833e-258	1.01247e-243	5.8852e-065	1
2.56	19	4.3589	9.35347e-065	1.20758e-198	1.1183e-257	2.54435e-243	9.35347e-065	1
2.58	17	4.12311	2.35763e-064	1.23842e-197	1.22101e-256	1.60319e-242	2.35763e-064	1
2.6	21	4.58258	5.92588e-064	1.26261e-196	1.32678e-255	1.00713e-241	5.92588e-064	1
2.61	14	3.74166	9.38492e-064	4.02266e-196	4.36575e-255	2.52141e-241	9.38492e-064	1
2.63	19	4.3589	2.34891e-063	4.06527e-195	4.71e-254	1.57681e-240	2.34891e-063	1
2.64	15	3.87298	3.71214e-063	1.2895e-194	1.54427e-253	3.93872e-240	3.71214e-063	1
2.66	21	4.58258	9.25167e-063	1.29174e-193	1.65413e-252	2.45204e-239	9.25167e-063	1
2.67	16	4	1.45901e-062	4.0794e-193	5.40397e-252	6.11113e-239	1.45901e-062	1
2.69	18	4.24264	3.62087e-062	4.05065e-192	5.74701e-251	3.7873e-238	3.62087e-062	1
2.71	13	3.60555	8.96067e-062	3.99857e-191	6.08265e-250	2.34007e-237	8.96067e-062	1
2.72	9	3	1.40814e-061	1.25354e-190	1.97533e-249	5.81014e-237	1.40814e-061	1
2.74	15	3.87298	3.47002e-061	1.22657e-189	2.07574e-248	3.57373e-236	3.47002e-061	1
2.75	17	4.12311	5.44147e-061	3.82839e-189	6.71678e-248	8.85316e-236	5.44147e-061	1
2.77	19	4.3589	1.33525e-060	3.71319e-188	7.00774e-247	5.42088e-235	1.33525e-060	1
2.79	23	4.79583	3.26726e-060	3.58039e-187	7.27641e-246	3.30926e-234	3.26726e-060	1
2.8	23	4.79583	5.10544e-060	1.10934e-186	2.34049e-245	8.16717e-234	5.10544e-060	1
2.82	19	4.3589	1.24398e-059	1.06029e-185	2.41285e-244	4.96329e-233	1.24398e-059	1
2.83	24	4.89898	1.93974e-059	3.27075e-185	7.73324e-244	1.22216e-232	1.93974e-059	1
2.85	17	4.12311	4.70632e-059	3.09871e-184	7.91528e-243	7.3937e-232	4.70632e-059	1
2.86	13	3.60555	7.32304e-059	9.51683e-184	2.52778e-242	1.81651e-231	7.32304e-059	1
2.88	16	4	1.76925e-058	8.93723e-183	2.56879e-241	1.09398e-230	1.76925e-058	1
2.9	21	4.58258	4.26248e-058	8.3438e-182	2.59799e-240	6.56855e-230	4.26248e-058	1
2.91	8	2.82843	6.60903e-058	2.54383e-181	8.24734e-240	1.60772e-229	6.60903e-058	1
