# exported by fityk 0.8.7
#7-Ti:x	7-Ti:y	7-Ti:s	7-Ti:F(x)	7-Ti:%_1(x)	7-Ti:%_2(x)	7-Ti:%_3(x)	7-Ti:%_4(x)	7-Ti:a
1.92	14	3.74166	18.7241	4.43859e-018	4.68274e-049	18.7241	4.29296e-006	1
1.93	15	3.87298	19.0963	6.34938e-018	7.76507e-049	19.0963	2.38365e-006	1
1.95	13	3.60555	19.8442	1.29396e-017	2.12798e-048	19.8442	7.10933e-007	1
1.96	17	4.12311	20.2195	1.84341e-017	3.51676e-048	20.2195	3.81881e-007	1
1.98	23	4.79583	20.9716	3.72601e-017	9.5725e-048	20.9716	1.06596e-007	1
1.99	20	4.47214	21.3479	5.28644e-017	1.57664e-047	21.3479	5.5393e-008	1
2.01	23	4.79583	22.0999	1.05978e-016	4.26262e-047	22.0999	1.44709e-008	1
2.03	22	4.69042	22.8495	2.11297e-016	1.14726e-046	22.8495	3.61704e-009	1
2.04	23	4.79583	23.2228	2.97741e-016	1.87897e-046	23.2228	1.77864e-009	1
2.06	21	4.58258	23.9649	5.88772e-016	5.02304e-046	23.9649	4.16077e-010	1
2.07	26	5.09902	24.3333	8.26246e-016	8.19891e-046	24.3333	1.97935e-010	1
2.09	19	4.3589	25.0633	1.6205e-015	2.17703e-045	25.0633	4.33347e-011	1
2.11	35	5.91608	25.7825	3.16091e-015	5.75459e-045	25.7825	9.0775e-012	1
2.12	18	4.24264	26.1374	4.40557e-015	9.34016e-045	26.1374	4.08637e-012	1
2.14	30	5.47723	26.8365	8.52308e-015	2.45226e-044	26.8365	8.01116e-013	1
2.15	33	5.74456	27.1801	1.18305e-014	3.96677e-044	27.1801	3.48884e-013	1
2.17	34	5.83095	27.8541	2.27002e-014	1.03445e-043	27.8541	6.40126e-014	1
2.18	33	5.74456	28.1839	3.13799e-014	1.66768e-043	28.1839	2.6969e-014	1
2.2	31	5.56776	28.8281	5.97189e-014	4.31962e-043	28.8281	4.63101e-015	1
2.22	40	6.32456	29.4496	1.1303e-013	1.11384e-042	29.4496	7.60861e-016	1
2.23	36	6	29.7513	1.55182e-013	1.78556e-042	29.7513	3.03338e-016	1
2.25	37	6.08276	30.3351	2.91311e-013	4.57311e-042	30.3351	4.66427e-017	1
2.26	48	6.9282	30.6167	3.98311e-013	7.30627e-042	30.6167	1.79895e-017	1
2.28	44	6.63325	31.1583	7.41598e-013	1.85864e-041	31.1583	2.58882e-018	1
2.3	43	6.55744	31.6693	1.37321e-012	4.70689e-041	31.6693	3.56455e-019	1
2.31	33	5.74456	31.9128	1.86479e-012	7.47773e-041	31.9128	1.30095e-019	1
2.33	57	7.54983	32.3747	3.42476e-012	1.88092e-040	32.3747	1.67645e-020	1
2.34	51	7.14143	32.5927	4.63168e-012	2.97808e-040	32.5927	5.91919e-021	1
2.36	45	6.7082	33.0017	8.43669e-012	7.44046e-040	33.0017	7.13868e-022	1
2.37	26	5.09902	33.1923	1.13631e-011	1.17408e-039	33.1923	2.43839e-022	1
2.39	43	6.55744	33.5451	2.05288e-011	2.91354e-039	33.5451	2.75224e-023	1
2.41	48	6.9282	33.8588	3.68851e-011	7.19759e-039	33.8588	2.97226e-024	1
2.42	52	7.2111	34.0006	4.93404e-011	1.12937e-038	34.0006	9.60714e-025	1
2.44	45	6.7082	34.2534	8.79271e-011	2.77117e-038	34.2534	9.71006e-026	1
2.45	30	5.47723	34.3642	1.17136e-010	4.33353e-038	34.3642	3.03629e-026	1
2.47	38	6.16441	34.554	2.07035e-010	1.05616e-037	34.554	2.87209e-027	1
2.48	34	5.83095	34.6329	2.74681e-010	1.64604e-037	34.6329	8.68825e-028	1
2.5	42	6.48074	34.7582	4.81519e-010	3.98465e-037	34.7582	7.69156e-029	1
2.52	39	6.245	34.8398	8.395e-010	9.60245e-037	34.8398	6.51501e-030	1
2.53	42	6.48074	34.8641	1.1062e-009	1.48814e-036	34.8641	1.86497e-030	1
2.55	60	7.74597	34.8797	1.91281e-009	3.56202e-036	34.8797	1.47842e-031	1
2.56	31	5.56776	34.8709	2.51015e-009	5.50159e-036	34.8709	4.09421e-032	1
2.58	34	5.83095	34.8203	4.30498e-009	1.30799e-035	34.8203	3.03755e-033	1
2.6	44	6.63325	34.7258	7.34286e-009	3.0957e-035	34.7258	2.15624e-034	1
2.61	39	6.245	34.6622	9.57018e-009	4.75447e-035	34.6622	5.65053e-035	1
2.63	28	5.2915	34.5025	1.619e-008	1.11769e-034	34.5025	3.75396e-036	1
2.64	40	6.32456	34.4066	2.10144e-008	1.71078e-034	34.4066	9.5169e-037	1
2.66	27	5.19615	34.1832	3.52595e-008	3.99459e-034	34.1832	5.91728e-038	1
2.67	37	6.08276	34.0558	4.55789e-008	6.09365e-034	34.0558	1.45125e-038	1
2.69	25	5	33.7705	7.58499e-008	1.41325e-033	33.7705	8.44493e-040	1
2.71	40	6.32456	33.4452	1.25536e-007	3.26287e-033	33.4452	4.70184e-041	1
2.72	29	5.38516	33.2679	1.61169e-007	4.94944e-033	33.2679	1.09121e-041	1
2.74	34	5.83095	32.885	2.64562e-007	1.13501e-032	32.885	5.68603e-043	1
2.75	35	5.91608	32.6796	3.38266e-007	1.71588e-032	32.6796	1.27663e-043	1
2.77	28	5.2915	32.2422	5.50728e-007	3.90833e-032	32.2422	6.22574e-045	1
2.79	26	5.09902	31.7703	8.91736e-007	8.8621e-032	31.7703	2.90493e-046	1
2.8	42	6.48074	31.522	1.13239e-006	1.33222e-031	31.522	6.17183e-047	1
2.82	23	4.79583	31.0018	1.81856e-006	3.00042e-031	31.0018	2.69516e-048	1
2.83	34	5.83095	30.7303	2.29986e-006	4.49523e-031	30.7303	5.53958e-049	1
2.85	27	5.19615	30.1659	3.66324e-006	1.00559e-030	30.1659	2.26399e-050	1
2.86	30	5.47723	29.8733	4.61377e-006	1.50148e-030	29.8733	4.50174e-051	1
2.88	24	4.89898	29.269	7.28875e-006	3.3362e-030	29.269	1.72189e-052	1
2.9	30	5.47723	28.6406	1.14518e-005	7.37944e-030	28.6406	6.30157e-054	1
2.91	20	4.47214	28.318	1.43248e-005	1.09566e-029	28.318	1.18571e-054	1
2.93	27	5.19615	27.6575	2.23224e-005	2.40718e-029	27.6574	4.06114e-056	1
2.94	14	3.74166	27.32	2.78083e-005	3.56197e-029	27.32	7.39247e-057	1
2.96	31	5.56776	26.6321	4.29793e-005	7.77293e-029	26.6321	2.36966e-058	1
2.98	19	4.3589	25.9288	6.6064e-005	1.68858e-028	25.9287	7.26778e-060	1
2.99	23	4.79583	25.5719	8.17383e-005	2.48459e-028	25.5718	1.25189e-060	1
3.01	10	3.16228	24.8493	0.000124613	5.36107e-028	24.8492	3.59343e-062	1
3.02	27	5.19615	24.4841	0.000153547	7.86169e-028	24.484	5.98807e-063	1
3.04	12	3.4641	23.7472	0.000232173	1.6849e-027	23.747	1.60863e-064	1
3.05	25	5	23.376	0.000284908	2.46247e-027	23.3757	2.59327e-065	1
3.07	16	4	22.6295	0.000427276	5.24193e-027	22.6291	6.51995e-067	1
3.09	19	4.3589	21.8792	0.000637285	1.11084e-026	21.8785	1.56841e-068	1
3.1	14	3.74166	21.5032	0.000776701	1.61436e-026	21.5025	2.39262e-069	1
3.12	11	3.31662	20.751	0.00114898	3.398e-026	20.7499	5.3866e-071	1
3.13	20	4.47214	20.3752	0.0013946	4.92153e-026	20.3738	7.94954e-072	1
3.15	14	3.74166	19.6255	0.00204615	1.02893e-025	19.6235	1.67499e-073	1
3.17	22	4.69042	18.8798	0.00298573	2.14147e-025	18.8768	3.37674e-075	1
3.18	15	3.87298	18.509	0.00359927	3.08418e-025	18.5054	4.71572e-076	1
3.2	14	3.74166	17.7728	0.00520904	6.37569e-025	17.7675	8.89737e-078	1
3.21	18	4.24264	17.4077	0.00625372	9.15138e-025	17.4014	1.20206e-078	1
3.23	19	4.3589	16.6849	0.00897666	1.87904e-024	16.6759	2.12259e-080	1
3.24	19	4.3589	16.3275	0.0107328	2.68798e-024	16.3168	2.77424e-081	1
3.26	16	4	15.6221	0.0152799	5.48197e-024	15.6068	4.58471e-083	1
3.28	18	4.24264	14.9305	0.0216347	1.11298e-023	14.9088	7.24932e-085	1
3.29	21	4.58258	14.5904	0.0256907	1.58318e-023	14.5647	8.96597e-086	1
3.31	16	4	13.9231	0.0360777	3.19259e-023	13.887	1.32681e-087	1
3.32	9	3	13.5963	0.0426657	4.52601e-023	13.5536	1.58754e-088	1
3.34	20	4.47214	12.9578	0.0594257	9.06549e-023	12.8984	2.19869e-090	1
3.36	18	4.24264	12.3416	0.0823175	1.80762e-022	12.2593	2.91355e-092	1
3.37	18	4.24264	12.0427	0.096685	2.54818e-022	11.9461	3.29881e-093	1
3.39	20	4.47214	11.4655	0.132834	5.04672e-022	11.3326	4.09113e-095	1
3.4	16	4	11.188	0.155379	7.09028e-022	11.0326	4.48118e-096	1
3.42	17	4.12311	10.658	0.211726	1.39477e-021	10.4462	5.20122e-098	1
3.43	23	4.79583	10.4067	0.246646	1.95293e-021	10.16	5.51147e-099	1
3.45	15	3.87298	9.93512	0.333342	3.81583e-021	9.60177	5.98697e-101	1
3.47	20	4.47214	9.51078	0.44805	7.42217e-021	9.06273	6.2225e-103	1
3.48	19	4.3589	9.31887	0.518386	1.0334e-020	8.80048	6.2395e-104	1
3.5	10	3.16228	8.98174	0.691071	1.99651e-020	8.29066	6.06924e-106	1
3.51	21	4.58258	8.8394	0.796279	2.77037e-020	8.04312	5.88754e-107	1
3.53	21	4.58258	8.61566	1.05285	5.31623e-020	7.56281	5.35976e-109	1
3.54	11	3.31662	8.5382	1.20817	7.35193e-020	7.33003	5.02988e-110	1
3.56	20	4.47214	8.46361	1.58439	1.40129e-019	6.87923	4.28545e-112	1
3.58	13	3.60555	8.51439	2.06641	2.65887e-019	6.44798	3.49344e-114	1
3.59	20	4.47214	8.59471	2.35507	3.65633e-019	6.23964	3.10233e-115	1
3.61	13	3.60555	8.88383	3.04644	6.89089e-019	5.8374	2.36686e-117	1
3.62	17	4.12311	9.10118	3.45776	9.44399e-019	5.64342	2.03339e-118	1
3.64	18	4.24264	9.70585	4.43625	1.76786e-018	5.2696	1.45188e-120	1
3.66	12	3.4641	10.5749	5.66055	3.29442e-018	4.91431	9.91883e-123	1
3.67	16	4	11.1245	6.38099	4.48963e-018	4.7435	8.06365e-124	1
3.69	21	4.58258	12.4907	8.07539	8.31006e-018	4.4153	5.1557e-126	1
3.7	29	5.38516	13.3237	9.06587	1.12867e-017	4.25779	4.05483e-127	1
3.72	17	4.12311	15.335	11.3793	2.07502e-017	3.95567	2.42636e-129	1
3.73	26	5.09902	16.5336	12.7227	2.80876e-017	3.81094	1.84609e-130	1
3.75	31	5.56776	19.3725	15.8387	5.12899e-017	3.53381	1.03386e-132	1
3.77	37	6.08276	22.8829	19.6102	9.32374e-017	3.2727	5.53977e-135	1
3.78	25	5	24.9236	21.7757	1.25497e-016	3.14797	3.98853e-136	1
3.8	40	6.32456	29.6501	26.7403	2.26597e-016	2.90983	2.00017e-138	1
3.81	37	6.08276	32.3677	29.5714	3.03969e-016	2.79628	1.39316e-139	1
3.83	36	6	38.5961	36.0163	5.45144e-016	2.57984	6.5386e-142	1
3.85	44	6.63325	46.0034	43.6262	9.7327e-016	2.37715	2.93619e-144	1
3.86	49	7	50.1967	47.916	1.29825e-015	2.28077	1.93527e-145	1
3.88	65	8.06226	59.663	57.5654	2.3022e-015	2.09759	8.13334e-148	1
3.89	51	7.14143	64.9773	62.9666	3.06056e-015	2.01063	5.18608e-149	1
3.91	68	8.24621	76.8738	75.0282	5.39072e-015	1.84564	2.03983e-151	1
3.92	70	8.3666	83.499	81.7315	7.14225e-015	1.76745	1.25828e-152	1
3.94	78	8.83176	98.2102	96.5908	1.24952e-014	1.61934	4.6319e-155	1
3.96	89	9.43398	115.01	113.528	2.17616e-014	1.48176	1.63139e-157	1
3.97	105	10.247	124.244	122.828	2.86701e-014	1.41674	9.52282e-159	1
3.99	127	11.2694	144.479	143.185	4.95952e-014	1.29391	3.13901e-161	1
4	130	11.4018	155.514	154.279	6.51193e-014	1.23597	1.77261e-162	1
4.02	146	12.083	179.504	178.377	1.11887e-013	1.12667	5.46847e-165	1
4.04	163	12.7671	206.139	205.113	1.91379e-013	1.02574	1.61413e-167	1
4.05	213	14.5945	220.475	219.497	2.49871e-013	0.978255	8.62542e-169	1
4.07	251	15.843	251.221	250.332	4.24511e-013	0.888932	2.38275e-171	1
