# exported by fityk 0.8.7
#9-X:x	9-X:y	9-X:s	9-X:F(x)	9-X:%_1(x)	9-X:%_2(x)	9-X:%_3(x)	9-X:a
1.96	31	5.56776	8.29154e-046	8.29154e-046	8.37266e-259	8.0573e-154	1
1.98	30	5.47723	2.24091e-045	2.24091e-045	1.99732e-257	7.13527e-153	1
1.99	24	4.89898	3.67775e-045	3.67775e-045	9.7246e-257	2.11809e-152	1
2.01	25	5	9.87244e-045	9.87244e-045	2.2908e-255	1.85721e-151	1
2.03	26	5.09902	2.63818e-044	2.63818e-044	5.35127e-254	1.61773e-150	1
2.04	34	5.83095	4.30533e-044	4.30533e-044	2.57825e-253	4.76268e-150	1
2.06	24	4.89898	1.14272e-043	1.14272e-043	5.94739e-252	4.10764e-149	1
2.07	29	5.38516	1.85853e-043	1.85853e-043	2.84748e-251	1.20333e-148	1
2.09	28	5.2915	4.89956e-043	4.89956e-043	6.48624e-250	1.02759e-147	1
2.11	36	6	1.28582e-042	1.28582e-042	1.46515e-248	8.71736e-147	1
2.12	36	6	2.07948e-042	2.07948e-042	6.94157e-248	2.53274e-146	1
2.14	27	5.19615	5.42041e-042	5.42041e-042	1.54838e-246	2.12741e-145	1
2.15	34	5.83095	8.73643e-042	8.73643e-042	7.28987e-246	6.15041e-145	1
2.17	36	6	2.26186e-041	2.26186e-041	1.60572e-244	5.11515e-144	1
2.18	35	5.91608	3.63324e-041	3.63324e-041	7.51241e-244	1.47149e-143	1
2.2	29	5.38516	9.34286e-041	9.34286e-041	1.63404e-242	1.21173e-142	1
2.22	19	4.3589	2.39167e-040	2.39167e-040	3.52452e-241	9.91257e-142	1
2.23	31	5.56776	3.82011e-040	3.82011e-040	1.63174e-240	2.82813e-141	1
2.25	28	5.2915	9.71294e-040	9.71294e-040	3.47552e-239	2.29072e-140	1
2.26	40	6.32456	1.54615e-039	1.54615e-039	1.59896e-238	6.50329e-140	1
2.28	27	5.19615	3.90465e-039	3.90465e-039	3.36309e-237	5.21556e-139	1
2.3	32	5.65685	9.81629e-039	9.81629e-039	7.01445e-236	4.15527e-138	1
2.31	30	5.47723	1.55379e-038	1.55379e-038	3.19341e-235	1.16996e-137	1
2.33	34	5.83095	3.87983e-038	3.87983e-038	6.5772e-234	9.2292e-137	1
2.34	34	5.83095	6.12049e-038	6.12049e-038	2.97555e-233	2.58573e-136	1
2.36	26	5.09902	1.51796e-037	1.51796e-037	6.05183e-232	2.01963e-135	1
2.37	22	4.69042	2.38649e-037	2.38649e-037	2.72069e-231	5.63039e-135	1
2.39	26	5.09902	5.87879e-037	5.87879e-037	5.46423e-230	4.35432e-134	1
2.41	28	5.2915	1.44162e-036	1.44162e-036	1.08826e-228	3.34528e-133	1
2.42	28	5.2915	2.25371e-036	2.25371e-036	4.84138e-228	9.24937e-133	1
2.44	33	5.74456	5.48928e-036	5.48928e-036	9.52151e-227	7.03588e-132	1
2.45	18	4.24264	8.5524e-036	8.5524e-036	4.20927e-226	1.93573e-131	1
2.47	28	5.2915	2.069e-035	2.069e-035	8.17477e-225	1.45796e-130	1
2.48	26	5.09902	3.21262e-035	3.21262e-035	3.59123e-224	3.99136e-130	1
2.5	25	5	7.71943e-035	7.71943e-035	6.8872e-223	2.97658e-129	1
2.52	22	4.69042	1.84649e-034	1.84649e-034	1.30978e-221	2.20517e-128	1
2.53	24	4.89898	2.85097e-034	2.85097e-034	5.69387e-221	5.98728e-128	1
2.55	25	5	6.77342e-034	6.77342e-034	1.06929e-219	4.39187e-127	1
2.56	24	4.89898	1.04227e-033	1.04227e-033	4.61923e-219	1.18654e-126	1
2.58	26	5.09902	2.45952e-033	2.45952e-033	8.56619e-218	8.61785e-126	1
2.6	30	5.47723	5.77772e-033	5.77772e-033	1.57529e-216	6.2179e-125	1
2.61	33	5.74456	8.84042e-033	8.84042e-033	6.7341e-216	1.66606e-124	1
2.63	25	5	2.06269e-032	2.06269e-032	1.22288e-214	1.19023e-123	1
2.64	22	4.69042	3.14541e-032	3.14541e-032	5.1948e-214	3.17339e-123	1
2.66	20	4.47214	7.28939e-032	7.28939e-032	9.31546e-213	2.2447e-122	1
2.67	25	5	1.1078e-031	1.1078e-031	3.93238e-212	5.95523e-122	1
2.69	25	5	2.54994e-031	2.54994e-031	6.96343e-211	4.17088e-121	1
2.71	29	5.38516	5.84299e-031	5.84299e-031	1.22277e-209	2.90193e-120	1
2.72	21	4.58258	8.8298e-031	8.8298e-031	5.10786e-209	7.63554e-120	1
2.74	28	5.2915	2.0096e-030	2.0096e-030	8.85713e-208	5.2601e-119	1
2.75	22	4.69042	3.02658e-030	3.02658e-030	3.67665e-207	1.37719e-118	1
2.77	30	5.47723	6.84172e-030	6.84172e-030	6.29562e-206	9.39383e-118	1
2.79	38	6.16441	1.53962e-029	1.53962e-029	1.069e-204	6.36533e-117	1
2.8	32	5.65685	2.30569e-029	2.30569e-029	4.39118e-204	1.65285e-116	1
2.82	24	4.89898	5.15353e-029	5.15353e-029	7.36297e-203	1.10894e-115	1
2.83	21	4.58258	7.69165e-029	7.69165e-029	3.00554e-202	2.86528e-115	1
2.85	35	5.91608	1.70756e-028	1.70756e-028	4.97651e-201	1.90342e-114	1
2.86	34	5.83095	2.53991e-028	2.53991e-028	2.01864e-200	4.89375e-114	1
2.88	36	6	5.60053e-028	5.60053e-028	3.30062e-199	3.21887e-113	1
2.9	26	5.09902	1.22935e-027	1.22935e-027	5.35161e-198	2.10328e-112	1
2.91	27	5.19615	1.81829e-027	1.81829e-027	2.14814e-197	5.3631e-112	1
2.93	25	5	3.96428e-027	3.96428e-027	3.43941e-196	3.46979e-111	1
2.94	24	4.89898	5.84357e-027	5.84357e-027	1.37192e-195	8.8038e-111	1
2.96	36	6	1.26542e-026	1.26542e-026	2.16911e-194	5.63964e-110	1
2.98	20	4.47214	2.72788e-026	2.72788e-026	3.40086e-193	3.58891e-109	1
2.99	27	5.19615	3.99838e-026	3.99838e-026	1.34238e-192	9.03113e-109	1
3.01	29	5.38516	8.56109e-026	8.56109e-026	2.07833e-191	5.69047e-108	1
3.02	23	4.79583	1.25059e-025	1.25059e-025	8.15205e-191	1.42487e-107	1
3.04	30	5.47723	2.65959e-025	2.65959e-025	1.24634e-189	8.88947e-107	1
3.05	24	4.89898	3.87193e-025	3.87193e-025	4.85799e-189	2.21488e-106	1
3.07	25	5	8.17864e-025	8.17864e-025	7.33431e-188	1.36819e-105	1
3.09	32	5.65685	1.71977e-024	1.71977e-024	1.09804e-186	8.39597e-105	1
3.1	31	5.56776	2.4896e-024	2.4896e-024	4.23524e-186	2.07471e-104	1
3.12	32	5.65685	5.19963e-024	5.19963e-024	6.26133e-185	1.2606e-103	1
3.13	20	4.47214	7.50167e-024	7.50167e-024	2.39991e-184	3.09964e-103	1
3.15	21	4.58258	1.55616e-023	1.55616e-023	3.5036e-183	1.86477e-102	1
3.17	22	4.69042	3.21358e-023	3.21358e-023	5.07213e-182	1.11448e-101	1
3.18	27	5.19615	4.61019e-023	4.61019e-023	1.9238e-181	2.71779e-101	1
3.2	24	4.89898	9.45599e-023	9.45599e-023	2.75022e-180	1.60826e-100	1
3.21	32	5.65685	1.35196e-022	1.35196e-022	1.03658e-179	3.90256e-100	1
3.23	38	6.16441	2.75427e-022	2.75427e-022	1.46333e-178	2.28656e-099	1
3.24	28	5.2915	3.92456e-022	3.92456e-022	5.48081e-178	5.52108e-099	1
3.26	30	5.47723	7.9412e-022	7.9412e-022	7.64038e-177	3.20297e-098	1
3.28	23	4.79583	1.59963e-021	1.59963e-021	1.05618e-175	1.84591e-097	1
3.29	29	5.38516	2.26646e-021	2.26646e-021	3.91458e-175	4.42043e-097	1
3.31	31	5.56776	4.53455e-021	4.53455e-021	5.34369e-174	2.52242e-096	1
3.32	27	5.19615	6.4031e-021	6.4031e-021	1.96813e-173	6.0106e-096	1
3.34	48	6.9282	1.27242e-020	1.27242e-020	2.65302e-172	3.39598e-095	1
3.36	29	5.38516	2.51713e-020	2.51713e-020	3.54637e-171	1.90609e-094	1
3.37	31	5.56776	3.53434e-020	3.53434e-020	1.29252e-170	4.5046e-094	1
3.39	27	5.19615	6.94445e-020	6.94445e-020	1.70613e-169	2.50339e-093	1
3.4	34	5.83095	9.71777e-020	9.71777e-020	6.1792e-169	5.88692e-093	1
3.42	21	4.58258	1.89649e-019	1.89649e-019	8.0545e-168	3.23933e-092	1
3.43	32	5.65685	2.64488e-019	2.64488e-019	2.89884e-167	7.57989e-092	1
3.45	32	5.65685	5.12678e-019	5.12678e-019	3.73132e-166	4.12976e-091	1
3.47	39	6.245	9.8928e-019	9.8928e-019	4.76272e-165	2.2352e-090	1
3.48	24	4.89898	1.37189e-018	1.37189e-018	1.69623e-164	5.18724e-090	1
3.5	27	5.19615	2.62935e-018	2.62935e-018	2.138e-163	2.77986e-089	1
3.51	24	4.89898	3.63393e-018	3.63393e-018	7.56664e-163	6.41933e-089	1
3.53	34	5.83095	6.91765e-018	6.91765e-018	9.418e-162	3.4062e-088	1
3.54	31	5.56776	9.52826e-018	9.52826e-018	3.31222e-161	7.82681e-088	1
3.56	29	5.38516	1.80157e-017	1.80157e-017	4.07106e-160	4.11207e-087	1
3.58	19	4.3589	3.39096e-017	3.39096e-017	4.96191e-159	2.14618e-086	1
3.59	23	4.79583	4.64432e-017	4.64432e-017	1.72684e-158	4.89095e-086	1
3.61	33	5.74456	8.68259e-017	8.68259e-017	2.07839e-157	2.52751e-085	1
3.62	22	4.69042	1.18516e-016	1.18516e-016	7.18781e-157	5.73149e-085	1
3.64	30	5.47723	2.20068e-016	2.20068e-016	8.54284e-156	2.93267e-084	1
3.66	27	5.19615	4.06793e-016	4.06793e-016	1.00684e-154	1.49069e-083	1
3.67	33	5.74456	5.52135e-016	5.52135e-016	3.44568e-154	3.35254e-083	1
3.69	24	4.89898	1.01372e-015	1.01372e-015	4.0102e-153	1.6873e-082	1
3.7	19	4.3589	1.37125e-015	1.37125e-015	1.36378e-152	3.77595e-082	1
3.72	28	5.2915	2.50058e-015	2.50058e-015	1.56736e-151	1.88166e-081	1
3.73	20	4.47214	3.37106e-015	3.37106e-015	5.2968e-151	4.19008e-081	1
3.75	30	5.47723	6.10584e-015	6.10584e-015	6.0113e-150	2.06743e-080	1
3.77	23	4.79583	1.10093e-014	1.10093e-014	6.76516e-149	1.01337e-079	1
3.78	30	5.47723	1.47581e-014	1.47581e-014	2.26238e-148	2.23802e-079	1
3.8	24	4.89898	2.64302e-014	2.64302e-014	2.51424e-147	1.08617e-078	1
3.81	26	5.09902	3.53101e-014	3.53101e-014	8.35527e-147	2.38692e-078	1
3.83	22	4.69042	6.2809e-014	6.2809e-014	9.16924e-146	1.14701e-077	1
3.85	32	5.65685	1.1122e-013	1.1122e-013	9.9784e-145	5.4755e-077	1
3.86	30	5.47723	1.47749e-013	1.47749e-013	3.28139e-144	1.19337e-076	1
3.88	29	5.38516	2.59859e-013	2.59859e-013	3.52628e-143	5.64065e-076	1
3.89	28	5.2915	3.44039e-013	3.44039e-013	1.15234e-142	1.22329e-075	1
3.91	21	4.58258	6.01001e-013	6.01001e-013	1.22284e-141	5.72502e-075	1
3.92	40	6.32456	7.92999e-013	7.92999e-013	3.97099e-141	1.23545e-074	1
3.94	25	5	1.37592e-012	1.37592e-012	4.16123e-140	5.72488e-074	1
3.96	41	6.40312	2.37658e-012	2.37658e-012	4.32413e-139	2.63535e-073	1
3.97	26	5.09902	3.11813e-012	3.11813e-012	1.38954e-138	5.64025e-073	1
3.99	30	5.47723	5.3494e-012	5.3494e-012	1.42587e-137	2.57078e-072	1
4	27	5.19615	6.99479e-012	6.99479e-012	4.55319e-137	5.47485e-072	1
4.02	36	6	1.1919e-011	1.1919e-011	4.61378e-136	2.47078e-071	1
4.04	31	5.56776	2.02182e-011	2.02182e-011	4.63609e-135	1.10771e-070	1
4.05	26	5.09902	2.62879e-011	2.62879e-011	1.46498e-134	2.33962e-070	1
4.07	38	6.16441	4.42907e-011	4.42907e-011	1.45365e-133	1.03856e-069	1
4.08	34	5.83095	5.73923e-011	5.73923e-011	4.56463e-133	2.18272e-069	1
4.1	20	4.47214	9.60425e-011	9.60425e-011	4.47264e-132	9.59352e-069	1
4.11	20	4.47214	1.24032e-010	1.24032e-010	1.39565e-131	2.00628e-068	1
4.13	28	5.2915	2.06156e-010	2.06156e-010	1.35041e-130	8.73107e-068	1
4.15	37	6.08276	3.41111e-010	3.41111e-010	1.29572e-129	3.77462e-067	1
4.16	40	6.32456	4.38036e-010	4.38036e-010	4.00098e-129	7.82887e-067	1
4.18	32	5.65685	7.19886e-010	7.19886e-010	3.7909e-128	3.35119e-066	1
4.19	49	7	9.21306e-010	9.21306e-010	1.16322e-127	6.91629e-066	1
4.21	50	7.07107	1.50388e-009	1.50388e-009	1.08836e-126	2.93135e-065	1
4.23	37	6.08276	2.44375e-009	2.44375e-009	1.0098e-125	1.23422e-064	1
4.24	45	6.7082	3.10987e-009	3.10987e-009	3.06619e-125	2.52626e-064	1
4.26	39	6.245	5.01927e-009	5.01927e-009	2.80927e-124	1.05317e-063	1
4.27	37	6.08276	6.3658e-009	6.3658e-009	8.47662e-124	2.14502e-063	1
4.29	52	7.2111	1.02048e-008	1.02048e-008	7.66918e-123	8.8541e-063	1
4.3	47	6.85565	1.28987e-008	1.28987e-008	2.29956e-122	1.79442e-062	1
4.32	43	6.55744	2.05377e-008	2.05377e-008	2.05448e-121	7.33388e-062	1
4.34	30	5.47723	3.25532e-008	3.25532e-008	1.82018e-120	2.97764e-061	1
4.35	52	7.2111	4.09146e-008	4.09146e-008	5.40075e-120	5.98502e-061	1
4.37	35	5.91608	6.44132e-008	6.44132e-008	4.72496e-119	2.40602e-060	1
4.38	43	6.55744	8.06839e-008	8.06839e-008	1.39317e-118	4.81215e-060	1
4.4	44	6.63325	1.26165e-007	1.26165e-007	1.20359e-117	1.91543e-059	1
4.42	40	6.32456	1.96392e-007	1.96392e-007	1.03112e-116	7.57399e-059	1
4.43	48	6.9282	2.44614e-007	2.44614e-007	3.00855e-116	1.50237e-058	1
4.45	56	7.48331	3.782e-007	3.782e-007	2.54518e-115	5.88206e-058	1
4.46	41	6.40312	4.69467e-007	4.69467e-007	7.37959e-115	1.16099e-057	1
4.48	46	6.78233	7.20942e-007	7.20942e-007	6.1649e-114	4.50066e-057	1
4.49	32	5.65685	8.9189e-007	8.9189e-007	1.77626e-113	8.83942e-057	1
4.51	36	6	1.36038e-006	1.36038e-006	1.46532e-112	3.39286e-056	1
4.53	44	6.63325	2.06559e-006	2.06559e-006	1.1987e-111	1.29371e-055	1
4.54	39	6.245	2.54098e-006	2.54098e-006	3.4177e-111	2.51998e-055	1
4.56	41	6.40312	3.83213e-006	3.83213e-006	2.76087e-110	9.514e-055	1
4.57	42	6.48074	4.69811e-006	4.69811e-006	7.82229e-110	1.84404e-054	1
4.59	37	6.08276	7.03746e-006	7.03746e-006	6.2399e-109	6.89336e-054	1
4.6	36	6	8.59856e-006	8.59856e-006	1.75684e-108	1.32949e-053	1
4.62	39	6.245	1.2793e-005	1.2793e-005	1.38391e-107	4.92086e-053	1
4.64	42	6.48074	1.89477e-005	1.89477e-005	1.08103e-106	1.80937e-052	1
4.65	49	7	2.30203e-005	2.30203e-005	3.01185e-106	3.46093e-052	1
4.67	45	6.7082	3.38648e-005	3.38648e-005	2.32325e-105	1.26001e-051	1
4.68	47	6.85565	4.10044e-005	4.10044e-005	6.43219e-105	2.39821e-051	1
4.7	42	6.48074	5.99131e-005	5.99131e-005	4.8995e-104	8.64495e-051	1
4.72	32	5.65685	8.71464e-005	8.71464e-005	3.70083e-103	3.09576e-050	1
4.73	40	6.32456	0.000104924	0.000104924	1.01392e-102	5.84378e-050	1
4.75	42	6.48074	0.000151586	0.000151586	7.56283e-102	2.07202e-049	1
4.76	40	6.32456	0.000181891	0.000181891	2.059e-101	3.89194e-049	1
4.78	43	6.55744	0.000261004	0.000261004	1.51659e-100	1.36635e-048	1
4.79	43	6.55744	0.000312125	0.000312125	4.10304e-100	2.55377e-048	1
4.81	48	6.9282	0.000444855	0.000444855	2.98434e-099	8.87709e-048	1
4.83	46	6.78233	0.000631167	0.000631167	2.15251e-098	3.06542e-047	1
4.84	31	5.56776	0.000750534	0.000750534	5.76272e-098	5.68228e-047	1
4.86	34	5.83095	0.00105767	0.00105767	4.10446e-097	1.94284e-046	1
4.87	27	5.19615	0.00125344	0.00125344	1.09195e-096	3.58358e-046	1
4.89	28	5.2915	0.00175443	0.00175443	7.68004e-096	1.21318e-045	1
4.91	38	6.16441	0.0024446	0.0024446	5.35647e-095	4.08003e-045	1
4.92	27	5.19615	0.00288075	0.00288075	1.41016e-094	7.46373e-045	1
4.94	42	6.48074	0.00398684	0.00398684	9.71216e-094	2.48536e-044	1
4.95	35	5.91608	0.00468225	0.00468225	2.54081e-093	4.52406e-044	1
4.97	28	5.2915	0.00643625	0.00643625	1.72803e-092	1.49161e-043	1
4.98	43	6.55744	0.0075333	0.0075333	4.49234e-092	2.70174e-043	1
5	36	6	0.0102853	0.0102853	3.01705e-091	8.81994e-043	1
5.02	33	5.74456	0.0139793	0.0139793	2.00931e-090	2.86034e-042	1
5.03	28	5.2915	0.0162698	0.0162698	5.16907e-090	5.13828e-042	1
5.05	19	4.3589	0.0219637	0.0219637	3.39945e-089	1.64993e-041	1
5.06	37	6.08276	0.0254759	0.0254759	8.6904e-089	2.94925e-041	1
5.08	39	6.245	0.034159	0.034159	5.64375e-088	9.37676e-041	1
5.1	30	5.47723	0.0455951	0.0455951	3.63455e-087	2.96158e-040	1
5.11	35	5.91608	0.0525881	0.0525881	9.19442e-087	5.25029e-040	1
5.13	29	5.38516	0.0697195	0.0697195	5.84707e-086	1.64191e-039	1
5.14	23	4.79583	0.0801402	0.0801402	1.46987e-085	2.89638e-039	1
5.16	28	5.2915	0.105529	0.105529	9.23049e-085	8.96843e-039	1
5.17	32	5.65685	0.120891	0.120891	2.30585e-084	1.57424e-038	1
5.19	32	5.65685	0.158114	0.158114	1.42991e-083	4.82643e-038	1
5.21	31	5.56776	0.205864	0.205864	8.79306e-083	1.46998e-037	1
5.22	30	5.47723	0.234503	0.234503	2.17365e-082	2.55904e-037	1
