Profile 1;Profile 1;
x;y;
[m];[];
0.02207109;0.017467897;
0.022178231;0.019424305;
0.022285373;0.020194887;
0.022392514;0.013813516;
0.022499655;0.011108364;
0.022606796;0.0088460665;
0.022713938;0.0081866232;
0.022821079;0.0094939415;
0.02292822;0.0097831768;
0.023035361;0.0085211474;
0.023142502;0.0098022897;
0.023249644;0.0078431373;
0.023356785;0.0081673464;
0.023463926;0.0094559769;
0.023571067;0.010158137;
0.023678208;0.0087391724;
0.02378535;0.0078431373;
0.023892491;0.0078431373;
0.023999632;0.0078431373;
0.024106773;0.0078431373;
0.024213915;0.0078431373;
0.024321056;0.0078431373;
0.024428197;0.0081345707;
0.024535338;0.0093939979;
0.024642479;0.010219954;
0.024749621;0.010411948;
0.024856762;0.013875595;
0.024963903;0.011764706;
0.025071044;0.01127389;
0.025178185;0.011676064;
0.025285327;0.016423486;
0.025392468;0.016462029;
0.025499609;0.017331089;
0.02560675;0.015000152;
0.025713892;0.017621221;
0.025821033;0.015547932;
0.025928174;0.016174052;
0.026035315;0.011764706;
0.026142456;0.011194337;
0.026249598;0.010174848;
0.026356739;0.010717438;
0.02646388;0.0086646166;
0.026571021;0.010327145;
0.026678162;0.0084441754;
0.026785304;0.0088949692;
0.026892445;0.010711733;
0.026999586;0.0078431373;
0.027106727;0.00869244;
0.027213869;0.010159282;
0.02732101;0.0087017792;
0.027428151;0.010373102;
0.027535292;0.0092290698;
0.027642433;0.011445389;
0.027749575;0.012261926;
0.027856716;0.010882574;
0.027963857;0.0092065448;
0.028070998;0.010232948;
0.02817814;0.0089098033;
0.028285281;0.010863637;
0.028392422;0.0091842789;
0.028499563;0.01042909;
0.028606704;0.0081020127;
0.028713846;0.0075908965;
0.028820987;0.008237349;
0.028928128;0.0078431373;
0.029035269;0.0087776585;
0.02914241;0.0093849706;
0.029249552;0.0052189555;
0.029356693;0.0075001262;
0.029463834;0.0087969521;
0.029570975;0.010360618;
0.029678117;0.0088066475;
0.029785258;0.01049414;
0.029892399;0.0091083881;
0.02999954;0.010396804;
0.030106681;0.0078431373;
0.030213823;0.0078431373;
0.030320964;0.0078431373;
0.030428105;0.0078431373;
0.030535246;0.0088457529;
0.030642387;0.01045084;
0.030749529;0.0077615582;
0.03085667;0.0066249977;
0.030963811;0.0052085261;
0.031070952;0.0078431373;
0.031178094;0.0078431373;
0.031285235;0.0078431373;
0.031392376;0.0078431373;
0.031499517;0.0078431373;
0.031606658;0.0077921825;
0.0317138;0.0066657734;
0.031820941;0.0051371261;
