Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
317.33	-3.5787
317.17	-3.5809
317.00	-3.5831
316.83	-3.5852
316.67	-3.5877
316.50	-3.5898
316.33	-3.5920
316.17	-3.5942
316.00	-3.5963
315.83	-3.5985
315.67	-3.6006
315.50	-3.6031
315.33	-3.6053
315.17	-3.6074
315.00	-3.6192
314.83	-3.7136
314.67	-4.0501
314.50	-4.8123
314.33	-6.1437
314.17	-8.1206
314.00	-10.7492
313.83	-13.9794
313.67	-17.7226
313.50	-21.8718
313.33	-26.3131
313.17	-30.9364
313.00	-35.6434
312.83	-40.3483
312.67	-44.9797
312.50	-49.4802
312.33	-53.8066
312.17	-57.9283
312.00	-61.8253
311.83	-65.4855
311.67	-68.9016
311.50	-72.0660
311.33	-74.9613
311.17	-77.5442
311.00	-79.7217
310.83	-81.3526
310.67	-82.2873
310.50	-82.4086
310.33	-81.6569
310.17	-80.0372
310.00	-77.6111
309.83	-74.4843
309.67	-70.7865
309.50	-66.6601
309.33	-62.2464
309.17	-57.6761
309.00	-53.0672
308.83	-48.5189
308.67	-44.1122
308.50	-39.9093
308.33	-35.9549
308.17	-32.2789
308.00	-28.8981
307.83	-25.8179
307.67	-23.0356
307.50	-20.5423
307.33	-18.3233
307.17	-16.3610
307.00	-14.6363
306.83	-13.1283
306.67	-11.8166
306.50	-10.6803
306.33	-9.7002
306.17	-8.8578
306.00	-8.1357
305.83	-7.5189
305.67	-6.9926
305.50	-6.5447
305.33	-6.1641
305.17	-5.8402
305.00	-5.5649
304.83	-5.3309
304.67	-5.1315
304.50	-4.9614
304.33	-4.8160
304.17	-4.6910
304.00	-4.5832
303.83	-4.4900
303.67	-4.4091
303.50	-4.3381
303.33	-4.2761
303.17	-4.2211
303.00	-4.1724
302.83	-4.1288
302.67	-4.0902
302.50	-4.0554
302.33	-4.0239
302.17	-3.9958
302.00	-3.9705
301.83	-3.9473
301.67	-3.9266
301.50	-3.9081
301.33	-3.8911
301.17	-3.8760
301.00	-3.8621
300.83	-3.8498
300.67	-3.8390
300.50	-3.8291
300.33	-3.8201
300.17	-3.8124
300.00	-3.8056
299.83	-3.7994
299.67	-3.7942
299.50	-3.7896
299.33	-3.7859
299.17	-3.7825
299.00	-3.7797
298.83	-3.7772
298.67	-3.7754
298.50	-3.7735
298.33	-3.7723
298.17	-3.7714
298.00	-3.7704
297.83	-3.7698
297.67	-3.7695
297.50	-3.7692
297.33	-3.7689
297.17	-3.7689
297.00	-3.7692
296.83	-3.7695
296.67	-3.7698
296.50	-3.7704
296.33	-3.7710
296.17	-3.7720
296.00	-3.7729
295.83	-3.7738
295.67	-3.7748
295.50	-3.7757
295.33	-3.7766
295.17	-3.7775
295.00	-3.7788
294.83	-3.7797
294.67	-3.7806
294.50	-3.7819
294.33	-3.7831
294.17	-3.7840
294.00	-3.7852
293.83	-3.7865
293.67	-3.7880
293.50	-3.7893
293.33	-3.7908
293.17	-3.7923
293.00	-3.7936
292.83	-3.7951
292.67	-3.7964
292.50	-3.7976
292.33	-3.7988
292.17	-3.8001
292.00	-3.8016
291.83	-3.8028
291.67	-3.8041
291.50	-3.8053
291.33	-3.8069
291.17	-3.8081
291.00	-3.8093
290.83	-3.8106
290.67	-3.8121
290.50	-3.8133
290.33	-3.8146
290.17	-3.8161
290.00	-3.8177
289.83	-3.8192
289.67	-3.8211
289.50	-3.8226
289.33	-3.8241
289.17	-3.8254
289.00	-3.8269
288.83	-3.8285
288.67	-3.8300
288.50	-3.8316
288.33	-3.8328
288.17	-3.8343
288.00	-3.8359
287.83	-3.8374
287.67	-3.8393
287.50	-3.8408
287.33	-3.8424
287.17	-3.8439
287.00	-3.8451
286.83	-3.8467
286.67	-3.8482
286.50	-3.8495
286.33	-3.8510
286.17	-3.8525
286.00	-3.8538
285.83	-3.8550
285.67	-3.8562
285.50	-3.8575
285.33	-3.8584
285.17	-3.8596
285.00	-3.8609
284.83	-3.8624
284.67	-3.8637
284.50	-3.8652
284.33	-3.8664
284.17	-3.8680
284.00	-3.8695
283.83	-3.8711
283.67	-3.8723
283.50	-3.8738
283.33	-3.8754
283.17	-3.8766
283.00	-3.8782
