Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\Pd-Ni-P_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
200.00	0.0204
200.17	0.0204
200.34	0.0204
200.50	0.0204
200.67	0.0205
200.84	0.0212
201.00	0.0210
201.17	0.0190
201.34	0.0148
201.50	0.0079
201.67	-0.0025
201.84	-0.0153
202.00	-0.0311
202.17	-0.0491
202.34	-0.0690
202.50	-0.0897
202.67	-0.1110
202.84	-0.1324
203.00	-0.1533
203.17	-0.1733
203.34	-0.1917
203.50	-0.2080
203.67	-0.2218
203.84	-0.2333
204.00	-0.2418
204.17	-0.2467
204.34	-0.2486
204.50	-0.2476
204.67	-0.2424
204.84	-0.2345
205.00	-0.2237
205.17	-0.2104
205.34	-0.1958
205.50	-0.1794
205.67	-0.1619
205.84	-0.1429
206.00	-0.1233
206.17	-0.1027
206.34	-0.0818
206.50	-0.0602
206.67	-0.0387
206.84	-0.0172
207.00	0.0037
207.17	0.0244
207.34	0.0446
207.50	0.0639
207.67	0.0827
207.84	0.1004
208.00	0.1179
208.17	0.1341
208.34	0.1494
208.50	0.1640
208.67	0.1777
208.84	0.1908
209.00	0.2029
209.17	0.2141
209.34	0.2250
209.50	0.2349
209.67	0.2442
209.84	0.2526
210.00	0.2604
210.17	0.2682
210.34	0.2753
210.50	0.2821
210.67	0.2887
210.84	0.2949
211.00	0.3005
211.17	0.3060
211.34	0.3113
211.50	0.3166
211.67	0.3225
211.84	0.3277
212.00	0.3333
212.17	0.3389
212.34	0.3441
212.50	0.3488
212.67	0.3553
212.84	0.3738
213.00	0.4167
213.17	0.4853
213.34	0.5714
213.50	0.6655
213.67	0.7579
213.84	0.8409
214.00	0.9091
214.17	0.9607
214.34	0.9952
214.50	1.0128
214.67	1.0162
214.84	1.0073
215.00	0.9885
215.17	0.9622
215.34	0.9310
215.50	0.8968
215.67	0.8607
215.84	0.8248
216.00	0.7894
216.17	0.7560
216.34	0.7248
216.50	0.6958
216.67	0.6696
216.84	0.6464
