Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\Pd-Ni-P_20k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
200.07	0.1641
200.13	0.1641
200.20	0.1641
200.27	0.1645
200.33	0.1648
200.40	0.1651
200.47	0.1654
200.53	0.1651
200.60	0.1641
200.67	0.1635
200.73	0.1623
200.80	0.1617
200.87	0.1620
200.93	0.1641
201.00	0.1676
201.07	0.1734
201.13	0.1812
201.20	0.1905
201.27	0.2019
201.33	0.2146
201.40	0.2286
201.47	0.2437
201.53	0.2592
201.60	0.2750
201.67	0.2905
201.73	0.3060
201.80	0.3202
201.87	0.3339
201.93	0.3459
202.00	0.3562
202.07	0.3655
202.13	0.3732
202.20	0.3797
202.27	0.3843
202.33	0.3887
202.40	0.3918
202.47	0.3936
202.53	0.3949
202.60	0.3955
202.67	0.3955
202.73	0.3952
202.80	0.3939
202.87	0.3924
202.93	0.3908
203.00	0.3887
203.07	0.3871
203.13	0.3853
203.20	0.3840
203.27	0.3825
203.33	0.3809
203.40	0.3794
203.47	0.3775
203.53	0.3754
203.60	0.3729
203.67	0.3707
203.73	0.3686
203.80	0.3667
203.87	0.3645
203.93	0.3633
204.00	0.3617
204.07	0.3602
204.13	0.3593
204.20	0.3583
204.27	0.3577
204.33	0.3571
204.40	0.3565
204.47	0.3565
204.53	0.3562
204.60	0.3565
204.67	0.3568
204.73	0.3571
204.80	0.3574
204.87	0.3577
204.93	0.3583
205.00	0.3586
205.07	0.3589
205.13	0.3593
205.20	0.3593
205.27	0.3596
205.33	0.3596
205.40	0.3593
205.47	0.3589
205.53	0.3589
205.60	0.3589
205.67	0.3589
205.73	0.3589
205.80	0.3593
205.87	0.3599
205.93	0.3602
206.00	0.3605
206.07	0.3614
206.13	0.3624
206.20	0.3633
206.27	0.3642
206.33	0.3651
206.40	0.3661
206.47	0.3673
206.53	0.3682
206.60	0.3692
206.67	0.3704
206.73	0.3713
206.80	0.3716
206.87	0.3723
206.93	0.3732
207.00	0.3735
