Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
157.84	2.1408
158.00	2.1383
158.17	2.1362
158.34	2.1337
158.50	2.1312
158.67	2.1288
158.84	2.1260
159.00	2.1235
159.17	2.1211
159.34	2.1183
159.50	2.1155
159.67	2.1127
159.84	2.1096
160.00	2.1069
160.17	2.1041
160.34	2.1013
160.50	2.0985
160.67	2.0957
160.84	2.0933
161.00	2.0908
161.17	2.0883
161.34	2.0856
161.50	2.0834
161.67	2.0809
161.84	2.0785
162.00	2.0760
162.17	2.0735
162.34	2.0714
162.50	2.0692
162.67	2.0670
162.84	2.0649
163.00	2.0624
163.17	2.0602
163.34	2.0581
163.50	2.0556
163.67	2.0531
163.84	2.0510
164.00	2.0485
164.17	2.0467
164.34	2.0445
164.50	2.0423
164.67	2.0405
164.84	2.0386
165.00	2.0365
165.17	2.0346
165.34	2.0325
165.50	2.0309
165.67	2.0291
165.84	2.0275
166.00	2.0263
166.17	2.0251
166.34	2.0238
166.50	2.0229
166.67	2.0220
166.84	2.0207
167.00	2.0198
167.17	2.0189
167.34	2.0180
167.50	2.0167
167.67	2.0158
167.84	2.0146
168.00	2.0133
168.17	2.0121
168.34	2.0102
168.50	2.0084
168.67	2.0065
168.84	2.0047
169.00	2.0025
169.17	2.0007
169.34	1.9985
169.50	1.9967
169.67	1.9948
169.84	1.9933
170.00	1.9917
170.17	1.9902
170.34	1.9886
170.50	1.9874
170.67	1.9859
170.84	1.9846
171.00	1.9834
171.17	1.9821
171.34	1.9809
171.50	1.9794
171.67	1.9781
171.84	1.9769
172.00	1.9757
172.17	1.9744
172.34	1.9729
172.50	1.9716
172.67	1.9701
172.84	1.9689
173.00	1.9673
173.17	1.9658
173.34	1.9645
173.50	1.9630
173.67	1.9618
173.84	1.9602
174.00	1.9587
174.17	1.9574
174.34	1.9559
174.50	1.9547
174.67	1.9531
174.84	1.9519
175.00	1.9503
175.17	1.9488
175.34	1.9476
175.50	1.9460
175.67	1.9442
175.84	1.9426
176.00	1.9411
176.17	1.9395
176.34	1.9377
176.50	1.9361
176.67	1.9343
176.84	1.9324
177.00	1.9306
177.17	1.9287
177.34	1.9269
177.50	1.9250
177.67	1.9232
177.84	1.9213
178.00	1.9195
178.17	1.9173
178.34	1.9155
178.50	1.9133
178.67	1.9111
178.84	1.9090
179.00	1.9068
179.17	1.9047
179.34	1.9022
179.50	1.9000
179.67	1.8976
179.84	1.8951
180.00	1.8926
180.17	1.8905
180.34	1.8880
180.50	1.8858
180.67	1.8837
180.84	1.8815
181.00	1.8797
181.17	1.8778
181.34	1.8763
181.50	1.8744
181.67	1.8726
181.84	1.8710
182.00	1.8692
182.17	1.8676
182.34	1.8661
182.50	1.8642
182.67	1.8627
182.84	1.8611
183.00	1.8599
183.17	1.8587
183.34	1.8571
183.50	1.8559
183.67	1.8550
183.84	1.8537
184.00	1.8525
184.17	1.8516
184.34	1.8503
184.50	1.8488
184.67	1.8476
184.84	1.8463
185.00	1.8448
