Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\Pd-Ni-P_100k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
315.67	1.6544
316.00	1.7132
316.33	1.7735
316.67	1.8356
317.00	1.9000
317.33	1.9658
317.67	2.0336
318.00	2.1034
318.33	2.1749
318.67	2.2482
319.00	2.3233
319.33	2.3997
319.67	2.4776
320.00	2.5574
320.33	2.6387
320.67	2.7216
321.00	2.8067
321.33	2.8932
321.67	2.9811
322.00	3.0707
322.33	3.1614
322.67	3.2529
323.00	3.3457
323.33	3.4394
323.67	3.5337
324.00	3.6286
324.33	3.7242
324.67	3.8197
325.00	3.9159
325.33	4.0121
325.67	4.1082
326.00	4.2035
326.33	4.2984
326.67	4.3924
327.00	4.4849
327.33	4.5761
327.67	4.6649
328.00	4.7515
328.33	4.8359
328.67	4.9172
329.00	4.9955
329.33	5.0703
329.67	5.1414
330.00	5.2082
330.33	5.2713
330.67	5.3297
331.00	5.3835
331.33	5.4327
331.67	5.4769
332.00	5.5162
332.33	5.5508
332.67	5.5805
333.00	5.6062
333.33	5.6269
333.67	5.6430
334.00	5.6551
334.33	5.6631
334.67	5.6674
335.00	5.6680
335.33	5.6656
335.67	5.6603
336.00	5.6523
336.33	5.6418
336.67	5.6291
337.00	5.6145
337.33	5.5988
337.67	5.5815
338.00	5.5632
338.33	5.5444
338.67	5.5249
339.00	5.5051
339.33	5.4853
339.67	5.4649
340.00	5.4445
340.33	5.4241
340.67	5.4040
341.00	5.3839
341.33	5.3641
341.67	5.3449
342.00	5.3257
342.33	5.3078
342.67	5.2898
343.00	5.2728
343.33	5.2568
343.67	5.2410
344.00	5.2261
344.33	5.2116
344.67	5.1977
345.00	5.1841
345.33	5.1708
345.67	5.1578
346.00	5.1445
346.33	5.1321
346.67	5.1198
347.00	5.1074
347.33	5.0950
347.67	5.0830
348.00	5.0715
348.33	5.0601
348.67	5.0490
349.00	5.0381
349.33	5.0273
349.67	5.0165
350.00	5.0060
350.33	4.9958
350.67	4.9852
351.00	4.9750
351.33	4.9648
351.67	4.9546
352.00	4.9447
352.33	4.9348
352.67	4.9253
353.00	4.9160
353.33	4.9067
353.67	4.8977
354.00	4.8897
354.33	4.8813
354.67	4.8733
355.00	4.8656
355.33	4.8572
355.67	4.8492
356.00	4.8405
356.33	4.8322
356.67	4.8232
357.00	4.8142
357.33	4.8053
357.67	4.7960
358.00	4.7870
358.33	4.7777
358.67	4.7682
359.00	4.7586
359.33	4.7490
359.67	4.7391
360.00	4.7292
360.33	4.7193
360.67	4.7094
361.00	4.6995
361.33	4.6893
361.67	4.6794
362.00	4.6692
362.33	4.6587
362.67	4.6482
363.00	4.6374
363.33	4.6262
363.67	4.6145
364.00	4.6027
364.33	4.5910
364.67	4.5789
365.00	4.5662
365.33	4.5542
365.67	4.5424
366.00	4.5307
366.33	4.5195
366.67	4.5087
367.00	4.4991
367.33	4.4895
367.67	4.4809
368.00	4.4722
368.33	4.4639
368.67	4.4555
369.00	4.4478
369.33	4.4397
369.67	4.4317
370.00	4.4240
370.33	4.4166
370.67	4.4098
371.00	4.4033
371.33	4.3980
371.67	4.3931
372.00	4.3890
372.33	4.3856
372.67	4.3828
373.00	4.3804
373.33	4.3782
373.67	4.3770
374.00	4.3757
374.33	4.3748
374.67	4.3742
375.00	4.3742
375.33	4.3739
375.67	4.3733
376.00	4.3726
376.33	4.3717
376.67	4.3705
377.00	4.3689
377.33	4.3671
377.67	4.3658
378.00	4.3643
378.33	4.3631
378.67	4.3627
379.00	4.3637
379.33	4.3658
379.67	4.3696
380.00	4.3751
380.33	4.3828
380.67	4.3924
381.00	4.4042
381.33	4.4187
381.67	4.4351
382.00	4.4546
382.33	4.4762
382.67	4.4997
383.00	4.5254
383.33	4.5526
383.67	4.5814
384.00	4.6108
384.33	4.6401
384.67	4.6692
385.00	4.6967
385.33	4.7233
385.67	4.7474
386.00	4.7697
386.33	4.7889
386.67	4.8056
387.00	4.8189
387.33	4.8285
387.67	4.8346
388.00	4.8365
388.33	4.8340
388.67	4.8269
389.00	4.8152
389.33	4.7982
389.67	4.7765
390.00	4.7499
390.33	4.7190
390.67	4.6840
391.00	4.6457
391.33	4.6036
391.67	4.5591
392.00	4.5121
392.33	4.4636
392.67	4.4135
393.00	4.3621
393.33	4.3096
