165 404 0 0.313322 361.609 8.82997e-17 3.22655e-69 361.922 2.09346
166 401 0 0.315122 361.588 9.6489e-17 3.68257e-69 361.903 1.95242
167 372 0 0.316931 361.567 1.05428e-16 4.2028e-69 361.884 0.52451
168 417 0 0.31875 361.545 1.15184e-16 4.79628e-69 361.864 2.70002
169 412 0 0.320578 361.524 1.25832e-16 5.47326e-69 361.844 2.47099
170 392 0 0.322416 361.502 1.37451e-16 6.24546e-69 361.825 1.52409
171 416 0 0.324264 361.48 1.50129e-16 7.12622e-69 361.804 2.65716
172 371 0 0.326121 361.458 1.63961e-16 8.13076e-69 361.784 0.478468
173 376 0 0.327989 361.436 1.79051e-16 9.27641e-69 361.764 0.734191
174 429 0 0.329866 361.413 1.95511e-16 1.05829e-68 361.743 3.24721
175 376 0 0.331753 361.39 2.13465e-16 1.20728e-68 361.722 0.736344
176 400 0 0.333649 361.367 2.33046e-16 1.37716e-68 361.701 1.91497
177 397 0 0.335556 361.344 2.544e-16 1.57087e-68 361.679 1.7727
178 407 0 0.337473 361.32 2.77684e-16 1.79173e-68 361.658 2.24754
179 400 0 0.3394 361.296 3.03072e-16 2.04353e-68 361.636 1.91821
180 401 0 0.341337 361.272 3.30749e-16 2.33059e-68 361.614 1.96686
181 371 0 0.343284 361.248 3.60921e-16 2.65783e-68 361.591 0.488469
182 379 0 0.345241 361.224 3.93808e-16 3.03086e-68 361.569 0.895372
183 355 0 0.347208 361.199 4.29653e-16 3.45606e-68 361.546 -0.347441
184 392 0 0.349186 361.174 4.68716e-16 3.94069e-68 361.523 1.5393
185 363 0 0.351174 361.149 5.11283e-16 4.49305e-68 361.5 0.0787135
186 362 0 0.353173 361.124 5.57665e-16 5.12255e-68 361.477 0.0274885
187 381 0 0.355182 361.098 6.08197e-16 5.83993e-68 361.453 1.0014
188 422 0 0.357201 361.073 6.63247e-16 6.65743e-68 361.43 2.94851
189 374 0 0.359231 361.047 7.23212e-16 7.58895e-68 361.406 0.651231
190 409 0 0.361272 361.02 7.88526e-16 8.65034e-68 361.382 2.35458
191 379 0 0.363323 360.994 8.59658e-16 9.85965e-68 361.357 0.906246
192 372 0 0.365385 360.967 9.3712e-16 1.12374e-67 361.333 0.553074
193 386 0 0.367458 360.94 1.02147e-15 1.2807e-67 361.308 1.25679
194 361 0 0.369541 360.913 1.1133e-15 1.45951e-67 361.283 -0.0148898
195 343 0 0.371636 360.886 1.21328e-15 1.66319e-67 361.258 -0.985823
196 406 0 0.373741 360.859 1.32212e-15 1.89519e-67 361.232 2.22178
197 411 0 0.375857 360.831 1.44058e-15 2.15945e-67 361.207 2.45613
198 377 0 0.377984 360.803 1.56951e-15 2.46041e-67 361.181 0.81473
199 394 0 0.380122 360.775 1.70983e-15 2.80317e-67 361.155 1.65472
200 372 0 0.382271 360.746 1.86251e-15 3.1935e-67 361.128 0.563662
201 397 0 0.384431 360.718 2.02864e-15 3.638e-67 361.102 1.80167
202 407 0 0.386603 360.689 2.20938e-15 4.14414e-67 361.075 2.2764
203 387 0 0.388786 360.66 2.40601e-15 4.72044e-67 361.048 1.31919
204 390 0 0.39098 360.63 2.61989e-15 5.3766e-67 361.021 1.46739
205 363 0 0.393185 360.601 2.85251e-15 6.12364e-67 360.994 0.105287
206 373 0 0.395402 360.571 3.1055e-15 6.97409e-67 360.967 0.623071
207 349 0 0.39763 360.541 3.38062e-15 7.94224e-67 360.939 -0.639068
208 344 0 0.39987 360.511 3.67977e-15 9.04429e-67 360.911 -0.911771
209 413 0 0.402121 360.481 4.00501e-15 1.02987e-66 360.883 2.56453
210 350 0 0.404384 360.45 4.3586e-15 1.17265e-66 360.854 -0.580188
