# exported by fityk 0.8.7
#19-X:x	19-X:y	19-X:s	19-X:F(x)	19-X:%_9(x)	19-X:%_10(x)	19-X:%_12(x)	19-X:a
0.79	0	1	2.64702e-043	4.41938e-126	1.62703e-072	2.64702e-043	1
0.81	0	1	5.11961e-043	3.72894e-125	7.19899e-072	5.11961e-043	1
0.82	0	1	7.11432e-043	1.08005e-124	1.51063e-071	7.11432e-043	1
0.84	0	1	1.37164e-042	9.00831e-124	6.61951e-071	1.37164e-042	1
0.86	0	1	2.63896e-042	7.4558e-123	2.88197e-070	2.63896e-042	1
0.87	0	1	3.6575e-042	2.13877e-122	5.99886e-070	3.6575e-042	1
0.89	0	1	7.0146e-042	1.74981e-121	2.58657e-069	7.0146e-042	1
0.9	0	1	9.70664e-042	4.99055e-121	5.35797e-069	9.70664e-042	1
0.92	0	1	1.85573e-041	4.036e-120	2.28796e-068	1.85573e-041	1
0.93	0	1	2.56385e-041	1.14445e-119	4.7165e-068	2.56385e-041	1
0.95	0	1	4.88614e-041	9.14904e-119	1.99462e-067	4.88614e-041	1
0.97	0	1	9.29228e-041	7.25779e-118	8.38098e-067	9.29228e-041	1
0.98	0	1	1.28043e-040	2.03828e-117	1.7138e-066	1.28043e-040	1
1	0	1	2.4274e-040	1.59834e-116	7.13161e-066	2.4274e-040	1
1.01	0	1	3.33956e-040	4.46287e-116	1.45127e-065	3.33956e-040	1
1.03	0	1	6.31103e-040	3.45936e-115	5.98093e-065	6.31103e-040	1
1.05	0	1	1.19013e-039	2.66089e-114	2.44897e-064	1.19013e-039	1
1.06	0	1	1.63305e-039	7.35845e-114	4.94354e-064	1.63305e-039	1
1.08	0	1	3.06988e-039	5.59491e-113	2.00468e-063	3.06988e-039	1
1.09	0	1	4.20571e-039	1.5383e-112	4.02713e-063	4.20571e-039	1
1.11	0	1	7.88112e-039	1.15617e-111	1.61731e-062	7.88112e-039	1
1.12	0	1	1.078e-038	3.16052e-111	3.23327e-062	1.078e-038	1
1.14	0	1	2.0137e-038	2.34811e-110	1.28598e-061	2.0137e-038	1
1.16	0	1	3.75366e-038	1.73112e-109	5.08182e-061	3.75366e-038	1
1.17	1	1	5.12085e-038	4.68679e-109	1.00777e-060	5.12085e-038	1
1.19	0	1	9.51545e-038	3.41555e-108	3.94401e-060	9.51545e-038	1
1.2	4	2	1.29607e-037	9.19383e-108	7.78351e-060	1.29607e-037	1
1.22	10	3.16228	2.40073e-037	6.62304e-107	3.01679e-059	2.40073e-037	1
1.24	9	3	4.43754e-037	4.73444e-106	1.16175e-058	4.43754e-037	1
1.25	20	4.47214	6.02835e-037	1.26217e-105	2.27427e-058	6.02835e-037	1
1.27	19	4.3589	1.11077e-036	8.91877e-105	8.6736e-058	1.11077e-036	1
1.28	27	5.19615	1.50658e-036	2.36397e-104	1.68976e-057	1.50658e-036	1
1.3	17	4.12311	2.76723e-036	1.65122e-103	6.38228e-057	2.76723e-036	1
1.31	20	4.47214	3.74739e-036	4.35142e-103	1.23737e-056	3.74739e-036	1
1.33	31	5.56776	6.86132e-036	3.00448e-102	4.62851e-056	6.86132e-036	1
