# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
2.15	31	5.56776	2.95833e-144	2.95833e-144	4.46531e-153	1
2.17	31	5.56776	3.00879e-143	3.00879e-143	3.85519e-152	1
2.18	21	4.58258	9.5668e-143	9.5668e-143	1.13001e-151	1
2.2	26	5.09902	9.6144e-142	9.6144e-142	9.66112e-151	1
2.22	23	4.79583	9.58556e-141	9.58556e-141	8.20622e-150	1
2.23	24	4.89898	3.01764e-140	3.01764e-140	2.38583e-149	1
2.25	13	3.60555	2.97285e-139	2.97285e-139	2.00682e-148	1
2.26	11	3.31662	9.3031e-139	9.3031e-139	5.80606e-148	1
2.28	21	4.58258	9.05613e-138	9.05613e-138	4.83619e-147	1
2.3	11	3.31662	8.74575e-137	8.74575e-137	4.00216e-146	1
2.31	15	3.87298	2.70974e-136	2.70974e-136	1.14849e-145	1
2.33	21	4.58258	2.58578e-135	2.58578e-135	9.41179e-145	1
2.34	20	4.47214	7.96391e-135	7.96391e-135	2.68771e-144	1
2.36	19	4.3589	7.50933e-134	7.50933e-134	2.18112e-143	1
2.37	23	4.79583	2.29901e-133	2.29901e-133	6.19822e-143	1
2.39	16	4	2.14203e-132	2.14203e-132	4.98101e-142	1
2.41	19	4.3589	1.97993e-131	1.97993e-131	3.97683e-141	1
2.42	18	4.24264	6.00155e-131	6.00155e-131	1.12095e-140	1
2.44	23	4.79583	5.48148e-130	5.48148e-130	8.86253e-140	1
2.45	21	4.58258	1.65165e-129	1.65165e-129	2.48589e-139	1
2.47	19	4.3589	1.4906e-128	1.4906e-128	1.94629e-138	1
2.48	29	5.38516	4.46463e-128	4.46463e-128	5.43262e-138	1
2.5	25	5	3.98143e-127	3.98143e-127	4.212e-137	1
2.52	20	4.47214	3.52235e-126	3.52235e-126	3.24441e-136	1
2.53	21	4.58258	1.04456e-125	1.04456e-125	8.98251e-136	1
