# exported by fityk 0.8.7
#11-X:x	11-X:y	11-X:s	11-X:F(x)	11-X:%_1(x)	11-X:%_2(x)	11-X:%_4(x)	11-X:a
2.09	19	4.3589	2.89151e-014	1.92776e-040	0	2.89151e-014	1
2.11	10	3.16228	4.18038e-014	3.86305e-040	0	4.18038e-014	1
2.12	17	4.12311	5.02281e-014	5.46351e-040	0	5.02281e-014	1
2.14	14	3.74166	7.24073e-014	1.09084e-039	0	7.24073e-014	1
2.15	23	4.79583	8.68734e-014	1.53995e-039	0	8.68734e-014	1
2.17	17	4.12311	1.24873e-013	3.06341e-039	0	1.24873e-013	1
2.18	24	4.89898	1.49605e-013	4.31676e-039	0	1.49605e-013	1
2.2	27	5.19615	2.14424e-013	8.55592e-039	0	2.14424e-013	1
2.22	18	4.24264	3.06736e-013	1.69167e-038	0	3.06736e-013	1
2.23	21	4.58258	3.66603e-013	2.37653e-038	0	3.66603e-013	1
2.25	12	3.4641	5.22918e-013	4.6817e-038	0	5.22918e-013	1
2.26	22	4.69042	6.24077e-013	6.56502e-038	0	6.24077e-013	1
2.28	23	4.79583	8.87608e-013	1.28857e-037	0	8.87608e-013	1
2.3	23	4.79583	1.25999e-012	2.523e-037	0	1.25999e-012	1
2.31	14	3.74166	1.50013e-012	3.52716e-037	0	1.50013e-012	1
2.33	25	5	2.12334e-012	6.88091e-037	0	2.12334e-012	1
2.34	16	4	2.52437e-012	9.60194e-037	0	2.52437e-012	1
2.36	20	4.47214	3.5628e-012	1.86634e-036	0	3.5628e-012	1
2.37	20	4.47214	4.22958e-012	2.59962e-036	0	4.22958e-012	1
2.39	22	4.69042	5.95225e-012	5.03444e-036	0	5.95225e-012	1
2.41	23	4.79583	8.36044e-012	9.72598e-036	0	8.36044e-012	1
2.42	21	4.58258	9.90124e-012	1.3506e-035	0	9.90124e-012	1
2.44	28	5.2915	1.3867e-011	2.59968e-035	0	1.3867e-011	1
2.45	23	4.79583	1.6399e-011	3.60345e-035	0	1.6399e-011	1
2.47	16	4	2.29011e-011	6.91069e-035	0	2.29011e-011	1
2.48	22	4.69042	2.70435e-011	9.56149e-035	0	2.70435e-011	1
2.5	14	3.74166	3.76572e-011	1.827e-034	0	3.76572e-011	1
2.52	16	4	5.23356e-011	3.48252e-034	0	5.23356e-011	1
2.53	26	5.09902	6.16535e-011	4.80366e-034	0	6.16535e-011	1
2.55	25	5	8.54384e-011	9.12298e-034	0	8.54384e-011	1
2.56	16	4	1.00505e-010	1.25609e-033	0	1.00505e-010	1
2.58	20	4.47214	1.38876e-010	2.37682e-033	0	1.38876e-010	1
2.6	33	5.74456	1.91528e-010	4.48654e-033	0	1.91528e-010	1
2.61	27	5.19615	2.24761e-010	6.15845e-033	0	2.24761e-010	1
2.63	23	4.79583	3.09081e-010	1.15824e-032	0	3.09081e-010	1
2.64	15	3.87298	3.62187e-010	1.58695e-032	0	3.62187e-010	1
2.66	15	3.87298	4.96626e-010	2.9737e-032	7.01573e-322	4.96626e-010	1
2.67	19	4.3589	5.81118e-010	4.06695e-032	1.12499e-320	5.81118e-010	1
2.69	16	4	7.94522e-010	7.59302e-032	1.2656e-318	7.94522e-010	1
2.71	23	4.79583	1.08421e-009	1.41417e-031	1.34001e-316	1.08421e-009	1
2.72	30	5.47723	1.26561e-009	1.92818e-031	1.37091e-315	1.26561e-009	1
2.74	23	4.79583	1.72208e-009	3.57803e-031	1.41904e-313	1.72208e-009	1
2.75	18	4.24264	2.00732e-009	4.86962e-031	1.43574e-312	2.00732e-009	1
2.77	19	4.3589	2.72341e-009	9.00332e-031	1.45353e-310	2.72341e-009	1
2.79	16	4	3.68786e-009	1.66054e-030	1.44994e-308	3.68786e-009	1
2.8	23	4.79583	4.28836e-009	2.25308e-030	1.44013e-307	4.28836e-009	1
2.82	13	3.60555	5.79027e-009	4.14033e-030	1.40504e-305	5.79027e-009	1
2.83	16	4	6.7234e-009	5.60746e-030	1.38014e-304	6.7234e-009	1
2.85	14	3.74166	9.05194e-009	1.02668e-029	1.31697e-302	9.05194e-009	1
2.86	17	4.12311	1.04955e-008	1.38794e-029	1.27936e-301	1.04955e-008	1
2.88	22	4.69042	1.40898e-008	2.53193e-029	1.19401e-299	1.40898e-008	1
2.9	18	4.24264	1.88784e-008	4.60755e-029	1.09799e-297	1.88784e-008	1
2.91	15	3.87298	2.18365e-008	6.20987e-029	1.04709e-296	2.18365e-008	1
2.93	18	4.24264	2.91737e-008	1.12593e-028	9.4176e-295	2.91737e-008	1
2.94	13	3.60555	3.36964e-008	1.51471e-028	8.88196e-294	3.36964e-008	1
2.96	18	4.24264	4.48887e-008	2.73634e-028	7.81317e-292	4.48887e-008	1
2.98	22	4.69042	5.96836e-008	4.93117e-028	6.77208e-290	5.96836e-008	1
2.99	25	5	6.87703e-008	6.61368e-028	6.26989e-289	6.87703e-008	1
3.01	15	3.87298	9.11726e-008	1.1875e-027	5.31519e-287	9.11726e-008	1
3.02	26	5.09902	1.04902e-007	1.58976e-027	4.86675e-286	1.04902e-007	1
3.04	19	4.3589	1.38673e-007	2.84402e-027	4.03516e-284	1.38673e-007	1
3.05	21	4.58258	1.59325e-007	3.80046e-027	3.65395e-283	1.59325e-007	1
3.07	14	3.74166	2.1001e-007	6.77405e-027	2.96312e-281	2.1001e-007	1
3.09	13	3.60555	2.76286e-007	1.20448e-026	2.36761e-279	2.76286e-007	1
3.1	19	4.3589	3.16668e-007	1.60464e-026	2.10466e-278	3.16668e-007	1
3.12	24	4.89898	4.15403e-007	2.84277e-026	1.64478e-276	4.15403e-007	1
3.13	27	5.19615	4.75433e-007	3.78029e-026	1.44598e-275	4.75433e-007	1
3.15	16	4	6.2187e-007	6.67264e-026	1.10522e-273	6.2187e-007	1
3.17	17	4.12311	8.11848e-007	1.17493e-025	8.32369e-272	8.11848e-007	1
3.18	27	5.19615	9.26933e-007	1.55765e-025	7.18355e-271	9.26933e-007	1
3.2	20	4.47214	1.20662e-006	2.73271e-025	5.29137e-269	1.20662e-006	1
3.21	19	4.3589	1.37567e-006	3.61625e-025	4.5162e-268	1.37567e-006	1
3.23	14	3.74166	1.78559e-006	6.3211e-025	3.25362e-266	1.78559e-006	1
3.24	13	3.60555	2.03283e-006	8.34953e-025	2.74634e-265	2.03283e-006	1
3.26	19	4.3589	2.63096e-006	1.45414e-024	1.93513e-263	2.63096e-006	1
3.28	15	3.87298	3.39852e-006	2.52634e-024	1.34351e-261	3.39852e-006	1
3.29	21	4.58258	3.8598e-006	3.32687e-024	1.11327e-260	3.8598e-006	1
3.31	19	4.3589	4.97149e-006	5.75879e-024	7.55955e-259	4.97149e-006	1
3.32	19	4.3589	5.63811e-006	7.56975e-024	6.19491e-258	5.63811e-006	1
3.34	13	3.60555	7.24105e-006	1.30553e-023	4.11429e-256	7.24105e-006	1
3.36	17	4.12311	9.28181e-006	2.24612e-023	2.69234e-254	9.28181e-006	1
3.37	21	4.58258	1.05011e-005	2.94346e-023	2.1659e-253	1.05011e-005	1
3.39	16	4	1.34218e-005	5.04562e-023	1.38624e-251	1.34218e-005	1
3.4	26	5.09902	1.51631e-005	6.60003e-023	1.10288e-250	1.51631e-005	1
3.42	22	4.69042	1.93246e-005	1.12723e-022	6.90387e-249	1.93246e-005	1
3.43	20	4.47214	2.18001e-005	1.4718e-022	5.43207e-248	2.18001e-005	1
3.45	14	3.74166	2.7703e-005	2.50453e-022	3.32577e-246	2.7703e-005	1
3.47	21	4.58258	3.51366e-005	4.25151e-022	2.0063e-244	3.51366e-005	1
3.48	25	5	3.95424e-005	5.5342e-022	1.54967e-243	3.95424e-005	1
3.5	27	5.19615	5.00082e-005	9.36014e-022	9.14334e-242	5.00082e-005	1
3.51	14	3.74166	5.61975e-005	1.21618e-021	6.9844e-241	5.61975e-005	1
3.53	20	4.47214	7.08666e-005	2.04945e-021	4.03051e-239	7.08666e-005	1
3.54	31	5.56776	7.95225e-005	2.65803e-021	3.04485e-238	7.95225e-005	1
3.56	25	5	9.99908e-005	4.4628e-021	1.71854e-236	9.99908e-005	1
3.58	21	4.58258	0.000125486	7.47475e-021	9.55719e-235	0.000125486	1
3.59	24	4.89898	0.000140475	9.66483e-021	7.08771e-234	0.000140475	1
3.61	18	4.24264	0.000175783	1.61285e-020	3.85514e-232	0.000175783	1
3.62	29	5.38516	0.000196496	2.08159e-020	2.82747e-231	0.000196496	1
3.64	28	5.2915	0.000245177	3.46103e-020	1.50417e-229	0.000245177	1
3.66	16	4	0.00030533	5.74058e-020	7.88441e-228	0.00030533	1
3.67	15	3.87298	0.000340487	7.38642e-020	5.67672e-227	0.000340487	1
3.69	21	4.58258	0.0004228	1.22066e-019	2.91028e-225	0.0004228	1
3.7	24	4.89898	0.000470803	1.56775e-019	2.07226e-224	0.000470803	1
3.72	19	4.3589	0.000582935	2.58136e-019	1.03907e-222	0.000582935	1
3.73	22	4.69042	0.000648183	3.3093e-019	7.31706e-222	0.000648183	1
3.75	31	5.56776	0.000800247	5.42898e-019	3.58841e-220	0.000800247	1
3.77	27	5.19615	0.000986086	8.88464e-019	1.73397e-218	0.000986086	1
